genotype,name,order,in_010,split_010,measured_tau_010,n_genes_in_010,n_pairs_in_010,n_query_pairs,query_pairs,pred_mean,pred_worst
YDR423C,CAD1,1,False,not in 010,,1,0,0,,0.017105101297299,0.0090728290379047
YGL096W,TOS8,1,False,not in 010,,1,0,0,,0.0531608747939268,0.033790998160839
YLR044C,PDC1,1,False,not in 010,,1,0,0,,0.0037171131310363,-0.0019494113512337
YNL071W,LAT1,1,False,not in 010,,1,0,0,,0.2441297868887583,0.1304935365915298
YPL177C,CUP9,1,False,not in 010,,1,0,0,,0.0388964253167311,0.0188671201467514
YDR423C+YGL096W,CAD1+TOS8,2,False,not in 010,,2,0,0,,0.0372531777247786,0.0039631547406315
YDR423C+YLR044C,CAD1+PDC1,2,False,not in 010,,2,1,0,,0.1234774440526962,0.0940152257680893
YDR423C+YNL071W,CAD1+LAT1,2,False,not in 010,,2,1,0,,0.0614628084003925,0.0430907867848873
YGL096W+YLR044C,TOS8+PDC1,2,False,not in 010,,2,1,0,,0.1189519775410493,0.046974990516901
YGL096W+YNL071W,TOS8+LAT1,2,False,not in 010,,2,1,0,,0.24155160288016,0.173380896449089
YGL096W+YPL177C,TOS8+CUP9,2,False,not in 010,,2,1,1,YGL096W+YPL177C,0.1009850489596525,0.0617496632039547
YLR044C+YNL071W,PDC1+LAT1,2,False,not in 010,,2,0,0,,0.0534961459537347,0.0176960788667202
YLR044C+YPL177C,PDC1+CUP9,2,False,not in 010,,2,1,0,,0.1485643982887268,0.0533161908388137
YNL071W+YPL177C,LAT1+CUP9,2,False,not in 010,,2,1,0,,0.3459105292956034,0.1708950102329254
YDR423C+YGL096W+YLR044C,CAD1+TOS8+PDC1,3,False,not in 010,,3,2,0,,0.1942292302846908,0.0811857134103775
YDR423C+YGL096W+YNL071W,CAD1+TOS8+LAT1,3,False,not in 010,,3,2,0,,0.0814328901469707,0.0201151259243488
YDR423C+YLR044C+YNL071W,CAD1+PDC1+LAT1,3,False,not in 010,,3,2,0,,0.2098976224660873,0.1302294582128524
YGL096W+YLR044C+YNL071W,TOS8+PDC1+LAT1,3,False,not in 010,,3,2,0,,0.1716319769620895,0.1263294667005539
YGL096W+YNL071W+YPL177C,TOS8+LAT1+CUP9,3,True,train,0.227965,3,3,1,YGL096W+YPL177C,0.5065480967362722,0.228582888841629
YLR044C+YNL071W+YPL177C,PDC1+LAT1+CUP9,3,False,not in 010,,3,2,0,,0.2230253269275029,0.1645469069480896
