genotype,order,name,measured_fitness,published_epsilon,fitness_source,pred_M01,pred_M02,pred_M03,pred_mean,pred_worst,measured_interaction,measured_kind,known
YDR423C,1,CAD1,0.99786,,SmfKuzmin2020,0.022663064301013947,0.019579410552978516,0.00907282903790474,0.01710510129729907,0.00907282903790474,0.0,zero by definition,True
YGL096W,1,TOS8,1.0204,,SmfKuzmin2020,0.03379099816083908,0.06761392951011658,0.058077696710824966,0.05316087479392687,0.03379099816083908,0.0,zero by definition,True
YLR044C,1,PDC1,0.9695,,SmfCostanzo2016_30C,0.007231871597468853,-0.0019494113512337208,0.005868879146873951,0.003717113131036361,-0.0019494113512337208,0.0,zero by definition,True
YNL071W,1,LAT1,0.9145,,SmfCostanzo2016_30C,0.1325654238462448,0.46933040022850037,0.13049353659152985,0.24412978688875833,0.13049353659152985,0.0,zero by definition,True
YPL177C,1,CUP9,0.9402,,SmfKuzmin2020,0.03869658708572388,0.059125568717718124,0.018867120146751404,0.03889642531673113,0.018867120146751404,0.0,zero by definition,True
YDR423C+YGL096W,2,CAD1+TOS8,0.99495,-0.0166499999999999,DmiCostanzo2016_30C,0.04225649684667587,0.0655398815870285,0.00396315474063158,0.03725317772477865,0.00396315474063158,-0.02326634400000005,measured epsilon,True
YDR423C+YLR044C,2,CAD1+PDC1,0.9551,,DmfKuzmin2020,0.0940152257680893,0.17318160831928253,0.10323549807071686,0.12347744405269623,0.0940152257680893,-0.012325270000000055,measured epsilon,True
YDR423C+YNL071W,2,CAD1+LAT1,0.9712,,DmfKuzmin2020,0.06415410339832306,0.07714353501796722,0.043090786784887314,0.06146280840039253,0.043090786784887314,0.05865703,measured epsilon,True
YGL096W+YLR044C,2,TOS8+PDC1,0.9308,,DmfKuzmin2020,0.046974990516901016,0.22890964150428772,0.08097130060195923,0.11895197754104932,0.046974990516901016,-0.058477800000000024,measured epsilon,True
YGL096W+YNL071W,2,TOS8+LAT1,0.8708,,DmfKuzmin2020,0.2747562825679779,0.2765176296234131,0.17338089644908905,0.24155160288016,0.17338089644908905,-0.06235579999999996,measured epsilon,True
YGL096W+YPL177C,2,TOS8+CUP9,0.93235,-0.02765,DmiCostanzo2016_30C,0.07688604295253754,0.16431944072246552,0.0617496632039547,0.10098504895965259,0.0617496632039547,-0.027030079999999956,measured epsilon,True
YLR044C+YNL071W,2,PDC1+LAT1,0.8593,-0.0273,DmiCostanzo2016_30C,0.1019182950258255,0.0176960788667202,0.04087406396865845,0.05349614595373472,0.0176960788667202,-0.027307750000000075,measured epsilon,True
YLR044C+YPL177C,2,PDC1+CUP9,0.9839,,DmfKuzmin2020,0.05331619083881378,0.13959233462810516,0.2527846693992615,0.1485643982887268,0.05331619083881378,0.07237609999999994,measured epsilon,True
YNL071W+YPL177C,2,LAT1+CUP9,0.9284,,DmfKuzmin2020,0.3512627184391022,0.5155738592147827,0.17089501023292542,0.34591052929560345,0.17089501023292542,0.06858710000000001,measured epsilon,True
YDR423C+YGL096W+YLR044C,3,CAD1+TOS8+PDC1,,,to_measure,0.0811857134103775,0.36806875467300415,0.13343322277069092,0.19422923028469086,0.0811857134103775,,"unknown, this is the ask",False
YDR423C+YGL096W+YNL071W,3,CAD1+TOS8+LAT1,,,to_measure,0.0731869786977768,0.15099656581878662,0.02011512592434883,0.08143289014697075,0.02011512592434883,,"unknown, this is the ask",False
YDR423C+YLR044C+YNL071W,3,CAD1+PDC1+LAT1,,,to_measure,0.13022945821285248,0.34053435921669006,0.15892904996871948,0.20989762246608734,0.13022945821285248,,"unknown, this is the ask",False
YGL096W+YLR044C+YNL071W,3,TOS8+PDC1+LAT1,,,to_measure,0.15636023879051208,0.23220622539520264,0.1263294667005539,0.17163197696208954,0.1263294667005539,,"unknown, this is the ask",False
YGL096W+YNL071W+YPL177C,3,TOS8+LAT1+CUP9,,,to_measure,0.7097735404968262,0.5812878608703613,0.22858288884162903,0.5065480967362722,0.22858288884162903,,"unknown, this is the ask",False
YLR044C+YNL071W+YPL177C,3,PDC1+LAT1+CUP9,,,to_measure,0.1645469069480896,0.174078568816185,0.33045050501823425,0.22302532692750296,0.1645469069480896,,"unknown, this is the ask",False
