genotype,order,name,measured_fitness,published_epsilon,fitness_source
YDR423C,1,CAD1,0.99786,,SmfKuzmin2020
YGL096W,1,TOS8,1.0204,,SmfKuzmin2020
YLR044C,1,PDC1,0.9695,,SmfCostanzo2016_30C
YNL071W,1,LAT1,0.9145,,SmfCostanzo2016_30C
YPL177C,1,CUP9,0.9402,,SmfKuzmin2020
YDR423C+YGL096W,2,CAD1+TOS8,0.99495,-0.016649999999999998,DmiCostanzo2016_30C
YDR423C+YLR044C,2,CAD1+PDC1,0.9551,,DmfKuzmin2020
YDR423C+YNL071W,2,CAD1+LAT1,0.9712,,DmfKuzmin2020
YGL096W+YLR044C,2,TOS8+PDC1,0.9308,,DmfKuzmin2020
YGL096W+YNL071W,2,TOS8+LAT1,0.8708,,DmfKuzmin2020
YGL096W+YPL177C,2,TOS8+CUP9,0.93235,-0.02765,DmiCostanzo2016_30C
YLR044C+YNL071W,2,PDC1+LAT1,0.8593,-0.0273,DmiCostanzo2016_30C
YLR044C+YPL177C,2,PDC1+CUP9,0.9839,,DmfKuzmin2020
YNL071W+YPL177C,2,LAT1+CUP9,0.9284,,DmfKuzmin2020
YDR423C+YGL096W+YLR044C,3,CAD1+TOS8+PDC1,,,to_measure
YDR423C+YGL096W+YNL071W,3,CAD1+TOS8+LAT1,,,to_measure
YDR423C+YLR044C+YNL071W,3,CAD1+PDC1+LAT1,,,to_measure
YGL096W+YLR044C+YNL071W,3,TOS8+PDC1+LAT1,,,to_measure
YGL096W+YNL071W+YPL177C,3,TOS8+LAT1+CUP9,,,to_measure
YLR044C+YNL071W+YPL177C,3,PDC1+LAT1+CUP9,,,to_measure
