rank,index,gene1,gene2,gene3,ensemble_mean,checkpoint_sd,M01,M02,M03,n_metabolic,n_regulator,n_supported,all_three_positive,outside_label_range,spread_over_mean
1,5887228,YPL053C,YDR483W,YPL181W,2.3274739,0.25613174,2.2246094,2.6796875,2.078125,2,1,2,True,True,0.110047095
2,312822,YGR121C,YPL053C,YPL181W,2.2220051,0.25287417,2.109375,2.5722656,1.984375,2,1,3,True,True,0.11380449
3,384579,YKL008C,YPL053C,YPL181W,2.180013,0.19250973,2.1152344,2.4414062,1.9833984,2,1,3,True,True,0.08830669
4,5884414,YPL053C,YDR001C,YPL181W,2.1516926,0.2588871,2.0292969,2.5117188,1.9140625,2,1,2,True,True,0.12031789
5,454527,YNL071W,YPL053C,YPL181W,2.1500652,0.25932512,2.0566406,2.5039062,1.8896484,2,1,3,True,True,0.12061267
6,25732809,YDR001C,YDR483W,YPL181W,2.1041667,0.20826568,1.9677734,2.3984375,1.9462891,2,1,1,True,True,0.098977745
7,5879657,YPL053C,YBR001C,YPL181W,2.0810547,0.23073757,2.015625,2.390625,1.8369141,2,1,2,True,True,0.1108753
8,5306204,YNL071W,YDR483W,YPL181W,2.0774739,0.13088691,2.0234375,2.2578125,1.9511719,2,1,2,True,True,0.063002914
9,3599446,YGR121C,YDR483W,YPL181W,2.0595703,0.087524556,1.9736328,2.1796875,2.0253906,2,1,2,True,True,0.042496514
10,23401879,YBR001C,YDR483W,YPL181W,2.038737,0.18876447,1.9257812,2.3046875,1.8857422,2,1,1,True,True,0.092588924
11,4253098,YKL008C,YDR483W,YPL181W,2.0218098,0.028419293,1.9853516,2.0546875,2.0253906,2,1,2,True,True,0.014056363
12,23399065,YBR001C,YDR001C,YPL181W,1.8616537,0.27278608,1.7685547,2.2324219,1.5839844,2,1,1,True,True,0.14652891
13,236442,YDR530C,YPL053C,YPL181W,1.860026,0.12044447,1.7148438,2.0097656,1.8554688,2,1,3,True,True,0.06475419
14,5298633,YNL071W,YBR001C,YPL181W,1.8235677,0.21118802,1.7333984,2.1152344,1.6220703,2,1,2,True,True,0.11581035
15,5303390,YNL071W,YDR001C,YPL181W,1.7988281,0.35185534,1.78125,2.2382812,1.3769531,2,1,2,True,True,0.19560254
16,4245527,YKL008C,YBR001C,YPL181W,1.7685547,0.1999403,1.5302734,2.0195312,1.7558594,2,1,2,True,True,0.113052934
17,4250284,YKL008C,YDR001C,YPL181W,1.7620443,0.2585738,1.6191406,2.125,1.5419922,2,1,2,True,True,0.14674649
18,3596632,YGR121C,YDR001C,YPL181W,1.7552084,0.22672145,1.6933594,2.0585938,1.5136719,2,1,2,True,True,0.12917067
19,3591875,YGR121C,YBR001C,YPL181W,1.7057291,0.087819465,1.6054688,1.8193359,1.6923828,2,1,2,True,True,0.051485002
20,312821,YGR121C,YPL053C,YPL089C,1.6735026,0.041892394,1.6269531,1.6650391,1.7285156,2,1,3,True,True,0.025032764
21,384578,YKL008C,YPL053C,YPL089C,1.6689453,0.1450735,1.4648438,1.7529297,1.7890625,2,1,3,True,True,0.08692526
22,3054736,YDR530C,YDR483W,YPL181W,1.6611328,0.20691606,1.6621094,1.4072266,1.9140625,2,1,2,True,True,0.124563225
23,18701744,YPL053C,YPL089C,YPL181W,1.6276041,0.12444266,1.4726562,1.6328125,1.7773438,1,2,3,True,True,0.076457575
24,454526,YNL071W,YPL053C,YPL089C,1.6259766,0.0686795,1.6044922,1.5546875,1.71875,2,1,3,True,True,0.04223892
25,5887227,YPL053C,YDR483W,YPL089C,1.6067709,0.08700119,1.4902344,1.6992188,1.6308594,2,1,2,True,True,0.054146606
26,5306203,YNL071W,YDR483W,YPL089C,1.5449219,0.26569322,1.6855469,1.1728516,1.7763672,2,1,2,True,True,0.17197841
27,26975793,YDR483W,YOR099W,YPL181W,1.5146484,0.5251843,1.7490234,2.0078125,0.7871094,2,1,1,True,True,0.34673676
28,3051922,YDR530C,YDR001C,YPL181W,1.5013021,0.056844175,1.5302734,1.5517578,1.421875,2,1,2,True,True,0.037863247
29,4253097,YKL008C,YDR483W,YPL089C,1.5013021,0.2478768,1.4628906,1.21875,1.8222656,2,1,2,True,True,0.16510786
30,32965794,YDR483W,YPL089C,YPL181W,1.4586588,0.29059622,1.4882812,1.0888672,1.7988281,1,2,2,True,True,0.1992215
31,3047165,YDR530C,YBR001C,YPL181W,1.4420573,0.08518078,1.3310547,1.4570312,1.5380859,2,1,2,True,True,0.059068933
32,5329319,YNL071W,YOR099W,YPL181W,1.4375,0.31649464,1.7851562,1.5078125,1.0195312,2,1,2,True,True,0.22017018
33,3599445,YGR121C,YDR483W,YPL089C,1.4335938,0.32473114,1.5283203,0.9970703,1.7753906,2,1,2,True,True,0.22651546
34,236441,YDR530C,YPL053C,YPL089C,1.4042969,0.17892338,1.2197266,1.3466797,1.6464844,2,1,3,True,True,0.12741137
35,25732808,YDR001C,YDR483W,YPL089C,1.3769531,0.0786239,1.3935547,1.4638672,1.2734375,2,1,1,True,True,0.05709991
36,5884413,YPL053C,YDR001C,YPL089C,1.3404948,0.10867035,1.3095703,1.4863281,1.2255859,2,1,2,True,True,0.08106734
37,5910343,YPL053C,YOR099W,YPL181W,1.3313802,0.5679097,1.8144531,1.6455078,0.5341797,2,1,2,True,True,0.42655712
38,23401878,YBR001C,YDR483W,YPL089C,1.2988281,0.019334951,1.3125,1.2714844,1.3125,2,1,1,True,True,0.014886458
