comparison,quantity,value
inference_1|inference_3,triple_pearson,0.2950477159157868
inference_1|inference_3,triple_n,330.0
inference_1|inference_3,triple_mean_abs_diff,0.021095940843224525
inference_2|inference_3,triple_pearson,1.0
inference_2|inference_3,triple_n,2404.0
inference_2|inference_3,triple_mean_abs_diff,0.0
inference_1|inference_2,gene_mean_pearson,0.1665788649609864
inference_1|inference_2,gene_mean_n,179.0
inference_1|inference_3,gene_mean_pearson,0.03687461229420376
inference_1|inference_3,gene_mean_n,395.0
inference_2|inference_3,gene_mean_pearson,0.8001562525469883
inference_2|inference_3,gene_mean_n,1274.0
inference_1|additive_beta,pearson,0.5793108713230016
inference_1|additive_beta,n_genes,383.0
inference_2|additive_beta,pearson,0.048331967920586395
inference_2|additive_beta,n_genes,1138.0
inference_3|additive_beta,pearson,-0.008117521096150885
inference_3|additive_beta,n_genes,3180.0
inference_1|additive_beta_common_genes,pearson,0.5758613611140795
inference_2|additive_beta_common_genes,pearson,0.23135997363948324
inference_3|additive_beta_common_genes,pearson,0.17423981230344376
common_genes,n_genes,167.0
