pair,quantity,value
additive|M01,pearson,0.5477851271999548
additive|M01,spearman,0.538305982069128
additive|M02,pearson,0.5784838111939247
additive|M02,spearman,0.5985517082070758
additive|M03,pearson,0.5111563996685845
additive|M03,spearman,0.5065380508404291
M01|M02,pearson,0.5467592847530263
M01|M02,spearman,0.5122064655692256
M01|M03,pearson,0.524033275164163
M01|M03,spearman,0.4731831690699976
M02|M03,pearson,0.5595717119549707
M02|M03,spearman,0.5200123704914286
additive|M01,top_100_overlap,0.0
additive|M01,bottom_100_overlap,0.01
additive|M02,top_100_overlap,0.0
additive|M02,bottom_100_overlap,0.01
additive|M03,top_100_overlap,0.0
additive|M03,bottom_100_overlap,0.02
M01|M02,top_100_overlap,0.22
M01|M02,bottom_100_overlap,0.13
M01|M03,top_100_overlap,0.21
M01|M03,bottom_100_overlap,0.04
M02|M03,top_100_overlap,0.35
M02|M03,bottom_100_overlap,0.12
additive|M01,top_1000_overlap,0.0
additive|M01,bottom_1000_overlap,0.029
additive|M02,top_1000_overlap,0.0
additive|M02,bottom_1000_overlap,0.062
additive|M03,top_1000_overlap,0.001
additive|M03,bottom_1000_overlap,0.031
M01|M02,top_1000_overlap,0.097
M01|M02,bottom_1000_overlap,0.216
M01|M03,top_1000_overlap,0.152
M01|M03,bottom_1000_overlap,0.184
M02|M03,top_1000_overlap,0.108
M02|M03,bottom_1000_overlap,0.285
additive|M01,top_10000_overlap,0.0149
additive|M01,bottom_10000_overlap,0.1352
additive|M02,top_10000_overlap,0.0118
additive|M02,bottom_10000_overlap,0.1858
additive|M03,top_10000_overlap,0.018
additive|M03,bottom_10000_overlap,0.1023
M01|M02,top_10000_overlap,0.0787
M01|M02,bottom_10000_overlap,0.276
M01|M03,top_10000_overlap,0.1106
M01|M03,bottom_10000_overlap,0.2026
M02|M03,top_10000_overlap,0.0763
M02|M03,bottom_10000_overlap,0.2576
additive|M01,top_100000_overlap,0.09709
additive|M01,bottom_100000_overlap,0.37548
additive|M02,top_100000_overlap,0.10541
additive|M02,bottom_100000_overlap,0.38131
additive|M03,top_100000_overlap,0.08659
additive|M03,bottom_100000_overlap,0.27037
M01|M02,top_100000_overlap,0.14817
M01|M02,bottom_100000_overlap,0.37159
M01|M03,top_100000_overlap,0.16816
M01|M03,bottom_100000_overlap,0.33203
M02|M03,top_100000_overlap,0.1453
M02|M03,bottom_100000_overlap,0.37234
