query_double,n_triples,n_with_monotone,n_monotone_routes,max_f_triple,n_above_wt,f_query_double
YKR077W+YOR066W,4245,623,868,1.1926,2287,1.0139
YEL060C+YOR003W,922,355,771,1.2044,583,1.067
YGL082W+YPL191C,877,322,1070,1.2523,475,1.0449
YBR078W+YDR055W,879,321,1127,1.2769,522,1.0611
YNL309W+YOL131W,929,321,661,1.3197,722,1.1497
YFR013W+YOL017W,911,318,630,1.2173,519,1.0489
YNL283C+YOL105C,963,312,557,1.2112,579,1.059
YBL089W+YER119C,925,308,641,1.196,394,1.0174
YFR015C+YLR258W,929,306,669,1.1891,507,1.0434
YDL223C+YNL195C,920,301,580,1.2506,627,1.0831
YBL061C+YER096W,868,299,565,1.2932,581,1.0826
YBR177C+YPL095C,840,294,701,1.2044,445,1.042
YHR155W+YNL257C,940,289,606,1.1651,423,1.025
YML118W+YMR285C,894,287,537,1.2456,593,1.0775
YDL127W+YDL179W,946,284,680,1.1685,465,1.0334
YKL065C+YMR040W,867,284,585,1.2166,401,1.0234
YFR023W+YHR015W,932,282,533,1.1565,331,1.0079
YLR456W+YPR172W,936,273,486,1.2603,671,1.0976
YLR187W+YNL278W,952,155,269,1.2009,359,1.0104
YGL134W+YPL219W,873,152,298,1.1394,336,1.0088
YLR174W+YNL009W,901,149,241,1.205,434,1.0339
YCL048W+YDR522C,948,144,333,1.158,395,1.0169
YGR041W+YLR353W,890,134,224,1.1977,352,1.0159
YJR054W+YML047C,901,131,205,1.1683,349,1.0134
YDR379W+YOR127W,868,129,203,1.3748,617,1.104
YEL047C+YJR051W,917,126,211,1.2761,636,1.1002
YIL156W+YKR098C,930,116,186,1.216,549,1.056
YJL116C+YKR042W,906,115,169,1.3193,616,1.0946
YDR222W+YLR225C,882,115,180,1.2169,499,1.053
YDR273W+YOR042W,899,114,194,1.1406,307,1.0054
YBL069W+YER101C,912,112,175,1.1869,507,1.0455
YBL075C+YER103W,911,111,173,1.2083,509,1.0475
YMR175W+YPL223C,882,105,163,1.1935,502,1.0475
YHR146W+YNL173C,912,104,171,1.1846,443,1.0304
YHR047C+YKL157W,872,101,181,1.2566,581,1.08
YDR345C+YHR096C,884,96,156,1.1616,406,1.0244
YBR148W+YOL091W,884,94,134,1.2417,389,1.0214
