release,query_double,q1,q2,x,array_allele,f_q1,f_q2,f_x,f_query_double,f_q1x,f_q2x,f_triple,sd_triple,tau,tau_p_value,complete_lattice,n_monotone_routes,best_min_rung,greedy_reachable,valley_depth
2020,YDR379W+YOR127W,YDR379W,YOR127W,YDR217C,rad9_delta,0.96626,0.967,0.982,1.104,1.1018,1.1583,1.3748,0.1118,0.091274,0.06182,True,0,0.982,False,0.018000000000000016
2020,YDR379W+YOR127W,YDR379W,YOR127W,YER149C,pea2_delta,0.96626,0.967,1.022,1.104,1.1347,1.2057,1.3564,0.1416,0.007792,0.1565,True,2,1.022,True,-0.02200000000000002
2020,YDR379W+YOR127W,YDR379W,YOR127W,YLR216C,cpr6_delta,0.96626,0.967,1.0272,1.104,1.1016,1.1695,1.3346,0.0712,0.049218,0.07315,True,2,1.0272,True,-0.02719999999999989
2018,YDR170C+YNL041C,YDR170C,YNL041C,YML071C,cog8_delta,0.8258,0.8695,0.9395,0.8852,0.9395,1.5681,1.3234,0.033,-0.261932,3.839e-30,True,0,0.9395,False,0.0605
2020,YNL309W+YOL131W,YNL309W,YOL131W,YPL181W,cti6_delta,1.0264,0.99281,1.0357,1.1497,1.1461,1.1104,1.3197,0.075,0.027445,0.4294,True,4,1.0357,True,-0.035700000000000065
2020,YJL116C+YKR042W,YJL116C,YKR042W,YCR065W,hcm1_delta,0.966,1.1464,0.999,1.0946,1.0732,1.1995,1.3193,0.0389,0.024391,0.004985,True,1,1.1464,True,-0.14640000000000009
2020,YDR379W+YOR127W,YDR379W,YOR127W,YOR367W,scp1_delta,0.96626,0.967,1.0028,1.104,1.0395,1.0477,1.3178,0.12,0.133818,0.04721,True,2,1.0028,True,-0.0027999999999999137
2020,YNL309W+YOL131W,YNL309W,YOL131W,YPR152C,urn1_delta,1.0264,0.99281,0.9922,1.1497,1.0866,1.1022,1.3107,0.0175,0.04358,0.005892,True,2,1.0264,True,-0.02639999999999998
2020,YNL309W+YOL131W,YNL309W,YOL131W,YOR154W,slp1_delta,1.0264,0.99281,0.995,1.1497,1.1147,1.0846,1.3042,0.0365,0.007021,0.04165,True,2,1.0264,True,-0.02639999999999998
2020,YDR379W+YOR127W,YDR379W,YOR127W,YCL014W,bud3_delta,0.96626,0.967,1.022,1.104,1.1019,1.1912,1.2955,0.0773,-0.001235,0.2188,True,2,1.022,True,-0.02200000000000002
2020,YDR379W+YOR127W,YDR379W,YOR127W,YKR026C,gcn3_delta,0.96626,0.967,1.0365,1.104,1.1418,1.0982,1.2937,0.0935,0.030333,0.1659,True,2,1.0365,True,-0.03649999999999998
2020,YBL061C+YER096W,YBL061C,YER096W,YPL181W,cti6_delta,0.84998,1.0287,1.0357,1.0826,1.1983,1.1301,1.2932,0.0446,0.005204,0.1291,True,4,1.0357,True,-0.035700000000000065
2020,YNL309W+YOL131W,YNL309W,YOL131W,YDR077W,sed1_delta,1.0264,0.99281,0.92775,1.1497,1.0574,1.1009,1.2931,0.0809,0.06425,0.3577,True,2,1.0264,True,-0.02639999999999998
2020,YDR379W+YOR127W,YDR379W,YOR127W,YDR077W,sed1_delta,0.96626,0.967,0.92775,1.104,1.1272,1.0091,1.29,0.1139,0.056075,0.2366,True,0,0.967,False,0.03300000000000003
2020,YNL309W+YOL131W,YNL309W,YOL131W,YBR275C,rif1_delta,1.0264,0.99281,0.9957,1.1497,1.1203,1.0442,1.2887,0.0764,0.039104,0.2898,True,2,1.0264,True,-0.02639999999999998
2020,YNL309W+YOL131W,YNL309W,YOL131W,YNR032C-A,hub1_delta,1.0264,0.99281,1.0185,1.1497,1.1299,1.1506,1.2862,0.0565,-0.032598,0.4293,True,4,1.0264,True,-0.02639999999999998
2020,YNL309W+YOL131W,YNL309W,YOL131W,YBR188C,ntc20_delta,1.0264,0.99281,1.0252,1.1497,1.1331,1.1296,1.2854,0.0518,-0.045323,0.3606,True,4,1.0264,True,-0.02639999999999998
2020,YNL309W+YOL131W,YNL309W,YOL131W,YGL077C,hnm1_delta,1.0264,0.99281,1.0135,1.1497,1.1334,1.075,1.2847,0.1224,-0.004554,0.4035,True,4,1.0264,True,-0.02639999999999998
