gene,is_metabolic,distinct_screens,n_triples,mean_predicted_tau,max_predicted_tau,frac_above_0.08,frac_above_0.16
YGR121C,True,315,32102,-0.003867921996477586,0.6897786458333334,0.0012771789919631175,0.0003738084854526198
YPL181W,False,295,51294,-0.007532157814872549,0.6897786458333334,0.0007798183023355558,0.00029243186337583345
YER059W,False,1,43434,-0.0049412448286078854,0.6897786458333334,0.002900953170327393,0.0007137265736519777
YGL060W,False,281,37583,-0.00194025956455927,0.6827799479166666,0.0010110954420881782,0.00031929329750152993
YHR003C,False,297,22310,-0.006697055763787225,0.6775716145833334,0.0007171671896010757,0.00044822949350067237
YBR001C,True,12,21889,-0.004159765365377282,0.6490885416666666,0.000685275709260359,0.0002741102837041436
YPL089C,False,274,34984,-0.0053270740308306525,0.4895833333333333,0.000686027898467871,0.00014292247884747312
YBR028C,True,279,31021,-0.002748677003568478,0.3926188151041667,0.000580252087295703,0.00016118113535991746
YGR193C,True,10,13378,-0.005243388625807592,0.3536783854166667,0.0008969950665271341,0.00044849753326356705
YGR279C,True,340,52057,-0.008702212197343177,0.2322998046875,0.00019209712430604914,9.604856215302457e-05
YIL006W,True,11,37443,0.0026130467871626974,0.20058186848958334,0.00032048714045348933,8.012178511337233e-05
YHL003C,True,0,31341,-0.004938921157994982,0.19181315104166666,0.0002871637790753326,6.381417312785169e-05
YGL017W,True,10,12257,-0.0025767125056587533,0.1712665557861328,8.158603247124092e-05,8.158603247124092e-05
YGL096W,False,11,39867,-0.005034177787981638,0.17075602213541666,0.0012792535179471745,2.5083402312689693e-05
YCR033W,False,294,26446,-0.006921675260284134,0.17075602213541666,0.0007184451334795432,3.781290176208122e-05
YKL160W,False,313,5872,-0.0061471121323097835,0.17075602213541666,0.0011920980926430518,0.00017029972752043596
YPL256C,False,11,49711,-0.0033685376688210615,0.16706339518229166,0.0003017440807869486,2.0116272052463238e-05
YBR229C,True,294,42886,-0.004368659442959785,0.1555658976236979,0.00018654106235135008,0.0
YPL026C,True,11,30364,-0.004678877097619244,0.1525719960530599,9.88012119615334e-05,0.0
YLR386W,True,301,52383,-0.02023820183540492,0.1519775390625,0.0005727048851726706,0.0
YPL177C,False,11,3226,-0.003314137212450186,0.1519775390625,0.005579665220086794,0.0
YKR028W,False,295,21291,-0.0019246099580234397,0.14945475260416666,0.00046968202526889296,0.0
YJL187C,True,302,5249,-0.020514599283876937,0.14274088541666666,0.0007620499142693847,0.0
YPR065W,False,295,35436,-0.00813718932196254,0.14274088541666666,5.6439778756067275e-05,0.0
YGR262C,True,0,15535,-0.0060384397176237725,0.13898722330729166,0.000321853878339234,0.0
YOR304W,False,293,14296,-0.00806013000665194,0.13271077473958334,6.994963626189144e-05,0.0
YDR213W,False,9,51551,-0.003776294412282573,0.12355550130208333,7.759306318015169e-05,0.0
YOR171C,True,289,31172,-0.010725223190530831,0.12071990966796875,6.416014371872192e-05,0.0
YDR287W,True,9,32333,-0.006443999016631145,0.1183319091796875,0.00021649707728945658,0.0
YAL056W,False,11,60861,-0.000378731487555786,0.11780293782552083,4.9292650465815544e-05,0.0
YGL006W,True,10,30398,-0.0033655328484149603,0.112030029296875,0.00013158760444766102,0.0
YPR145W,True,11,43999,-0.006981388999121504,0.11191304524739583,4.545557853587581e-05,0.0
YPL274W,True,11,45378,0.0010117929405993533,0.11102294921875,2.2037110494072018e-05,0.0
YLR260W,True,0,20546,-0.01655035307825205,0.11069234212239583,9.734254842791784e-05,0.0
YGL197W,False,12,8796,-0.00927090347129431,0.11014811197916667,0.00011368804001819008,0.0
YGL158W,True,11,30862,-0.0021630419662086145,0.10993448893229167,3.240230704426155e-05,0.0
YCL009C,True,10,34719,-0.006207948434574567,0.1098175048828125,8.640801866413204e-05,0.0
YIL145C,True,10,47487,-0.002817440784057589,0.10807100931803386,8.423357971655401e-05,0.0
YLR180W,True,9,20814,-0.009167366681743915,0.10738372802734375,9.608917075045643e-05,0.0
YGR123C,False,10,38538,-0.0012529785838852946,0.107177734375,0.00010379365820748353,0.0
YKR067W,True,7,55115,-0.0035693398565653242,0.106353759765625,0.00012700716683298558,0.0
YCR026C,True,11,54983,0.0006368527583753196,0.10454305013020833,1.8187439754105814e-05,0.0
YIR026C,False,0,7509,-0.012978123947524907,0.102425217628479,0.00026634705020641894,0.0
YEL012W,False,0,16293,-0.0026676189602146917,0.09879175821940105,6.137605106487449e-05,0.0
YHR031C,False,284,4257,-0.023338151616559555,0.09795125325520833,0.0002349072116513977,0.0
YDR507C,True,1,5367,-0.001118949470842235,0.097747802734375,0.0001863238308179616,0.0
YEL051W,True,0,16057,-0.00810138747046258,0.09661865234375,0.00018683440244130286,0.0
YOR371C,False,11,51666,-0.0007396196132767659,0.09613037109375,3.871017690550846e-05,0.0
YNL229C,True,0,15276,-0.011818744584903715,0.09534708658854167,0.0003273108143493061,0.0
YGR044C,False,10,38585,-0.003894100220722131,0.095245361328125,5.183361409874304e-05,0.0
YFL054C,True,11,36625,-0.006634146880235553,0.095062255859375,2.7303754266211605e-05,0.0
YDL048C,False,296,24185,-0.001173102204225088,0.09059651692708333,4.134794293983874e-05,0.0
YHR046C,True,10,32299,-0.0063627753015191805,0.09037272135416667,0.00012384284343168518,0.0
YCR020W-B,False,0,14787,-0.011253287529876043,0.09037272135416667,6.762696963549064e-05,0.0
YER169W,False,1,29117,0.0027494492718443883,0.09014892578125,3.434419754782429e-05,0.0
YDL095W,True,315,25165,-0.009540489304341246,0.08953857421875,0.00011921319292668389,0.0
YKL127W,True,289,19732,-0.0016000465498042112,0.0894622802734375,5.067909993918508e-05,0.0
YDR523C,True,0,26727,-0.0004751834287053608,0.08891105651855469,3.7415347775657576e-05,0.0
YER019W,True,0,17587,-0.005307063856031067,0.08653767903645833,0.00022744072326149998,0.0
YKL166C,True,12,35976,0.0014926100586176573,0.08481852213541667,5.55926173004225e-05,0.0
YLR014C,False,297,26241,-0.020587975278372,0.08396148681640625,3.810830379939789e-05,0.0
YHL016C,True,10,23765,-0.0014029896888837247,0.08383687337239583,4.2078687144961075e-05,0.0
YPR015C,False,11,47980,0.00012920497522861635,0.08275349934895833,2.0842017507294705e-05,0.0
YHL029C,False,308,22656,-0.03817230708749786,0.08256022135416667,4.4138418079096045e-05,0.0
YDR122W,True,10,51743,0.004567583424268654,0.08256022135416667,1.932628568115494e-05,0.0
YEL006W,True,1,17772,0.0038328091781990262,0.08199055989583333,5.6268287193337834e-05,0.0
YDR451C,False,9,43726,-0.0024342863480006495,0.08017985026041667,2.2869688514842427e-05,0.0
YOR241W,True,0,25055,-0.009752423081467477,0.0800933837890625,3.9912193175014965e-05,0.0
YPL046C,False,11,50640,-0.025145884919097517,0.07970682779947917,0.0,0.0
YEL016C,True,1,19948,-0.002091881306315957,0.07970682779947917,0.0,0.0
YFR014C,True,11,47982,-8.933234065383928e-05,0.07969156901041667,0.0,0.0
YBR235W,True,10,918,-0.0034974653736438628,0.07901573181152344,0.0,0.0
YDL182W,True,0,3146,-0.00322295479361196,0.07896931966145833,0.0,0.0
YPR120C,False,313,7176,-0.0190117659842556,0.078399658203125,0.0,0.0
YKR029C,False,284,4130,-0.011235907907154985,0.07769775390625,0.0,0.0
YIL111W,True,11,41544,0.0025502431032264163,0.07493082682291667,0.0,0.0
YMR048W,False,287,29746,-0.011263960082788689,0.07461039225260417,0.0,0.0
YJR082C,False,296,16340,0.002688954101198306,0.07439168294270833,0.0,0.0
YPL230W,False,11,51370,-0.0013126936934133686,0.07331339518229167,0.0,0.0
YOR002W,True,276,25863,-0.016694725305715835,0.07329305013020833,0.0,0.0
YEL024W,True,0,14029,0.005713395847831123,0.0731048583984375,0.0,0.0
YLR174W,True,10,50900,0.0006458655165626709,0.07307942708333333,0.0,0.0
YHR207C,False,10,42934,-0.0030071740231823697,0.072967529296875,0.0,0.0
YCR034W,True,322,14101,-0.012334546684849654,0.07258415222167969,0.0,0.0
YJR059W,True,304,6006,-0.0066326241247634645,0.07230122884114583,0.0,0.0
YIL130W,False,10,26640,-0.0038293393584223723,0.07145182291666667,0.0,0.0
YMR182C,False,11,25639,0.003914314889622046,0.07109324137369792,0.0,0.0
YLR451W,True,9,41046,-0.003926522671488046,0.07030232747395833,0.0,0.0
YOR162C,False,9,21233,-0.0006764665832942328,0.07025146484375,0.0,0.0
YDR096W,False,11,22938,0.0049405712977003665,0.06984456380208333,0.0,0.0
YDL079C,True,11,38548,0.0023032549482244445,0.069488525390625,0.0,0.0
YML007W,False,280,10517,-0.003297700091838943,0.069091796875,0.0,0.0
YEL038W,True,0,18752,-0.0015586810896387145,0.06815592447916667,0.0,0.0
YKL161C,True,12,36893,0.0038641007687007867,0.06781005859375,0.0,0.0
YNL066W,True,10,24378,-0.0006285822299903341,0.0675048828125,0.0,0.0
YPR160W,True,12,39014,-0.028246880910875724,0.066925048828125,0.0,0.0
YGR227W,True,10,22146,-0.01200948917706779,0.06681505839029948,0.0,0.0
YCR098C,True,321,32622,0.0008391078429153602,0.06668599446614583,0.0,0.0
YKL010C,False,9,34970,-0.021263460768222487,0.06633504231770833,0.0,0.0
YGR071C,False,11,38113,0.0026885429327909095,0.06633504231770833,0.0,0.0
YCR075C,True,10,44928,-0.004750251543601128,0.06596628824869792,0.0,0.0
YPL087W,True,11,35345,0.0028883252515085472,0.06592814127604167,0.0,0.0
YHR079C,True,292,13286,-0.007081250702600855,0.06560262044270833,0.0,0.0
YEL066W,True,0,14506,-0.00934264667168156,0.06526692708333333,0.0,0.0
YDR260C,False,273,49808,-0.012216292506769748,0.065093994140625,0.0,0.0
YML027W,False,11,12154,-0.00239123494670471,0.06505330403645833,0.0,0.0
YGL014W,False,290,7446,-0.004128294021400836,0.06476847330729167,0.0,0.0
YGR043C,True,281,11596,0.0007407471162362442,0.06446329752604167,0.0,0.0
YHR204W,True,288,34287,-0.0029569341523514657,0.06431070963541667,0.0,0.0
YGR256W,True,10,41722,-0.0023639925606285094,0.0642242431640625,0.0,0.0
YMR300C,True,10,54168,-0.0029994199746692517,0.06394259134928386,0.0,0.0
YHR162W,True,11,30446,0.0011127723722748775,0.06386311848958333,0.0,0.0
YLR017W,True,11,29539,-0.004154346626780481,0.06368001302083333,0.0,0.0
YLR102C,False,291,40552,-0.009548842552232343,0.06309572855631511,0.0,0.0
YGR202C,True,306,40539,-0.006957099095172052,0.062957763671875,0.0,0.0
YLR258W,True,10,27275,-0.002286349461780132,0.06291707356770833,0.0,0.0
YOR377W,True,10,33163,-0.004174139919543079,0.06262397766113281,0.0,0.0
YOL089C,False,11,20565,-0.01128258562926603,0.06262016296386719,0.0,0.0
YFR030W,True,11,22666,-0.002282947022240493,0.06243896484375,0.0,0.0
YHR001W-A,True,10,12990,-4.317241966770267e-05,0.062367757161458336,0.0,0.0
