gene1,gene2,gene3,triple,systematic,corrected_M01_lzs9pcj3,asrun_M01_lzs9pcj3,corrected_M02_yv4r30bi,asrun_M02_yv4r30bi,corrected_M03_c7671wgj,asrun_M03_c7671wgj,corrected_mean,corrected_sd,asrun_mean,stored_prediction,corrected_rank,asrun_rank,panel
YER079W,YGL087C,YLL012W,YER079W+YGL087C+YLL012W,YER079W+YGL087C+YLL012W,0.03151991154503572,0.613826312098095,0.028383362740117733,0.6995541839842377,0.03528774151893532,0.6752970712969408,0.03173033860136293,0.003456995984937293,0.6628925224597578,,1,11.0,constructed_10
YER079W,YLL012W,YPL081W,YER079W+YLL012W+YPL081W,YER079W+YLL012W+YPL081W,-0.005144255441276353,0.6885810916781732,0.052217761052753275,0.7903751113593331,0.006761958192288654,0.7202018252717753,0.017945154601255193,0.030272068735163665,0.7330526761030939,,2,1.0,constructed_10
YGL087C,YLL012W,YPL046C,YGL087C+YLL012W+YPL046C,YGL087C+YLL012W+YPL046C,-0.04391075778417641,0.020457451246611715,0.07612297878583194,0.11378885750513042,0.0002027793098650435,0.4437089313128195,0.010805000103840189,0.06071515291146592,0.19265174668818721,0.443603515625,3,63.0,constructed_10
YER079W,YLL012W,YPL046C,YER079W+YLL012W+YPL046C,YER079W+YLL012W+YPL046C,-0.02130314444614941,0.2732756780387693,0.03661508245355433,0.15174688283101273,0.012608077593819413,0.46568537283510447,0.009306671867074779,0.02909990913440845,0.29690264456829546,0.465576171875,4,38.0,constructed_10
YER079W,YGL087C,YPL081W,YER079W+YGL087C+YPL081W,YER079W+YGL087C+YPL081W,-0.03317231679087708,0.6590084763877774,0.04600846163121808,0.5978453542475243,0.010310829986005337,0.6729310593554277,0.007715658275448779,0.039654130995870875,0.6432616299969097,,5,14.0,constructed_10
YER079W,YGL087C,YPL046C,YER079W+YGL087C+YPL046C,YER079W+YGL087C+YPL046C,-0.053174741912987294,0.15338935340653753,0.05606460816926431,0.03970296529605079,0.0119513340886181,0.3955665371192627,0.004947066781631706,0.054955470355361066,0.19621961860728368,0.3955078125,6,59.0,constructed_10
YGL087C,YKL033W-A,YLL012W,YGL087C+YKL033W-A+YLL012W,YGL087C+YKL033W-A+YLL012W,0.02411321677473372,0.10950898287222374,-0.012936614341749093,0.2577814552284412,0.0028535263478782925,0.20900734622374584,0.004676709593620974,0.018592081494567578,0.19209926144147027,,7,64.0,constructed_10
YER079W,YKL033W-A,YLL012W,YER079W+YKL033W-A+YLL012W,YER079W+YKL033W-A+YLL012W,0.0020127705641476822,0.646372128849062,0.004995184092454584,0.6928925957929326,0.0066479725232154,0.6839518749235726,0.004551975726605889,0.002349169968734703,0.6744055331885224,,8,8.0,constructed_10
YER079W,YGL087C,YKL033W-A,YER079W+YGL087C+YKL033W-A,YER079W+YGL087C+YKL033W-A,0.00406770270542136,0.6108844837048836,0.0019894330744973723,0.7495980877239151,-0.003040578386427551,0.6332236763185177,0.001005519131163727,0.003654857043182258,0.6645687492491055,,9,10.0,constructed_10
YER079W,YKL033W-A,YPL081W,YER079W+YKL033W-A+YPL081W,YER079W+YKL033W-A+YPL081W,-0.01209791788691415,0.6845037995778199,0.028566254147941172,0.7534681969140492,-0.022744444654232115,0.6947552510017844,-0.0020920361310683643,0.027079239375872664,0.7109090824978845,,10,2.0,constructed_10
YGL087C,YLL012W,YPL081W,YGL087C+YLL012W+YPL081W,YGL087C+YLL012W+YPL081W,-0.03405333813428751,0.5726201411008864,0.042546349378016296,0.7936512439183931,-0.016177416848766474,0.6906448965150596,-0.0025614685350125615,0.04007397619537849,0.6856387605114463,,11,5.0,constructed_10
YDR057W,YER079W,YLL012W,YDR057W+YER079W+YLL012W,YDR057W+YER079W+YLL012W,-0.0169615889299086,0.5495611779226294,-0.00916512810457559,0.5739254417015248,0.01769515259180656,0.5748362259801121,-0.002810521480892543,0.018181259643711745,0.566107615201422,0.57470703125,12,24.0,constructed_10
YKL033W-A,YLL012W,YPL081W,YKL033W-A+YLL012W+YPL081W,YKL033W-A+YLL012W+YPL081W,-0.0006297269031784675,0.6358011548006011,0.00957249953706208,0.7639023964553853,-0.02025202413854757,0.7116821068332567,-0.003769750501554652,0.015158178131557225,0.703795219363081,,13,3.0,constructed_10
YER079W,YLL012W,YLR312C-B,YER079W+YLL012W+YLR312C-B,YER079W+YLL012W+YLR313C,0.0012596472614480568,,-0.0006443948491396071,,-0.019727912915171293,,-0.006370886834287615,0.011606634024719564,,0.7109375,14,,constructed_10
YER079W,YKL033W-A,YPL046C,YER079W+YKL033W-A+YPL046C,YER079W+YKL033W-A+YPL046C,-0.028133632486811787,0.09394179505547572,0.01824392485611239,0.08694241093625749,-0.010291803252110201,0.3972967617841625,-0.006727170294269866,0.02339336257076238,0.19272698925863194,0.3974609375,15,62.0,constructed_10
YKL033W-A,YLL012W,YPL046C,YKL033W-A+YLL012W+YPL046C,YKL033W-A+YLL012W+YPL046C,-0.009961391495970879,0.016363665661086324,0.001784763403388203,0.05433321078513986,-0.013779552948120086,0.4617848559027601,-0.007318727013567588,0.00811170404707753,0.17749391078299545,,16,68.0,constructed_10
YER079W,YGL087C,YLR312C-B,YER079W+YGL087C+YLR312C-B,YER079W+YGL087C+YLR313C,-9.487360941257995e-05,,-0.012368288586963108,,-0.011297020651990983,,-0.007920060949455557,0.0067979461182920186,,0.64208984375,17,,constructed_10
YKL033W-A,YLL012W,YLR312C-B,YKL033W-A+YLL012W+YLR312C-B,YKL033W-A+YLL012W+YLR313C,0.002918764982300655,,-0.011947236193003571,,-0.02627782882404086,,-0.011768766678247925,0.014599115075883804,,0.265625,18,,constructed_10
YER079W,YKL033W-A,YLR312C-B,YER079W+YKL033W-A+YLR312C-B,YER079W+YKL033W-A+YLR313C,-0.004437148170338745,,-0.008735393911822445,,-0.02567119738358471,,-0.012947913155248634,0.011226317307105427,,0.65625,19,,constructed_10
YGL087C,YLL012W,YLR312C-B,YGL087C+YLL012W+YLR312C-B,YGL087C+YLL012W+YLR313C,0.015486335932212592,,-0.025526293028716056,,-0.030669537883841844,,-0.0135698316601151,0.0252944440198835,,,20,,constructed_10
