genes,n_triples,worst_triple,mean_triple,median_triple,n_above_zero,gene_names
"(136, 193, 246, 292, 488)",10,0.06890869140625,0.419476318359375,0.607421875,10,"YER059W, YGL060W, YGR121C, YHR003C, YPL181W"
"(136, 193, 246, 292, 486)",10,0.0130615234375,0.305810546875,0.33544921875,10,"YER059W, YGL060W, YGR121C, YHR003C, YPL089C"
"(14, 136, 193, 246, 488)",10,0.026275634765625,0.2501800537109375,0.1358642578125,10,"YBR028C, YER059W, YGL060W, YGR121C, YPL181W"
"(136, 246, 275, 292, 488)",10,0.015899658203125,0.2491302490234375,0.130615234375,10,"YER059W, YGR121C, YGR279C, YHR003C, YPL181W"
"(136, 193, 246, 275, 488)",10,0.00432586669921875,0.23898086547851563,0.112945556640625,10,"YER059W, YGL060W, YGR121C, YGR279C, YPL181W"
"(12, 136, 275, 292, 488)",10,0.0161895751953125,0.23465118408203126,0.110107421875,10,"YBR001C, YER059W, YGR279C, YHR003C, YPL181W"
"(136, 193, 275, 292, 488)",10,0.00432586669921875,0.23207778930664064,0.099517822265625,10,"YER059W, YGL060W, YGR279C, YHR003C, YPL181W"
"(14, 136, 193, 246, 486)",10,0.009521484375,0.17608489990234374,0.09881591796875,10,"YBR028C, YER059W, YGL060W, YGR121C, YPL089C"
"(136, 193, 246, 275, 292)",10,0.008941650390625,0.2281646728515625,0.090728759765625,10,"YER059W, YGL060W, YGR121C, YGR279C, YHR003C"
"(14, 136, 246, 275, 488)",10,0.01470947265625,0.13720550537109374,0.090240478515625,10,"YBR028C, YER059W, YGR121C, YGR279C, YPL181W"
"(136, 193, 246, 275, 486)",10,0.0009784698486328125,0.16776447296142577,0.0753021240234375,10,"YER059W, YGL060W, YGR121C, YGR279C, YPL089C"
"(14, 136, 193, 275, 488)",10,0.00432586669921875,0.12675857543945312,0.06854248046875,10,"YBR028C, YER059W, YGL060W, YGR279C, YPL181W"
"(14, 136, 193, 246, 275)",10,0.00885009765625,0.12277679443359375,0.06854248046875,10,"YBR028C, YER059W, YGL060W, YGR121C, YGR279C"
"(136, 246, 275, 292, 486)",10,0.0040130615234375,0.16420440673828124,0.0646514892578125,10,"YER059W, YGR121C, YGR279C, YHR003C, YPL089C"
"(136, 193, 275, 292, 486)",10,0.0009784698486328125,0.15276050567626953,0.0646514892578125,10,"YER059W, YGL060W, YGR279C, YHR003C, YPL089C"
"(136, 193, 246, 399, 502)",10,-0.025634765625,0.09244537353515625,0.0613250732421875,7,"YER059W, YGL060W, YGR121C, YLR386W, YPL177C"
"(136, 193, 246, 275, 502)",10,-0.0005207061767578125,0.10684967041015625,0.054046630859375,9,"YER059W, YGL060W, YGR121C, YGR279C, YPL177C"
"(136, 193, 246, 365, 488)",10,-0.026092529296875,0.20857105255126954,0.0537109375,8,"YER059W, YGL060W, YGR121C, YKR028W, YPL181W"
"(12, 136, 275, 365, 488)",10,0.0039825439453125,0.10685882568359376,0.0529022216796875,10,"YBR001C, YER059W, YGR279C, YKR028W, YPL181W"
"(14, 136, 193, 275, 486)",10,0.0009784698486328125,0.07949619293212891,0.0525970458984375,10,"YBR028C, YER059W, YGL060W, YGR279C, YPL089C"
