gene,smf_mean,smf_min,smf_max,n_strains,smf_strain_spread,n_train,mean_tau,frac_pos,frac_neg,pos_enrichment
YDR423C,0.994,0.994,0.994,4,0.0,1049,0.012379232125834128,0.09628217349857007,0.03336510962821735,1.7758041607002497
YER059W,1.0245,1.0245,1.0245,4,0.0,1097,0.01646760164083865,0.16317228805834094,0.14129443938012762,3.009508588308768
YGL060W,1.0158,1.0158,1.0158,4,0.0,1321,0.0024703126419379257,0.03557910673732021,0.022710068130204392,0.6562120845669303
YGR121C,1.0038,1.0038,1.0038,4,0.0,1413,0.002791954706298655,0.09554140127388536,0.06227883934890304,1.7621415443412014
YHR003C,0.9868,0.9868,0.9868,4,0.0,1356,0.0014467035398230083,0.06637168141592921,0.051622418879056046,1.224142577263578
YHR204W,1.0488,1.0488,1.0488,4,0.0,288,0.003395130208333333,0.041666666666666664,0.024305555555555556,0.7684895068376905
YJR082C,0.9757,0.9757,0.9757,4,0.0,796,-0.03215803203517588,0.020100502512562814,0.14321608040201006,0.3707286063136598
YKR028W,0.9708,0.9708,0.9708,4,0.0,1323,0.005209498866213153,0.14663643235071808,0.11413454270597127,2.704525429959401
YLR258W,0.9888,0.9888,0.9888,4,0.0,1114,0.002717736535008977,0.05116696588868941,0.03141831238779174,0.9437106331723166
YPL181W,1.0357,1.0357,1.0357,4,0.0,295,-0.013792742372881354,0.03389830508474576,0.1152542372881356,0.6252118021730364
