block,triple,gene1,gene2,gene3,M01_lzs9pcj3,M02_yv4r30bi,M03_c7671wgj,worst_checkpoint,mean_checkpoint,spread,all_positive,tier
1,YER059W + YGR121C + YPL181W,YER059W,YGR121C,YPL181W,0.66552734375,0.7421875,0.66162109375,0.66162109375,0.6897786458333334,0.08056640625,True,"A claim, contains YER059W"
1,YER059W + YHR003C + YPL181W,YER059W,YHR003C,YPL181W,0.65380859375,0.71337890625,0.66552734375,0.65380859375,0.6775716145833334,0.0595703125,True,"A claim, contains YER059W"
1,YER059W + YGR121C + YHR003C,YER059W,YGR121C,YHR003C,0.65380859375,0.7060546875,0.642578125,0.642578125,0.66748046875,0.0634765625,True,"A claim, contains YER059W"
1,YER059W + YGL060W + YPL181W,YER059W,YGL060W,YPL181W,0.62841796875,0.76904296875,0.65087890625,0.62841796875,0.6827799479166666,0.140625,True,"A claim, contains YER059W"
1,YER059W + YGL060W + YGR121C,YER059W,YGL060W,YGR121C,0.625,0.71435546875,0.6328125,0.625,0.6573893229166666,0.08935546875,True,"A claim, contains YER059W"
1,YER059W + YGL060W + YHR003C,YER059W,YGL060W,YHR003C,0.58984375,0.68212890625,0.63427734375,0.58984375,0.6354166666666666,0.09228515625,True,"A claim, contains YER059W"
1,YGR121C + YHR003C + YPL181W,YGR121C,YHR003C,YPL181W,0.1265869140625,0.5673828125,0.1839599609375,0.1265869140625,0.2926432291666667,0.4407958984375,True,B same block without YER059W
1,YGL060W + YHR003C + YPL181W,YGL060W,YHR003C,YPL181W,0.1077880859375,0.61865234375,0.1990966796875,0.1077880859375,0.3085123697916667,0.5108642578125,True,B same block without YER059W
1,YGL060W + YGR121C + YHR003C,YGL060W,YGR121C,YHR003C,0.0902099609375,0.541015625,0.159423828125,0.0902099609375,0.2635498046875,0.4508056640625,True,B same block without YER059W
1,YGL060W + YGR121C + YPL181W,YGL060W,YGR121C,YPL181W,0.06890869140625,0.41259765625,0.1883544921875,0.06890869140625,0.22328694661458334,0.34368896484375,True,B same block without YER059W
2,YDR423C + YKR028W + YLR258W,YDR423C,YKR028W,YLR258W,0.044891357421875,0.043914794921875,0.0482177734375,0.043914794921875,0.045674641927083336,0.004302978515625,True,C generalization control
2,YDR423C + YHR204W + YKR028W,YDR423C,YHR204W,YKR028W,0.03765869140625,0.04461669921875,0.042022705078125,0.03765869140625,0.041432698567708336,0.0069580078125,True,C generalization control
2,YDR423C + YJR082C + YKR028W,YDR423C,YJR082C,YKR028W,0.033111572265625,0.08251953125,0.06787109375,0.033111572265625,0.061167399088541664,0.049407958984375,True,C generalization control
2,YDR423C + YHR204W + YJR082C,YDR423C,YHR204W,YJR082C,0.034088134765625,0.030731201171875,0.04229736328125,0.030731201171875,0.03570556640625,0.011566162109375,True,C generalization control
2,YHR204W + YKR028W + YLR258W,YHR204W,YKR028W,YLR258W,0.033203125,0.029632568359375,0.038177490234375,0.029632568359375,0.033671061197916664,0.008544921875,True,C generalization control
2,YJR082C + YKR028W + YLR258W,YJR082C,YKR028W,YLR258W,0.033721923828125,0.029144287109375,0.055145263671875,0.029144287109375,0.039337158203125,0.0260009765625,True,C generalization control
2,YDR423C + YJR082C + YLR258W,YDR423C,YJR082C,YLR258W,0.024322509765625,0.020477294921875,0.03350830078125,0.020477294921875,0.026102701822916668,0.013031005859375,True,C generalization control
2,YHR204W + YJR082C + YLR258W,YHR204W,YJR082C,YLR258W,0.029388427734375,0.0170440673828125,0.0204315185546875,0.0170440673828125,0.022288004557291668,0.0123443603515625,True,C generalization control
2,YHR204W + YJR082C + YKR028W,YHR204W,YJR082C,YKR028W,0.0224761962890625,0.056121826171875,0.01702880859375,0.01702880859375,0.0318756103515625,0.039093017578125,True,C generalization control
2,YDR423C + YHR204W + YLR258W,YDR423C,YHR204W,YLR258W,0.0134735107421875,0.010833740234375,0.0306396484375,0.010833740234375,0.018315633138020832,0.019805908203125,True,C generalization control
