kind,strain
wild type,BY4741
single,YBR028C
single,YCR073C
single,YDL095W
single,YFR015C
single,YGL060W
single,YGR121C
single,YGR202C
single,YIL124W
single,YKR028W
single,YPL181W
double,YGR202C + YIL124W
double,YBR028C + YGL060W
double,YDL095W + YGL060W
double,YGL060W + YGR121C
double,YBR028C + YGR121C
double,YCR073C + YGR202C
double,YBR028C + YPL181W
double,YFR015C + YGR202C
double,YIL124W + YKR028W
double,YCR073C + YKR028W
double,YGL060W + YPL181W
double,YDL095W + YGR121C
double,YDL095W + YPL181W
double,YGR121C + YPL181W
double,YCR073C + YIL124W
double,YCR073C + YFR015C
double,YFR015C + YIL124W
double,YGR202C + YKR028W
double,YFR015C + YKR028W
double,YBR028C + YDL095W
triple,YGL060W + YGR121C + YPL181W
triple,YBR028C + YDL095W + YGL060W
triple,YBR028C + YGL060W + YPL181W
triple,YBR028C + YGR121C + YPL181W
triple,YBR028C + YGL060W + YGR121C
triple,YBR028C + YDL095W + YGR121C
triple,YBR028C + YDL095W + YPL181W
triple,YDL095W + YGL060W + YPL181W
triple,YDL095W + YGL060W + YGR121C
triple,YDL095W + YGR121C + YPL181W
triple,YFR015C + YGR202C + YKR028W
triple,YCR073C + YIL124W + YKR028W
triple,YFR015C + YIL124W + YKR028W
triple,YCR073C + YFR015C + YKR028W
triple,YGR202C + YIL124W + YKR028W
triple,YCR073C + YGR202C + YKR028W
triple,YCR073C + YFR015C + YIL124W
triple,YCR073C + YGR202C + YIL124W
triple,YCR073C + YFR015C + YGR202C
triple,YFR015C + YGR202C + YIL124W
