gene,screens,n_records,frac_pos,enrichment
YDR302W,209,209,0.3014354066985646,5.559598728892766
YPL177C,11,1073,0.26001863932898417,4.795718301756921
YGL096W,11,1073,0.2590866728797763,4.778529347270337
YPR181C,294,294,0.24489795918367346,4.516836285086834
YBL031W,305,305,0.2360655737704918,4.353933992837801
YDL010W,11,1027,0.23271665043816941,4.292167294275552
YBR014C,12,1028,0.23249027237354086,4.287992034261666
YGL197W,12,1082,0.22273567467652494,4.108080690895751
YER132C,12,1082,0.22181146025878004,4.091034712925229
YDR359C,214,214,0.21495327102803738,3.9645439978916373
YNL003C,310,310,0.2129032258064516,3.926733480099683
YGL215W,308,308,0.2077922077922078,3.832467150982769
YDR145W,264,264,0.20454545454545456,3.772584851748663
YMR235C,282,282,0.20212765957446807,3.7279916501913495
YDR126W,283,283,0.1978798586572438,3.6496462798228126
YER061C,273,273,0.1978021978021978,3.648213922570135
YIL140W,305,305,0.19672131147540983,3.628278327364834
YNL091W,280,280,0.19285714285714287,3.557008574505882
YLR039C,277,277,0.19133574007220217,3.5289482046842684
YKL069W,284,284,0.18661971830985916,3.4419670869631775
YOR080W,278,278,0.18345323741007194,3.3835653106810546
YEL016C,1,1114,0.18312387791741472,3.3774906871430277
YNL118C,291,291,0.18213058419243985,3.359170627826606
YKL006W,291,291,0.18213058419243985,3.359170627826606
YLR089C,292,292,0.1815068493150685,3.3476666188272
YCR026C,11,1124,0.18149466192170818,3.3474418376132853
YLR316C,283,283,0.18021201413427562,3.3237850048386335
YHR081W,272,272,0.1801470588235294,3.322586985445309
YDR146C,283,1310,0.17938931297709923,3.3086113118813545
YFR036W,297,297,0.17845117845117844,3.2913085949412197
YLR131C,305,1332,0.17642642642642642,3.253964578501933
YKL055C,273,273,0.17582417582417584,3.2428568200623427
YIL090W,302,302,0.17549668874172186,3.2368167307865643
YMR093W,263,263,0.17490494296577946,3.22590272071791
YJR011C,269,269,0.17472118959107807,3.2225136197506132
YER056C-A,1,1140,0.17456140350877192,3.21956656548843
YIL052C,11,1150,0.17304347826086958,3.191570334484183
YNL052W,11,1104,0.17119565217391305,3.157489495485294
YIL111W,11,1104,0.17119565217391305,3.157489495485294
YOR026W,263,263,0.17110266159695817,3.1557744007023034
YJL133W,10,1079,0.1705282669138091,3.1451804098195013
YKR052C,8,1077,0.16991643454038996,3.1338959276055123
YGR118W,272,272,0.16911764705882354,3.119163292458862
YDR311W,278,278,0.16906474820143885,3.1181876392550896
YLR418C,291,291,0.16494845360824742,3.0422677384090018
YPL157W,285,285,0.1649122807017544,3.0416005744312806
YBL087C,286,286,0.16433566433566432,3.0309656073878144
YER157W,306,306,0.16339869281045752,3.013684340539963
YER059W,1,1097,0.16317228805834094,3.009508588308768
YPL256C,11,1092,0.163003663003663,3.00639851026613
YMR199W,11,1092,0.163003663003663,3.00639851026613
YIL050W,11,1107,0.16169828364950317,2.9823224221993847
