gene,n_records,n_distinct_screens,records_per_screen
YNR034W-A,1117,1,1117.0
YDR343C,1042,1,1042.0
YDR379C-A,519,1,519.0
YNL309W,1110,1,1110.0
YNL307C,1147,1,1147.0
YNL298W,1115,1,1115.0
YDR169C-A,486,1,486.0
YDR200C,3476,1,3476.0
YNL314W,437,1,437.0
YNL321W,551,1,551.0
YNL255C,538,1,538.0
YNL257C,1123,1,1123.0
YNL160W,1078,1,1078.0
YNL157W,1087,1,1087.0
YNL325C,479,1,479.0
YNL322C,535,1,535.0
YNL273W,521,1,521.0
YNL278W,1136,1,1136.0
YNL281W,571,1,571.0
YNL283C,1147,1,1147.0
YNL195C,1093,1,1093.0
YNL173C,1093,1,1093.0
YDL213C,490,1,490.0
YDL204W,1090,1,1090.0
YDL179W,1122,1,1122.0
YDL181W,1120,1,1120.0
YDL195W,408,1,408.0
YDL203C,479,1,479.0
YDR483W,1048,1,1048.0
YDL155W,1077,1,1077.0
YDL170W,506,1,506.0
YNL288W,518,1,518.0
YER002W,590,1,590.0
YER056C-A,1140,1,1140.0
YER059W,1097,1,1097.0
YER103W,1086,1,1086.0
YDL145C,495,1,495.0
YDR507C,1100,1,1100.0
YKL054C,453,1,453.0
YJL118W,489,1,489.0
YER067W,1110,1,1110.0
YER064C,1110,1,1110.0
YDL223C,1093,1,1093.0
YDL230W,539,1,539.0
YDL142C,493,1,493.0
YDL135C,532,1,532.0
YDL130W-A,1120,1,1120.0
YDL127W,1122,1,1122.0
YMR142C,1098,1,1098.0
YMR081C,1075,1,1075.0
YML082W,1079,1,1079.0
YML088W,525,1,525.0
YML081W,1104,1,1104.0
YJL092W,483,1,483.0
YPL077C,1045,1,1045.0
YEL060C,1106,1,1106.0
YEL047C,1102,1,1102.0
YEL039C,1080,1,1080.0
YEL025C,1087,1,1087.0
YEL016C,1114,1,1114.0
YEL006W,1101,1,1101.0
YER093C-A,1059,1,1059.0
YER075C,516,1,516.0
YER072W,530,1,530.0
YKL209C,501,1,501.0
YHR165C,532,1,532.0
YIL033C,542,1,542.0
YHR144C,484,1,484.0
YHR199C-A,501,1,501.0
YIL046W-A,516,1,516.0
YGL134W,1052,1,1052.0
YCR075W-A,1117,1,1117.0
YGR169C-A,1072,1,1072.0
YLR270W,993,1,993.0
YCL005W,465,1,465.0
YLR288C,484,1,484.0
YHR001W,1095,1,1095.0
YGR174W-A,499,1,499.0
YHL015W-A,519,1,519.0
YHR079C-A,516,1,516.0
YLR363W-A,471,1,471.0
YMR237W,1055,1,1055.0
YER169W,1021,1,1021.0
YER180C-A,491,1,491.0
YNL042W-B,525,1,525.0
YDL021W,1035,1,1035.0
YJR005C-A,1072,1,1072.0
YBR037C,1083,1,1083.0
YHR119W,998,2,499.0
YNL294C,534,2,267.0
YDR434W,6,6,1.0
YKR022C,6,6,1.0
YKR066C,7,7,1.0
YDR416W,7,7,1.0
YKR017C,7,7,1.0
YKR088C,7,7,1.0
YKR018C,7,7,1.0
YKR089C,7,7,1.0
YKR067W,7,7,1.0
YKR069W,7,7,1.0
YKR103W,7,7,1.0
YKR097W,7,7,1.0
YKR100C,7,7,1.0
YKR102W,7,7,1.0
YKR015C,7,7,1.0
YKR016W,7,7,1.0
YKR105C,7,7,1.0
YKR104W,7,7,1.0
YKR087C,7,7,1.0
YKR014C,7,7,1.0
YKR035W-A,7,7,1.0
YKR055W,7,7,1.0
YKR070W,7,7,1.0
YKR012C,7,7,1.0
YKR009C,7,7,1.0
YKR008W,7,7,1.0
YKR023W,7,7,1.0
YKR083C,7,7,1.0
YKR005C,7,7,1.0
YKR024C,7,7,1.0
YKR050W,7,7,1.0
YKR081C,7,7,1.0
YKR076W,7,7,1.0
YKR074W,7,7,1.0
YKR049C,7,7,1.0
YKR051W,7,7,1.0
YKR106W,7,7,1.0
YKR086W,7,7,1.0
YKR045C,7,7,1.0
YKR064W,7,7,1.0
YKR046C,7,7,1.0
YKR039W,7,7,1.0
YKR041W,7,7,1.0
YKR040C,7,7,1.0
YKR032W,7,7,1.0
YKR031C,7,7,1.0
YKR033C,7,7,1.0
YKR035C,7,7,1.0
YKR044W,7,7,1.0
YKR047W,7,7,1.0
YKR043C,7,7,1.0
YKR065C,7,7,1.0
YKR080W,7,7,1.0
YKR091W,1091,8,136.375
YKL005C,8,8,1.0
YKL001C,8,8,1.0
YKL024C,8,8,1.0
YKR096W,1138,8,142.25
YHR059W,8,8,1.0
YKL030W,8,8,1.0
YKL021C,8,8,1.0
YKL022C,8,8,1.0
YKL015W,8,8,1.0
YKL009W,8,8,1.0
YKL023W,8,8,1.0
YKL033W-A,8,8,1.0
YKL032C,8,8,1.0
YKL031W,8,8,1.0
YKL029C,8,8,1.0
YDR531W,8,8,1.0
YKR021W,1051,8,131.375
YKR098C,1124,8,140.5
YKR052C,1077,8,134.625
YKR034W,1061,8,132.625
YKR078W,1059,8,132.375
YKR077W,3851,8,481.375
YKR013W,1055,8,131.875
YKR036C,1056,8,132.0
YKR056W,478,8,59.75
YKR058W,1072,8,134.0
YKR060W,497,8,62.125
YKR061W,1058,8,132.25
YKL017C,8,8,1.0
YKL018W,8,8,1.0
YKL019W,8,8,1.0
YDR284C,9,9,1.0
YDR282C,9,9,1.0
YDR281C,9,9,1.0
YDR280W,9,9,1.0
YDR278C,9,9,1.0
YDR276C,9,9,1.0
YDR275W,9,9,1.0
YDR274C,9,9,1.0
YDR271C,9,9,1.0
YDR270W,9,9,1.0
YDR269C,9,9,1.0
YDR266C,9,9,1.0
YDR265W,9,9,1.0
YDR262W,9,9,1.0
YDR261C,9,9,1.0
YDR258C,9,9,1.0
YJR025C,9,9,1.0
YJR024C,9,9,1.0
YJR020W,9,9,1.0
YJR019C,9,9,1.0
YJR010W,9,9,1.0
YJR010C-A,9,9,1.0
YJR009C,9,9,1.0
YJR008W,9,9,1.0
YJR007W,9,9,1.0
YJR006W,9,9,1.0
YJR003C,9,9,1.0
YDR285W,9,9,1.0
YOR293W,9,9,1.0
YOR292C,9,9,1.0
YOR291W,9,9,1.0
YOR289W,9,9,1.0
YOR288C,9,9,1.0
YOR286W,9,9,1.0
YOR285W,9,9,1.0
YOR284W,9,9,1.0
YOR283W,9,9,1.0
YOR277C,9,9,1.0
YOR276W,9,9,1.0
YOR271C,9,9,1.0
YOR294W,9,9,1.0
YOR274W,9,9,1.0
YOR314W,9,9,1.0
YOR309C,9,9,1.0
YOR307C,9,9,1.0
YOR306C,9,9,1.0
YOR301W,9,9,1.0
YOR300W,9,9,1.0
YOR298W,9,9,1.0
YOR298C-A,9,9,1.0
YOR296W,9,9,1.0
YOR333C,9,9,1.0
YOR328W,9,9,1.0
YOR325W,9,9,1.0
YOR322C,9,9,1.0
YOR321W,9,9,1.0
YOR320C,9,9,1.0
YOR318C,9,9,1.0
YOR317W,9,9,1.0
YOR316C,9,9,1.0
YOR239W,9,9,1.0
YOR238W,9,9,1.0
YOR273C,9,9,1.0
YOR272W,9,9,1.0
YJL027C,9,9,1.0
YJL025W,9,9,1.0
YJL022W,9,9,1.0
YJL007C,9,9,1.0
YJL001W,9,9,1.0
YOR343C,9,9,1.0
YOR342C,9,9,1.0
YOR341W,9,9,1.0
YOR339C,9,9,1.0
YOR220W,9,9,1.0
YOR219C,9,9,1.0
YOR225W,9,9,1.0
YLR109W,9,9,1.0
YLR107W,9,9,1.0
YLR105C,9,9,1.0
YLR104W,9,9,1.0
YHR172W,9,9,1.0
YOR223W,9,9,1.0
YOR221C,9,9,1.0
YJL044C,9,9,1.0
YJL043W,9,9,1.0
YJL042W,9,9,1.0
YJL039C,9,9,1.0
YJL038C,9,9,1.0
YJL037W,9,9,1.0
YJL035C,9,9,1.0
YJL034W,9,9,1.0
YJL029C,9,9,1.0
YJL028W,9,9,1.0
YKL070W,9,9,1.0
YKL067W,9,9,1.0
YKL066W,9,9,1.0
YJL070C,9,9,1.0
YJL068C,9,9,1.0
YJL067W,9,9,1.0
YOR191W,9,9,1.0
YOR190W,9,9,1.0
YLR125W,9,9,1.0
YLR124W,9,9,1.0
YLR123C,9,9,1.0
YLR122C,9,9,1.0
YLR121C,9,9,1.0
YLR120C,9,9,1.0
YLR118C,9,9,1.0
YLR117C,9,9,1.0
YLR103C,9,9,1.0
YOR235W,9,9,1.0
YOR231W,9,9,1.0
YOR229W,9,9,1.0
YOR226C,9,9,1.0
YLR130C,9,9,1.0
YLR128W,9,9,1.0
YLR126C,9,9,1.0
YLR116W,9,9,1.0
YLR113W,9,9,1.0
YLR112W,9,9,1.0
YLR111W,9,9,1.0
YLR149C,9,9,1.0
YLR146C,9,9,1.0
YOR209C,9,9,1.0
YOR208W,9,9,1.0
YOR204W,9,9,1.0
YOR197W,9,9,1.0
YOR194C,9,9,1.0
YOR192C,9,9,1.0
YLR188W,9,9,1.0
YLR186W,9,9,1.0
YLR184W,9,9,1.0
YLR182W,9,9,1.0
YLR152C,9,9,1.0
YLR151C,9,9,1.0
YLR150W,9,9,1.0
YLR171W,9,9,1.0
YLR169W,9,9,1.0
YLR165C,9,9,1.0
YLR163C,9,9,1.0
YLR144C,9,9,1.0
YLR138W,9,9,1.0
YLR134W,9,9,1.0
YLR214W,9,9,1.0
YLR213C,9,9,1.0
YLR211C,9,9,1.0
YLR209C,9,9,1.0
YLR208W,9,9,1.0
YLR207W,9,9,1.0
YLR206W,9,9,1.0
YLR180W,9,9,1.0
YLR179C,9,9,1.0
YLR178C,9,9,1.0
YOR179C,9,9,1.0
YOR178C,9,9,1.0
YOR177C,9,9,1.0
YOR175C,9,9,1.0
YLR192C,9,9,1.0
YLR189C,9,9,1.0
YLR229C,9,9,1.0
YLR228C,9,9,1.0
YLR227C,9,9,1.0
YLR221C,9,9,1.0
YLR219W,9,9,1.0
YLR218C,9,9,1.0
YLR217W,9,9,1.0
YLR205C,9,9,1.0
YLR197W,9,9,1.0
YLR193C,9,9,1.0
YOR188W,9,9,1.0
YOR186W,9,9,1.0
YOR185C,9,9,1.0
YOR183W,9,9,1.0
YOR182C,9,9,1.0
YOR181W,9,9,1.0
YLR252W,9,9,1.0
YLR251W,9,9,1.0
YLR250W,9,9,1.0
YLR248W,9,9,1.0
YLR247C,9,9,1.0
YLR246W,9,9,1.0
YLR242C,9,9,1.0
YLR215C,9,9,1.0
YOR155C,9,9,1.0
YOR152C,9,9,1.0
YOR151C,9,9,1.0
YLR234W,9,9,1.0
YLR232W,9,9,1.0
YLR231C,9,9,1.0
YLR269C,9,9,1.0
YLR268W,9,9,1.0
YLR267W,9,9,1.0
YLR265C,9,9,1.0
YLR241W,9,9,1.0
YLR239C,9,9,1.0
YLR237W,9,9,1.0
YLR236C,9,9,1.0
YLR235C,9,9,1.0
YOR170W,9,9,1.0
YOR168W,9,9,1.0
YOR162C,9,9,1.0
YOR161C,9,9,1.0
YOR157C,9,9,1.0
YLR255C,9,9,1.0
YLR253W,9,9,1.0
YLR290C,9,9,1.0
YLR289W,9,9,1.0
YLR286C,9,9,1.0
YLR285W,9,9,1.0
YLR283W,9,9,1.0
YLR282C,9,9,1.0
YLR261C,9,9,1.0
YLR257W,9,9,1.0
YOR131C,9,9,1.0
YOR129C,9,9,1.0
YOR128C,9,9,1.0
YLR273C,9,9,1.0
YLR271W,9,9,1.0
YLR300W,9,9,1.0
YLR298C,9,9,1.0
YLR297W,9,9,1.0
YLR296W,9,9,1.0
YLR281C,9,9,1.0
YLR280C,9,9,1.0
YLR279W,9,9,1.0
YLR278C,9,9,1.0
YOR149C,9,9,1.0
YOR139C,9,9,1.0
YOR137C,9,9,1.0
YOR136W,9,9,1.0
YOR135C,9,9,1.0
YOR134W,9,9,1.0
YOR133W,9,9,1.0
YLR291C,9,9,1.0
YLR328W,9,9,1.0
YLR326W,9,9,1.0
YLR317W,9,9,1.0
YLR314C,9,9,1.0
YLR313C,9,9,1.0
YLR312C,9,9,1.0
YLR351C,9,9,1.0
YLR350W,9,9,1.0
YLR349W,9,9,1.0
YOR111W,9,9,1.0
YOR108W,9,9,1.0
YLR311C,9,9,1.0
YLR310C,9,9,1.0
YLR307W,9,9,1.0
YLR306W,9,9,1.0
YLR303W,9,9,1.0
YLR372W,9,9,1.0
YLR371W,9,9,1.0
YLR370C,9,9,1.0
YLR366W,9,9,1.0
YLR365W,9,9,1.0
YLR364W,9,9,1.0
YLR361C,9,9,1.0
YOR126C,9,9,1.0
YOR125C,9,9,1.0
YOR124C,9,9,1.0
YOR122C,9,9,1.0
YOR121C,9,9,1.0
YOR118W,9,9,1.0
YOR112W,9,9,1.0
YLR294C,9,9,1.0
YLR388W,9,9,1.0
YLR387C,9,9,1.0
YLR385C,9,9,1.0
YLR380W,9,9,1.0
YLR376C,9,9,1.0
YLR374C,9,9,1.0
YLR408C,9,9,1.0
YLR407W,9,9,1.0
YLR406C,9,9,1.0
YLR405W,9,9,1.0
YLR345W,9,9,1.0
YLR344W,9,9,1.0
YLR343W,9,9,1.0
YLR341W,9,9,1.0
YLR340W,9,9,1.0
YLR334C,9,9,1.0
YLR429W,9,9,1.0
YLR428C,9,9,1.0
YLR427W,9,9,1.0
YLR426W,9,9,1.0
YOR094W,9,9,1.0
YOR093C,9,9,1.0
YOR092W,9,9,1.0
YOR091W,9,9,1.0
YOR090C,9,9,1.0
YOR089C,9,9,1.0
YOR087W,9,9,1.0
YLR354C,9,9,1.0
YLR352W,9,9,1.0
YLR390W,9,9,1.0
YLR389C,9,9,1.0
YOR105W,9,9,1.0
YOR104W,9,9,1.0
YOR101W,9,9,1.0
YOR100C,9,9,1.0
YOR099W,9,9,1.0
YOR097C,9,9,1.0
YLR404W,9,9,1.0
YLR402W,9,9,1.0
YLR400W,9,9,1.0
YLR397C,9,9,1.0
YLR395C,9,9,1.0
YLR393W,9,9,1.0
YLR392C,9,9,1.0
