rank,gene1,gene2,gene3,inferred_gene_interaction
1,YAR035W,YGL240W,YPL046C,0.21813965
2,YDL036C,YGL240W,YJR149W,0.17956543
3,YGL240W,YGR288W,YJR153W,0.17687988
4,YDL036C,YGR288W,YJR153W,0.17333984
5,YGL240W,YGR288W,YJR149W,0.17285156
6,YDL036C,YDR363W-A,YGR288W,0.1583252
7,YGR288W,YIL124W,YMR182C,0.14782715
8,YDL036C,YDR363W-A,YJR149W,0.14501953
9,YGR288W,YJR153W,YPL046C,0.14453125
10,YGR288W,YJR153W,YMR182C,0.13879395
11,YDL036C,YJR149W,YPL046C,0.13476562
12,YGR288W,YMR182C,YPL046C,0.13391113
13,YGR288W,YJR149W,YMR182C,0.13342285
14,YDL036C,YGR288W,YJR149W,0.13183594
15,YDL036C,YJR153W,YPL046C,0.12683105
16,YDR363W-A,YGR288W,YJR149W,0.12683105
17,YDL036C,YJR149W,YOL016C,0.123413086
18,YDL036C,YIL124W,YJR149W,0.1204834
19,YDR213W,YGR288W,YMR182C,0.11779785
20,YDR363W-A,YGR288W,YJR153W,0.115356445
21,YDL036C,YDR213W,YJR153W,0.109191895
22,YAR035W,YGR288W,YMR182C,0.109069824
23,YJR149W,YMR182C,YOL016C,0.10882568
24,YDL036C,YDR363W-A,YJR153W,0.10772705
25,YAR035W,YOL016C,YPL046C,0.107421875
26,YAR035W,YGL240W,YGR288W,0.105407715
27,YDR363W-A,YGR288W,YIL124W,0.10473633
28,YGR288W,YMR182C,YOL016C,0.10406494
29,YDL036C,YDR363W-A,YIL124W,0.10308838
30,YAR035W,YGR288W,YPL046C,0.10290527
31,YDL036C,YDR363W-A,YPL046C,0.101989746
32,YDR363W-A,YGR288W,YPL046C,0.101989746
33,YDL036C,YGL240W,YJR153W,0.10015869
34,YGL240W,YIL124W,YJR149W,0.09991455
35,YMR182C,YOL016C,YPL046C,0.099609375
36,YDL036C,YDR213W,YJR149W,0.099487305
37,YAR035W,YDR213W,YPL046C,0.09893799
