rank,gene1,gene2,gene3,inferred_gene_interaction
1,YAR035W,YGL240W,YPL046C,0.2181396484375
2,YDL036C,YGL240W,YJR149W,0.1795654296875
3,YGL240W,YGR288W,YJR153W,0.1768798828125
4,YDL036C,YGR288W,YJR153W,0.17333984375
5,YGL240W,YGR288W,YJR149W,0.1728515625
6,YDL036C,YDR363W-A,YGR288W,0.1583251953125
7,YGR288W,YIL124W,YMR182C,0.1478271484375
8,YDL036C,YDR363W-A,YJR149W,0.14501953125
9,YGR288W,YJR153W,YPL046C,0.14453125
10,YGR288W,YJR153W,YMR182C,0.1387939453125
11,YDL036C,YJR149W,YPL046C,0.134765625
12,YGR288W,YMR182C,YPL046C,0.1339111328125
13,YGR288W,YJR149W,YMR182C,0.1334228515625
14,YDL036C,YGR288W,YJR149W,0.1318359375
15,YDR363W-A,YGR288W,YJR149W,0.1268310546875
16,YDL036C,YJR153W,YPL046C,0.1268310546875
17,YDL036C,YJR149W,YOL016C,0.1234130859375
18,YDL036C,YIL124W,YJR149W,0.1204833984375
19,YDR213W,YGR288W,YMR182C,0.1177978515625
20,YDR363W-A,YGR288W,YJR153W,0.1153564453125
21,YDL036C,YDR213W,YJR153W,0.10919189453125
22,YAR035W,YGR288W,YMR182C,0.10906982421875
23,YJR149W,YMR182C,YOL016C,0.10882568359375
24,YDL036C,YDR363W-A,YJR153W,0.10772705078125
25,YAR035W,YOL016C,YPL046C,0.107421875
26,YAR035W,YGL240W,YGR288W,0.10540771484375
27,YDR363W-A,YGR288W,YIL124W,0.104736328125
28,YGR288W,YMR182C,YOL016C,0.10406494140625
29,YDL036C,YDR363W-A,YIL124W,0.10308837890625
30,YAR035W,YGR288W,YPL046C,0.1029052734375
31,YDL036C,YDR363W-A,YPL046C,0.10198974609375
32,YDR363W-A,YGR288W,YPL046C,0.10198974609375
33,YDL036C,YGL240W,YJR153W,0.10015869140625
34,YGL240W,YIL124W,YJR149W,0.09991455078125
35,YMR182C,YOL016C,YPL046C,0.099609375
36,YDL036C,YDR213W,YJR149W,0.0994873046875
37,YAR035W,YDR213W,YPL046C,0.09893798828125
38,YIL124W,YJR149W,YMR182C,0.0985107421875
39,YDL036C,YJR153W,YOL016C,0.096435546875
40,YIL124W,YJR153W,YMR182C,0.09478759765625
41,YDR213W,YMR182C,YPL046C,0.0946044921875
42,YDL036C,YIL124W,YJR153W,0.094482421875
43,YIL124W,YMR182C,YPL046C,0.0924072265625
44,YDR213W,YGR288W,YJR153W,0.091796875
45,YIL124W,YMR182C,YOL016C,0.09161376953125
46,YDR363W-A,YJR149W,YOL016C,0.08795166015625
47,YJR153W,YMR182C,YOL016C,0.08544921875
48,YJR153W,YOL016C,YPL046C,0.0849609375
49,YDR213W,YMR182C,YOL016C,0.082763671875
50,YAR035W,YMR182C,YPL046C,0.082275390625
51,YAR035W,YGR288W,YJR153W,0.0814208984375
52,YAR035W,YMR182C,YOL016C,0.08123779296875
53,YGR288W,YIL124W,YJR149W,0.08026123046875
54,YDR363W-A,YIL124W,YJR149W,0.07830810546875
55,YDL036C,YDR363W-A,YOL016C,0.0782470703125
56,YDR213W,YGL240W,YPL046C,0.077880859375
57,YAR035W,YGL240W,YIL124W,0.0777587890625
58,YGL240W,YIL124W,YJR153W,0.0772705078125
59,YDR363W-A,YGR288W,YOL016C,0.0762939453125
60,YAR035W,YIL124W,YPL046C,0.0728759765625
61,YDR213W,YIL124W,YMR182C,0.0728759765625
62,YAR035W,YIL124W,YMR182C,0.071044921875
63,YGR288W,YIL124W,YJR153W,0.07086181640625
64,YDR363W-A,YJR153W,YOL016C,0.07061767578125
65,YDR363W-A,YOL016C,YPL046C,0.06781005859375
66,YAR035W,YGL240W,YOL016C,0.0667724609375
67,YGL240W,YJR149W,YOL016C,0.06640625
68,YDR363W-A,YIL124W,YJR153W,0.0660400390625
69,YGR288W,YJR149W,YPL046C,0.065673828125
70,YDR213W,YJR153W,YOL016C,0.0640869140625
71,YJR149W,YOL016C,YPL046C,0.0634765625
72,YDR363W-A,YIL124W,YOL016C,0.0633544921875
73,YGR288W,YJR153W,YOL016C,0.06243896484375
74,YIL124W,YJR149W,YOL016C,0.06243896484375
75,YAR035W,YGR288W,YJR149W,0.06170654296875
76,YAR035W,YJR153W,YOL016C,0.06024169921875
77,YIL124W,YJR153W,YPL046C,0.0572509765625
