gene,pearson_r,pearson_p,spearman_r,spearman_p,n_common_genes
YBL054W,0.7821958287001797,0.0,0.9282514325642288,0.0,6169
YBR066C,0.7614597670957066,0.0,0.9502897704723996,0.0,6169
YBR089C-A,0.8170401732966972,0.0,0.9430523818135196,0.0,6169
YBR182C,0.8794531521612224,0.0,0.9667427008710026,0.0,6169
YBR297W,0.8733726508600946,0.0,0.9676647559076912,0.0,6169
YCR033W,0.6480078142027078,0.0,0.819348769474151,0.0,6169
YCR065W,0.6851220727396696,0.0,0.6634956119197133,0.0,6169
YDL020C,0.8221576657159672,0.0,0.7806268484429525,0.0,6169
YDL048C,0.8016303638078222,0.0,0.8992334911281072,0.0,6169
YDL106C,0.6902340213436413,0.0,0.6651853522602036,0.0,6169
YDL170W,0.41614256939974664,5.404160676680534e-257,0.46190213060538715,0.0,6169
YDR026C,0.4255471155231045,6.930997240334189e-270,0.5508801685200069,0.0,6169
YDR034C,0.5502089932237697,0.0,0.6509556839888848,0.0,6169
YDR043C,0.7773643770758263,0.0,0.8764338240526127,0.0,6169
YDR096W,0.8256294781801639,0.0,0.8597481840649496,0.0,6169
YDR174W,0.826495922698068,0.0,0.8236012191633345,0.0,6169
YDR213W,0.15477059664957554,2.2186398178000133e-34,0.19659620889746843,8.446556798139967e-55,6169
YDR253C,0.82957266858051,0.0,0.9504156275767257,0.0,6169
YDR259C,0.2959631384176526,5.953346479779833e-125,0.3884055112457348,2.671173773679516e-221,6169
YDR266C,0.7183826420637657,0.0,0.7819988813244778,0.0,6169
YDR310C,0.9501157696219517,0.0,0.9383290216527987,0.0,6169
YDR423C,0.6409564287459141,0.0,0.6555144164681879,0.0,6169
YDR451C,0.8296368405865564,0.0,0.9252445681361755,0.0,6169
YER028C,0.6701846817766384,0.0,0.7466424595492226,0.0,6169
YER040W,0.7812227798471864,0.0,0.743834052426997,0.0,6169
YER088C,0.5490395538663491,0.0,0.6845270925332526,0.0,6169
YER161C,0.9123831778178966,0.0,0.9649491326452647,0.0,6169
YER169W,0.8013762862603658,0.0,0.856928152470597,0.0,6169
YER184C,0.41918101985031647,4.097315260402424e-261,0.6219085790940193,0.0,6169
YFL021W,0.44798955361768883,2.344368184218576e-302,0.4638662900450285,0.0,6169
YFL031W,0.7381883859591498,0.0,0.9233088665823692,0.0,6169
YFL052W,0.6287951528457,0.0,0.7228371025638886,0.0,6169
YGL035C,0.52700964816548,0.0,0.4555338148673865,0.0,6169
YGL096W,0.5082723119257472,0.0,0.5199056575110398,0.0,6169
YGL166W,0.8734513271038065,0.0,0.9663345839349057,0.0,6169
YGL209W,0.8564617682964741,0.0,0.9377952710812802,0.0,6169
YGR067C,0.5101092945463772,0.0,0.5053355043599791,0.0,6169
YGR288W,0.4246863458970761,1.0912582112805304e-268,0.4817719549900382,0.0,6169
YHL027W,0.9211514125666417,0.0,0.9374792313586869,0.0,6169
YHR178W,0.8792267027119216,0.0,0.8085145394139095,0.0,6169
YIL036W,0.9814297877707508,0.0,0.9700999616789676,0.0,6169
YIL119C,0.21646251882111817,2.5429784205609515e-66,0.1635986110481405,2.888012730392336e-38,6169
YIL130W,0.8235278444469114,0.0,0.9311188216765587,0.0,6169
YIL131C,0.6601858625691037,0.0,0.6142999713740013,0.0,6169
YIR013C,-0.7112134642310708,0.0,-0.8387024997841956,0.0,6169
YIR017C,0.7744276842891009,0.0,0.9463390403505729,0.0,6169
YIR023W,0.8954553717426497,0.0,0.945632807359875,0.0,6169
YJL056C,0.9615585213993861,0.0,0.9757788068942235,0.0,6169
YJL089W,0.6558113909821802,0.0,0.7751243621065554,0.0,6169
YJL110C,0.8266142482361892,0.0,0.9311002827534876,0.0,6169
YJR060W,0.9127647948994534,0.0,0.9062650977920118,0.0,6169
YJR127C,0.8577405955675134,0.0,0.962981728152938,0.0,6169
YKL062W,0.8470183065563367,0.0,0.9595646827682406,0.0,6169
YKR034W,0.03097155470734346,0.014987173352648884,0.00860737091163601,0.49908883605257215,6169
YLR013W,0.6009964798510166,0.0,0.6287198074406274,0.0,6169
YLR014C,0.8058965183546734,0.0,0.9055745588405133,0.0,6169
YLR228C,0.7949329501550647,0.0,0.9160986809690664,0.0,6169
YLR375W,0.8190729830679488,0.0,0.7824116125458801,0.0,6169
YML007W,0.7489670017110563,0.0,0.741694696126355,0.0,6169
YML027W,0.7530050659150165,0.0,0.800206569554189,0.0,6169
YML081W,0.379956342594352,4.321159628614177e-211,0.3462852709822323,2.5757183191091422e-173,6169
YMR019W,0.6755681038671703,0.0,0.6687098425369096,0.0,6169
YMR037C,0.8413707935778225,0.0,0.8529480434459658,0.0,6169
YMR182C,0.3194319201404194,2.369555013150329e-146,0.3696487542440193,4.85441136166822e-199,6169
YMR280C,0.7235484697653045,0.0,0.8965836798669692,0.0,6169
YNL068C,0.5225134419880574,0.0,0.47601625333913633,0.0,6169
YOR028C,0.7299671649574744,0.0,0.8826165851049976,0.0,6169
YOR162C,0.2434307688147906,6.5316501277132e-84,0.27780896960245416,1.008611645346735e-109,6169
YOR172W,0.5762866464380054,0.0,0.6253127149581614,0.0,6169
YOR304W,0.6907597214119434,0.0,0.5549866103126477,0.0,6169
YOR344C,0.8479947286310411,0.0,0.9513716007666767,0.0,6169
