gene,p5,q1,median,q3,p95,iqr,n_genes,frac_gt_0.25,frac_gt_0.5,frac_gt_0.75,frac_gt_1.0
YPL274W,-0.06040770978077362,-0.007997138936441564,0.024502871017009056,0.05837275385565424,0.1203354170236936,0.0663698927920958,6169,0.009239747122710326,0.0017831090938563786,0.00129680661371373,0.0009726049602852974
YKR034W,-0.0844471500298212,-0.028548304504101986,0.0075879223706628585,0.044077015710654255,0.10790337480244008,0.07262532021475623,6169,0.0061598314151402175,0.002107310747284811,0.0014589074404279462,0.0011347057869995137
YOR042W,-0.10986603872279084,-0.03196817127074464,0.006303680298494194,0.04276346969592545,0.10925320914469916,0.0747316409666701,6169,0.015237477711136326,0.004538823147998055,0.0019452099205705948,0.00129680661371373
YOR295W,-0.08343381955987819,-0.025894892626685623,0.010673312278680635,0.048904454926763555,0.116160284705164,0.07479934755344918,6169,0.011022856216566705,0.0022694115739990274,0.0009726049602852974,0.0008105041335710813
YAR042W,-0.06620890548900837,-0.010182114412761525,0.025704129510399798,0.06570756181931292,0.14377633137717302,0.07588967623207445,6169,0.011509158696709354,0.0022694115739990274,0.0016210082671421625,0.0011347057869995137
YOR140W,-0.061310068055373056,-0.00718156857142601,0.029669833096211684,0.07030813266814767,0.1521595891309086,0.07748970123957369,6169,0.015237477711136326,0.0024315124007132437,0.0014589074404279462,0.0004863024801426487
YHR121W,-0.08317240410203867,-0.025073126449606416,0.01311011424237318,0.053677847474846926,0.12430197872373974,0.07875097392445335,6169,0.010050251256281407,0.0016210082671421625,0.0009726049602852974,0.0008105041335710813
YLR385C,-0.07692313992530458,-0.019305294602173652,0.018600613141372013,0.06084723467643249,0.14376680020335983,0.08015252927860614,6169,0.011833360350137786,0.0022694115739990274,0.0014589074404279462,0.0009726049602852974
YPR152C,-0.0764176215348055,-0.007483102093465088,0.03295461204957137,0.0731682948670224,0.14322543328292642,0.08065139696048748,6169,0.011022856216566705,0.0017831090938563786,0.0009726049602852974,0.0004863024801426487
YER110C,-0.09515092093216203,-0.02814490762853724,0.011301610738274112,0.05256018434517151,0.1237012804822225,0.08070509197370876,6169,0.010536553736424056,0.0014589074404279462,0.0008105041335710813,0.000648403306856865
YGL241W,-0.10941294392650823,-0.03346001924927474,0.007705407420516411,0.04895863560866054,0.12901574184406292,0.08241865485793529,6169,0.015399578537850542,0.0019452099205705948,0.0008105041335710813,0.0004863024801426487
YIL014C-A,-0.07635495113272914,-0.014504850122426027,0.024011138339289806,0.06814859707500306,0.1450692440578066,0.08265344719742909,6169,0.011995461176852002,0.0014589074404279462,0.0008105041335710813,0.0004863024801426487
YJL197W,-0.12004172000747927,-0.03485270924211491,0.006353045629854863,0.04878197433987251,0.12582803512783575,0.08363468358198742,6169,0.013616469443994165,0.002755714054141676,0.0011347057869995137,0.0009726049602852974
YER144C,-0.11632907843870091,-0.03223862205762341,0.009858317657763318,0.055464578640680176,0.13785064661163965,0.08770320069830359,6169,0.01637218349813584,0.0029178148808558925,0.0014589074404279462,0.000648403306856865
YAL017W,-0.12491546630886075,-0.04806127304500876,-0.00503714854199625,0.0397201798479042,0.1308212469981267,0.08778145289291296,6169,0.019776300859134382,0.005835629761711785,0.003242016534284325,0.0017831090938563786
YJL106W,-0.13962922840720537,-0.045513304093731506,0.0016001529905742065,0.04555021132868402,0.1334705356705052,0.09106351542241553,6169,0.019614200032420166,0.0030799157075701088,0.0017831090938563786,0.00129680661371373
YDL113C,-0.12635660595051798,-0.03279220566121588,0.012446256954162474,0.05892063403810718,0.1564852762818811,0.09171283969932306,6169,0.023666720700275572,0.005511428108283352,0.00259361322742746,0.0017831090938563786
YDL203C,-0.10328375291222633,-0.02071786088890397,0.024877118515783253,0.0713411062809259,0.1585502338488806,0.09205896716982986,6169,0.020424704165991247,0.004538823147998055,0.0014589074404279462,0.0009726049602852974
YML111W,-0.125212098946888,-0.04147461277083997,0.004810116656320078,0.0508501328652636,0.138529935356125,0.09232474563610357,6169,0.02074890581941968,0.0038904198411411897,0.0014589074404279462,0.0009726049602852974
YMR264W,-0.14123985294579702,-0.04397255410364607,0.002538370477955229,0.04962053941201702,0.1388198378780248,0.09359309351566308,6169,0.02415302318041822,0.005835629761711785,0.0019452099205705948,0.0011347057869995137
YMR104C,-0.14594211187712577,-0.03906707411928965,0.011181398342263754,0.054689120791207406,0.14131234725583083,0.09375619491049705,6169,0.02934024963527314,0.006646133895282866,0.0022694115739990274,0.0011347057869995137
YGL181W,-0.10758366832941965,-0.031214768592316235,0.015135217828206713,0.06273633406804097,0.1490703090659263,0.0939511026603572,6169,0.013292267790565733,0.0017831090938563786,0.0009726049602852974,0.000648403306856865
