gene,count
YNL058C,1425
YBL059W,1363
YGL082W,1347
YPR172W,1124
YLR456W,1122
YOL131W,1121
YOR338W,1116
YGR273C,1111
YMR310C,1111
YOL024W,1108
YJL181W,1101
YJR030C,1101
YKL133C,1100
YJR039W,1097
YNL195C,1093
YPR157W,1091
YNL144C,1087
YEL025C,1087
YHR131C,1086
YKL121W,1084
YML082W,1079
YLR177W,1075
YER158C,1073
YLR046C,1069
YJR115W,1065
YLR031W,1053
YDR222W,1052
YLR225C,1052
YJR015W,1047
YPL077C,1045
YGR035C,1021
YCR095C,838
YHL029C,823
YDR210W,556
YDR067C,542
YPR078C,541
YOR114W,536
YOR268C,528
YNL042W-B,525
YHL015W-A,519
YJL147C,517
YIL046W-A,516
YLR287C,513
YPL245W,507
YGR174W-A,499
YDR169C-A,486
YNR066C,449
YJR124C,318
YCR050C,316
YGR126W,310
YLR036C,300
YPR003C,294
YBR062C,294
YGR015C,293
YPL071C,292
YML020W,285
YDR391C,281
YMR126C,279
YHR078W,278
YDR520C,274
YJL016W,269
YDR307W,267
YOL107W,11
YPR089W,11
YPR064W,11
YFL051C,11
YNL140C,11
YBL071C,11
YBR027C,11
YAR028W,11
YPR038W,11
YLL053C,11
YFL015C,11
YFR032C,11
YBL086C,11
YFR018C,11
YOL085C,11
YBR053C,11
YER135C,11
YGL235W,11
YPR195C,11
YML037C,11
YFL034W,11
YIR016W,11
YOL118C,11
YBR013C,11
YLR049C,11
YBR032W,11
YPR027C,11
YGL149W,11
YPR071W,11
YIR020C,11
YIR042C,11
YFL019C,11
YER186C,11
YBL048W,11
YML122C,11
YML002W,11
YAR023C,11
YPR196W,11
YKL162C,11
YGL259W,11
YGL159W,11
YER182W,11
YML053C,11
YOL160W,11
YPR084W,11
YFR045W,11
YPR014C,11
YGL230C,11
YFL054C,11
YER121W,11
YML003W,11
YBR047W,11
YBR033W,11
YBL081W,11
YLL054C,11
YFL040W,11
YML100W-A,11
YML096W,11
YBL095W,11
YLR001C,11
YFL012W,11
YBL029W,11
YNL146W,11
YOL162W,11
YPR053C,11
YLR030W,11
YOL163W,11
YGL260W,11
YLR012C,11
YML119W,11
YGL262W,11
YPR063C,11
YAR029W,11
YMR007W,11
YNL143C,11
YFR006W,11
YGL261C,11
YFR054C,11
YFR035C,11
YER188W,11
YER187W,11
YPR114W,11
YCR090C,10
YHR130C,10
YHR022C,10
YGR153W,10
YMR253C,10
YMR317W,10
YPL257W,10
YDR018C,10
YGL118C,10
YGL138C,10
YHR033W,10
YHR210C,10
YHR139C-A,10
YNR014W,10
YCL042W,10
YAL037W,10
YNR021W,10
YGR050C,10
YNR071C,10
YMR206W,10
YDR029W,10
YGR161C,10
YHL037C,10
YGL140C,10
YMR103C,10
YIL165C,10
YGR039W,10
YPL264C,10
YIL152W,10
YBR220C,10
YMR158C-A,10
YMR187C,10
YCR100C,10
