idx,gene_1,gene_2,gene_3,gene_interaction,p_value,num_uncharacterized,uncharacterized_genes
150,YJR030C,YJL181W,YGL014W,0.044870998710393906,0.21469999849796295,2,"YJL181W,YJR030C"
816,YDL104C,YJR030C,YJL181W,0.09884800016880035,0.44780001044273376,2,"YJL181W,YJR030C"
1026,YJR030C,YJL181W,YBR283C,0.07090400159358978,0.29420000314712524,2,"YJL181W,YJR030C"
1029,YDR121W,YJR030C,YJL181W,-0.03407900035381317,0.46709999442100525,2,"YJL181W,YJR030C"
1068,YJR030C,YJL181W,YCR032W,0.024593999609351158,0.02425999939441681,2,"YJL181W,YJR030C"
1297,YJR030C,YDL106C,YJL181W,0.0197369996458292,0.46480000019073486,2,"YJL181W,YJR030C"
1480,YJR030C,YJL181W,YGL124C,0.011402999982237816,0.33399999141693115,2,"YJL181W,YJR030C"
1501,YJR030C,YJL181W,YMR048W,0.015262999571859837,0.4893999993801117,2,"YJL181W,YJR030C"
1707,YJR030C,YJL181W,YBL031W,0.014805999584496021,0.4104999899864197,2,"YJL181W,YJR030C"
1764,YJR030C,YPL196W,YJL181W,0.031491998583078384,0.4049000144004822,2,"YJL181W,YJR030C"
2543,YJR030C,YCL025C,YJL181W,-0.01630299910902977,0.38519999384880066,2,"YJL181W,YJR030C"
3262,YJR030C,YOR279C,YJL181W,0.041606999933719635,0.42910000681877136,2,"YJL181W,YJR030C"
3691,YGL043W,YJR030C,YJL181W,0.0750110000371933,0.3043000102043152,2,"YJL181W,YJR030C"
3958,YJR030C,YML047C,YJL181W,-0.027800999581813812,0.4081000089645386,2,"YJL181W,YJR030C"
4659,YJR030C,YBL008W,YJL181W,0.07533299922943115,0.21119999885559082,2,"YJL181W,YJR030C"
4775,YJR030C,YLR309C,YJL181W,-0.04439999908208847,0.4453999996185303,2,"YJL181W,YJR030C"
5395,YLL049W,YJR030C,YJL181W,-0.006819000001996756,0.3149000108242035,2,"YJL181W,YJR030C"
5412,YJR030C,YBR062C,YJL181W,-0.07418199628591537,0.48919999599456787,3,"YBR062C,YJL181W,YJR030C"
5418,YJR030C,YER170W,YJL181W,0.09035500138998032,0.11620000004768372,2,"YJL181W,YJR030C"
6303,YML107C,YJR030C,YJL181W,-0.07322199642658234,0.334199994802475,2,"YJL181W,YJR030C"
6842,YJR030C,YKR053C,YJL181W,-0.04353399947285652,0.4309999942779541,2,"YJL181W,YJR030C"
7188,YDR508C,YJR030C,YJL181W,-0.09590700268745422,0.3391999900341034,2,"YJL181W,YJR030C"
7908,YOL041C,YJR030C,YJL181W,-0.012911999598145485,0.44769999384880066,2,"YJL181W,YJR030C"
8316,YDR373W,YJR030C,YJL181W,0.04597900062799454,0.32710000872612,2,"YJL181W,YJR030C"
9133,YJR030C,YJL181W,YFR048W,0.027627000585198402,0.41929998993873596,2,"YJL181W,YJR030C"
9310,YJR030C,YJL181W,YGL163C,0.0201990008354187,0.46869999170303345,2,"YJL181W,YJR030C"
9626,YJR030C,YAR003W,YJL181W,-0.06429299712181091,0.24410000443458557,2,"YJL181W,YJR030C"
9833,YJR030C,YJL181W,YER118C,-0.05333000048995018,0.26739999651908875,2,"YJL181W,YJR030C"
10038,YJR030C,YMR052W,YJL181W,0.08260300010442734,0.36309999227523804,2,"YJL181W,YJR030C"
10408,YJR030C,YDR246W,YJL181W,0.05719999969005585,0.49880000948905945,2,"YJL181W,YJR030C"
10690,YJR030C,YDR430C,YJL181W,0.022345000877976418,0.43470001220703125,2,"YJL181W,YJR030C"
11103,YML048W,YJR030C,YJL181W,0.0028299998957663774,0.12999999523162842,2,"YJL181W,YJR030C"
11738,YJR030C,YJL181W,YBR162W-A,0.002894999925047159,0.4230000078678131,2,"YJL181W,YJR030C"
11991,YJR030C,YIL133C,YJL181W,0.03176499903202057,0.4657000005245209,2,"YJL181W,YJR030C"
12154,YJR030C,YCR053W,YJL181W,0.050269000232219696,0.30889999866485596,2,"YJL181W,YJR030C"
12198,YJR030C,YJL181W,YOL135C,-0.0449099987745285,0.4018999934196472,2,"YJL181W,YJR030C"
12219,YJR030C,YNL107W,YJL181W,0.021825000643730164,0.49410000443458557,2,"YJL181W,YJR030C"
12340,YJR030C,YPL178W,YJL181W,-0.1259620040655136,0.25999999046325684,2,"YJL181W,YJR030C"
12512,YJR030C,YJL181W,YGR015C,-0.05730399861931801,0.2913999855518341,3,"YGR015C,YJL181W,YJR030C"
12653,YJR030C,YOL141W,YJL181W,-0.030239999294281006,0.38109999895095825,2,"YJL181W,YJR030C"
13795,YJR030C,YHL020C,YJL181W,-0.01963699981570244,0.1704999953508377,2,"YJL181W,YJR030C"
13906,YJR030C,YLR099C,YJL181W,-0.0005680000176653266,0.4577000141143799,2,"YJL181W,YJR030C"
14147,YJR030C,YNL136W,YJL181W,-0.041200000792741776,0.2971000075340271,2,"YJL181W,YJR030C"
14499,YJR030C,YOR336W,YJL181W,0.002397000091150403,0.3993000090122223,2,"YJL181W,YJR030C"
14521,YJR030C,YLL001W,YJL181W,0.02915400080382824,0.46239998936653137,2,"YJL181W,YJR030C"
14791,YJR030C,YPL001W,YJL181W,-0.029249999672174454,0.3619999885559082,2,"YJL181W,YJR030C"
14896,YJR030C,YER042W,YJL181W,-0.1154870018362999,0.2703000009059906,2,"YJL181W,YJR030C"
14957,YJR030C,YKR042W,YJL181W,0.008262000046670437,0.31369999051094055,2,"YJL181W,YJR030C"
14977,YBL085W,YJR030C,YJL181W,-0.003103999886661768,0.4392000138759613,2,"YJL181W,YJR030C"
15090,YJR030C,YJL181W,YNL031C,-0.0344420000910759,0.11299999803304672,2,"YJL181W,YJR030C"
