gene,total_interactions,extreme_interactions,enrichment_fraction
YDL027C,10,6,0.6
YIL067C,10,6,0.6
YDR274C,9,4,0.4444444444444444
YOL029C,9,4,0.4444444444444444
YLR049C,11,4,0.36363636363636365
YPR089W,11,4,0.36363636363636365
YLR261C,9,3,0.3333333333333333
YDR525W,9,3,0.3333333333333333
YLR271W,9,3,0.3333333333333333
YHR130C,10,3,0.3
YPL261C,10,3,0.3
YHR022C,10,3,0.3
YPL041C,10,3,0.3
YNL140C,11,3,0.2727272727272727
YML122C,11,3,0.2727272727272727
YJL132W,9,2,0.2222222222222222
YLR112W,9,2,0.2222222222222222
YLR278C,9,2,0.2222222222222222
YDR248C,9,2,0.2222222222222222
YOR235W,9,2,0.2222222222222222
YOR183W,9,2,0.2222222222222222
YLR111W,9,2,0.2222222222222222
YDR157W,9,2,0.2222222222222222
YGL007W,10,2,0.2
YAL064C-A,10,2,0.2
YPL056C,10,2,0.2
YOR376W,10,2,0.2
YMR221C,10,2,0.2
YNR065C,10,2,0.2
YPL039W,10,2,0.2
YHL026C,10,2,0.2
YGR164W,10,2,0.2
YMR244W,10,2,0.2
YCR006C,10,2,0.2
YPL150W,10,2,0.2
YIL012W,10,2,0.2
YMR310C,1111,208,0.18721872187218722
YJR115W,1065,198,0.18591549295774648
YGL149W,11,2,0.18181818181818182
YPR071W,11,2,0.18181818181818182
YBR013C,11,2,0.18181818181818182
YBR032W,11,2,0.18181818181818182
YHL029C,823,149,0.181044957472661
YGL082W,1347,206,0.15293244246473645
YPR078C,541,65,0.12014787430683918
YBL059W,1363,161,0.11812179016874541
YOR062C,9,1,0.1111111111111111
YOR029W,9,1,0.1111111111111111
YLR326W,9,1,0.1111111111111111
YLR407W,9,1,0.1111111111111111
YJL160C,9,1,0.1111111111111111
YJL107C,9,1,0.1111111111111111
YLR345W,9,1,0.1111111111111111
YLR267W,9,1,0.1111111111111111
YLR104W,9,1,0.1111111111111111
YDR387C,9,1,0.1111111111111111
YOL014W,9,1,0.1111111111111111
YOR296W,9,1,0.1111111111111111
YDR249C,9,1,0.1111111111111111
YLR236C,9,1,0.1111111111111111
YGR174W-A,499,54,0.10821643286573146
YJL181W,1101,116,0.10535876475930972
YJR030C,1101,116,0.10535876475930972
YJR154W,10,1,0.1
YNL011C,10,1,0.1
YPL108W,10,1,0.1
YHR021W-A,10,1,0.1
YNR014W,10,1,0.1
YDL114W,10,1,0.1
YBR220C,10,1,0.1
YBR287W,10,1,0.1
YJR107W,10,1,0.1
YNL050C,10,1,0.1
YMR122C,10,1,0.1
YPL216W,10,1,0.1
YIL163C,10,1,0.1
YJR061W,10,1,0.1
YGR210C,10,1,0.1
YMR118C,10,1,0.1
YGL140C,10,1,0.1
YGR161C,10,1,0.1
YHL012W,10,1,0.1
YBR225W,10,1,0.1
YGR039W,10,1,0.1
YMR130W,10,1,0.1
YDR056C,10,1,0.1
YCR090C,10,1,0.1
