idx,num_genes,genes,num_uncharacterized,uncharacterized_genes,gene_interaction,p_value,abs_score
6467,3,"YGR283C,YMR310C,YNL118C",1,YMR310C,0.11020500212907791,8.299999899463728e-05,0.11020500212907791
17002,3,"YGR283C,YMR310C,YPL226W",1,YMR310C,0.34297600388526917,1.3490000128513202e-05,0.34297600388526917
100835,3,"YGR283C,YIR005W,YMR310C",1,YMR310C,-0.17082999646663666,0.04506000131368637,0.17082999646663666
185983,3,"YBL095W,YKR077W,YOR066W",1,YBL095W,0.1191129982471466,0.019829999655485153,0.1191129982471466
218699,3,"YIL149C,YKR095W,YPR038W",1,YPR038W,-0.16332900524139404,0.019999999552965164,0.16332900524139404
4989,3,"YDR505C,YIR006C,YLR177W",1,YLR177W,0.16765500605106354,0.0034809999633580446,0.16765500605106354
42372,3,"YBR109C,YDR505C,YLR177W",1,YLR177W,-0.14354999363422394,0.008604999631643295,0.14354999363422394
57556,3,"YDR505C,YJR076C,YLR177W",1,YLR177W,0.16697899997234344,0.019700000062584877,0.16697899997234344
65132,3,"YDR505C,YFL029C,YLR177W",1,YLR177W,-0.12246699631214142,0.01425000000745058,0.12246699631214142
78461,3,"YBR103W,YDR505C,YLR177W",1,YLR177W,-0.10719700157642365,3.2170000170694824e-12,0.10719700157642365
84952,3,"YDR505C,YER083C,YLR177W",1,YLR177W,-0.19371099770069122,0.007548000197857618,0.19371099770069122
138413,3,"YDR505C,YLR177W,YLR378C",1,YLR177W,0.11761599779129028,0.02717999927699566,0.11761599779129028
156615,3,"YDR505C,YJL104W,YLR177W",1,YLR177W,-0.1677429974079132,0.0029009999707341194,0.1677429974079132
162794,3,"YDR505C,YGL233W,YLR177W",1,YLR177W,-0.17620399594306946,0.0008445000275969505,0.17620399594306946
191590,3,"YDR016C,YDR505C,YLR177W",1,YLR177W,-0.11431200057268143,0.002947000088170171,0.11431200057268143
212333,3,"YDR505C,YLR177W,YMR272C",1,YLR177W,-0.17158900201320648,0.020269999280571938,0.17158900201320648
258803,3,"YDR505C,YIL090W,YLR177W",1,YLR177W,0.1107499971985817,0.04986000061035156,0.1107499971985817
317569,3,"YDR505C,YKL041W,YLR177W",1,YLR177W,-0.11940299719572067,0.04958000034093857,0.11940299719572067
352873,3,"YBL097W,YDR505C,YLR177W",1,YLR177W,-0.12249799817800522,0.026760000735521317,0.12249799817800522
369784,3,"YDR505C,YLR177W,YPL069C",1,YLR177W,0.19348999857902527,0.04709000140428543,0.19348999857902527
38184,3,"YFR017C,YOL024W,YPL183W-A",1,YOL024W,0.11748500168323517,0.004852999933063984,0.11748500168323517
52366,3,"YFR017C,YKR030W,YOL024W",1,YOL024W,-0.10626699775457382,0.048920001834630966,0.10626699775457382
116958,3,"YFR017C,YML028W,YOL024W",1,YOL024W,-0.12369699776172638,0.00343300006352365,0.12369699776172638
147168,3,"YFR017C,YOL024W,YPL226W",1,YOL024W,-0.16866299510002136,0.010780000127851963,0.16866299510002136
153729,3,"YDL008W,YFR017C,YOL024W",1,YOL024W,-0.2106429934501648,0.028529999777674675,0.2106429934501648
176622,3,"YBR036C,YFR017C,YOL024W",1,YOL024W,-0.20297500491142273,0.045660000294446945,0.20297500491142273
360447,3,"YFR017C,YOL024W,YOR140W",1,YOL024W,0.16312700510025024,0.008314000442624092,0.16312700510025024
370397,3,"YER157W,YFR017C,YOL024W",1,YOL024W,-0.17108699679374695,0.00011030000314349309,0.17108699679374695
193215,3,"YGL082W,YNR051C,YPL191C",1,YGL082W,0.13816499710083008,0.019109999760985374,0.13816499710083008
65555,3,"YJL181W,YJR030C,YNL141W",2,"YJL181W,YJR030C",-0.20444899797439575,0.02249000035226345,0.20444899797439575
100786,3,"YDR359C,YJL181W,YJR030C",2,"YJL181W,YJR030C",-0.3105410039424896,0.0,0.3105410039424896
311491,3,"YDR339C,YJL181W,YJR030C",2,"YJL181W,YJR030C",-0.1968500018119812,0.023080000653862953,0.1968500018119812
11821,3,"YBR086C,YMR126C,YOR079C",1,YMR126C,-0.13698799908161163,3.294000094911098e-08,0.13698799908161163
175766,3,"YHR001W,YKR003W,YMR126C",1,YMR126C,-0.12828600406646729,6.474999827332795e-05,0.12828600406646729
45144,3,"YHR131C,YNL144C,YOR249C",2,"YHR131C,YNL144C",0.11545299738645554,0.038520000874996185,0.11545299738645554
73150,3,"YIL149C,YKR095W,YLR267W",1,YLR267W,-0.25989800691604614,8.49799980642274e-05,0.25989800691604614
37729,3,"YIL149C,YKR095W,YNL140C",1,YNL140C,-0.30191999673843384,1.3090000550164405e-07,0.30191999673843384
82357,3,"YLR100W,YLR456W,YPR172W",2,"YLR456W,YPR172W",0.11491899937391281,0.023429999127984047,0.11491899937391281
204281,3,"YAL056W,YFL019C,YOR371C",1,YFL019C,0.2647530138492584,0.01425000000745058,0.2647530138492584
62747,3,"YKL133C,YLR448W,YMR115W",1,YKL133C,0.1553570032119751,0.04805999994277954,0.1553570032119751
109270,3,"YIL090W,YKL133C,YMR115W",1,YKL133C,0.2883929908275604,0.0031059999018907547,0.2883929908275604
147626,3,"YKL133C,YMR115W,YNL006W",1,YKL133C,0.10992900282144547,0.005665999837219715,0.10992900282144547
156696,3,"YKL133C,YLR059C,YMR115W",1,YKL133C,0.12905800342559814,0.03886000066995621,0.12905800342559814
176648,3,"YIL065C,YKL133C,YMR115W",1,YKL133C,0.10798999667167664,0.0024220000486820936,0.10798999667167664
339833,3,"YKL133C,YMR115W,YMR272C",1,YKL133C,-0.1499509960412979,0.03375000134110451,0.1499509960412979
245399,3,"YDL058W,YDL195W,YPL071C",1,YPL071C,-0.47592300176620483,0.01728999987244606,0.47592300176620483
283442,3,"YKL209C,YNL078W,YPL071C",1,YPL071C,-0.7400019764900208,3.625000148145541e-14,0.7400019764900208
313187,3,"YDR077W,YER150W,YPL071C",1,YPL071C,-0.639244019985199,1.6530000721104443e-05,0.639244019985199
332649,3,"YDR492W,YOL101C,YPL071C",1,YPL071C,0.10091499984264374,0.025960000231862068,0.10091499984264374
2108,3,"YBL043W,YJR115W,YLR200W",1,YJR115W,-0.38576701283454895,0.000146100006531924,0.38576701283454895
11074,3,"YBL043W,YJR115W,YNL136W",1,YJR115W,-0.2450229972600937,0.002082000020891428,0.2450229972600937
11648,3,"YBL043W,YBR135W,YJR115W",1,YJR115W,-0.1844779998064041,1.2809999816454365e-06,0.1844779998064041
11798,3,"YBL043W,YJR115W,YPR178W",1,YJR115W,-0.12382499873638153,0.04293999820947647,0.12382499873638153
12829,3,"YBL043W,YJR115W,YML032C",1,YJR115W,-0.14593300223350525,0.002560999942943454,0.14593300223350525
16858,3,"YBL043W,YJR115W,YLR384C",1,YJR115W,-0.20252500474452972,0.003693999955430627,0.20252500474452972
