gene,count
YJR115W,51
YBL059W,19
YLR177W,15
YCR095C,12
YPR078C,11
YJL147C,9
YKL121W,9
YDR067C,8
YOL024W,8
YPR157W,6
YKL133C,6
YHL029C,6
YOL131W,6
YPL071C,4
YHL015W-A,4
YER158C,3
YOR338W,3
YOR268C,3
YDR391C,3
YGR035C,3
YJR015W,3
YMR310C,3
YJL181W,3
YJR030C,3
YGR273C,2
YNL042W-B,2
YML082W,2
YLR031W,2
YGR174W-A,2
YLR225C,2
YDR222W,2
YPL077C,2
YDR210W,2
YMR126C,2
YPL261C,2
YBL095W,1
YDR248C,1
YLR407W,1
YGL082W,1
YNL195C,1
YLR046C,1
YMR206W,1
YPR038W,1
YLR261C,1
YGL149W,1
YEL025C,1
YLR111W,1
YPR064W,1
YJR039W,1
YFL054C,1
YFL019C,1
YJR124C,1
YHR130C,1
YDR157W,1
YPR172W,1
YLR456W,1
YCR006C,1
YGL007W,1
YHR078W,1
YHR131C,1
YML020W,1
YNL144C,1
YOR183W,1
YLR049C,1
YNL140C,1
YHR022C,1
YLR267W,1
YDR525W,1
