row,col,strain,volume_nl,well
2,2,YEH1,25,B2
2,3,YER079W,10,B3
2,4,YOS9,25,B4
2,5,MMS2,10,B5
2,6,YPL081W,10,B6
2,7,ELC1,10,B7
2,8,MMS2,10,B8
2,9,YPL081W,25,B9
2,10,YEH1,25,B10
2,11,YPL081W,10,B11
2,12,MMS2,25,B12
2,13,YPL081W,25,B13
2,14,YKL033W-A,25,B14
2,15,YKL033W-A,10,B15
2,16,YLR312C-B,25,B16
2,17,YER079W,25,B17
2,18,Blank_media,25,B18
2,19,LCL1,25,B19
2,20,YLR312C-B,25,B20
2,21,YER079W,25,B21
2,22,Blank_media,10,B22
2,23,YER079W,25,B23
3,2,SPH1,10,C2
3,3,YER079W,25,C3
3,4,YJR060W,10,C4
3,5,Blank_media,10,C5
3,6,COS111,25,C6
3,7,ELC1,10,C7
3,8,ELC1,25,C8
3,9,MMS2,10,C9
3,10,YPL081W,10,C10
3,11,SPH1,25,C11
3,12,YPL081W,25,C12
3,13,SPH1,25,C13
3,14,MMS2,25,C14
3,15,LCL1,10,C15
3,16,YKL033W-A,10,C16
3,17,SPH1,10,C17
3,18,ELC1,10,C18
3,19,YER079W,10,C19
3,20,COS111,10,C20
3,21,YJR060W,25,C21
3,22,BY4741,10,C22
3,23,COS111,25,C23
4,2,YJR060W,25,D2
4,3,YLR312C-B,25,D3
4,4,LCL1,25,D4
4,5,YLR312C-B,10,D5
4,6,LCL1,25,D6
4,7,MMS2,10,D7
4,8,BY4741,10,D8
4,9,YLR312C-B,10,D9
4,10,YJR060W,10,D10
4,11,SPH1,25,D11
4,12,Blank_media,25,D12
4,13,YEH1,10,D13
4,14,YEH1,10,D14
4,15,Blank_media,10,D15
4,16,YOS9,10,D16
4,17,ELC1,25,D17
4,18,YPL081W,10,D18
4,19,BY4741,25,D19
4,20,BY4741,10,D20
4,21,YOS9,10,D21
4,22,YLR312C-B,25,D22
4,23,ELC1,10,D23
5,2,COS111,10,E2
5,3,Blank_media,25,E3
5,4,BY4741,10,E4
5,5,MMS2,10,E5
5,6,BY4741,25,E6
5,7,YJR060W,25,E7
5,8,BY4741,25,E8
5,9,Blank_media,25,E9
5,10,YEH1,10,E10
5,11,SPH1,10,E11
