strain,n_total,n_used,median_norm,mean_norm,sd_norm,relative_fitness,log2_fitness,pvalue,n_jackknife,note
MMS2,22,21,0.5637199959907467,0.5753702777304994,0.08621640316165301,0.5354359539095416,-0.9012140773404347,3.125399998400873e-08,1,
ELC1,22,22,0.7246724920327268,0.7544977409066878,0.11704181582483435,0.6883128322627691,-0.5388636884226297,1.1036137062594482e-07,0,
YOS9,22,22,0.9074373241054199,0.8885913748849092,0.0942491586246507,0.8619076362398236,-0.2143948193993525,5.223890379690348e-06,0,
YKL033W-A,22,22,0.9872632356708456,1.0232459335146105,0.1190511204643636,0.937728368890283,-0.09275801607782416,0.16982979198768022,0,
YJR060W,22,22,0.9953890051683849,0.9893483733570214,0.13297702879071105,0.9454464366776734,-0.08093236884182005,0.047685234153418236,0,
YER079W,22,21,1.0224019098726695,1.0317800560495838,0.11010412871683473,0.9711039980575673,-0.04230228899812116,0.39238776291674793,1,
YEH1,22,22,1.027208738713055,1.0336951499167228,0.12179175465648581,0.9756696494514092,-0.03553534440854301,0.4735308011235977,0,
LCL1,22,22,1.0304994520555713,1.0092721027880245,0.11288872886925155,0.9787952548053516,-0.030920987631667493,0.21083651870632147,0,
YPL081W,22,21,1.0376972839966172,1.0477340872488936,0.1639707848873427,0.9856319433011376,-0.02087908185844573,0.4504456875848739,1,
BY4741,22,21,1.052824323571636,1.0611659468087908,0.10776624583025701,1.0,0.0,,1,wild-type reference
COS111,22,22,1.0695102330557438,1.0856148263823502,0.16466764800817058,1.015848711993566,0.02268556086157113,0.5846049720999955,0,
YLR312C-B,22,21,1.0741999821108719,1.0761602632111837,0.08695117555281551,1.0203031579539505,0.028997877191175865,0.4504456875848739,1,
SPH1,22,22,1.154186505075484,1.1425665210742617,0.1732489898085099,1.0962764435000738,0.13261164262102848,0.03153638005609862,0,
Blank_media,22,0,0.010735304248590236,,,,,,0,no-cell control (background); norm should be ~0
