day,group,orientation,strain,relative_fitness,n_used
2026-07-17,run2_P2_t44,identity,COS111,0.7287243609215611,24
2026-07-17,run2_P2_t44,identity,ELC1,0.8623580909026376,25
2026-07-17,run2_P2_t44,identity,LCL1,0.7913036581951138,27
2026-07-17,run2_P2_t44,identity,MMS2,0.8448137497030479,25
2026-07-17,run2_P2_t44,identity,SPH1,0.8052409275372238,26
2026-07-17,run2_P2_t44,identity,YEH1,0.7747627872914498,29
2026-07-17,run2_P2_t44,identity,YER079W,0.6608366904565628,24
2026-07-17,run2_P2_t44,identity,YJR060W,0.7380256540986532,28
2026-07-17,run2_P2_t44,identity,YKL033W-A,0.8001970420279367,28
2026-07-17,run2_P2_t44,identity,YLR312C-B,0.9289580166622702,28
2026-07-17,run2_P2_t44,identity,YOS9,0.875666918176645,29
2026-07-17,run2_P2_t44,identity,YPL081W,0.7316152612199611,29
2026-07-17,run2_P2_t50,identity,COS111,0.7982063401430911,24
2026-07-17,run2_P2_t50,identity,ELC1,0.9056809545679313,25
2026-07-17,run2_P2_t50,identity,LCL1,0.8643210827844471,27
2026-07-17,run2_P2_t50,identity,MMS2,0.8770244413066057,25
2026-07-17,run2_P2_t50,identity,SPH1,0.8634773368441737,26
2026-07-17,run2_P2_t50,identity,YEH1,0.8349647194366437,29
2026-07-17,run2_P2_t50,identity,YER079W,0.7559432147403894,24
2026-07-17,run2_P2_t50,identity,YJR060W,0.811796831970599,28
2026-07-17,run2_P2_t50,identity,YKL033W-A,0.8579391268933108,28
2026-07-17,run2_P2_t50,identity,YLR312C-B,0.9556727289707758,28
2026-07-17,run2_P2_t50,identity,YOS9,0.9183994044635875,29
2026-07-17,run2_P2_t50,identity,YPL081W,0.8250774478891141,28
2026-07-23,run3_P1,identity,COS111,0.738948694374869,22
2026-07-23,run3_P1,identity,ELC1,0.849455018855189,29
2026-07-23,run3_P1,identity,LCL1,0.7294888562566391,25
2026-07-23,run3_P1,identity,MMS2,0.8167730957755499,28
2026-07-23,run3_P1,identity,SPH1,0.7916960676568556,27
2026-07-23,run3_P1,identity,YEH1,0.742529615796395,27
2026-07-23,run3_P1,identity,YER079W,0.7650192458181454,25
2026-07-23,run3_P1,identity,YJR060W,0.7090426189472383,29
2026-07-23,run3_P1,identity,YKL033W-A,0.8314392074921977,23
2026-07-23,run3_P1,identity,YLR312C-B,0.9051112852556068,29
2026-07-23,run3_P1,identity,YOS9,0.854390974427467,27
2026-07-23,run3_P1,identity,YPL081W,0.7235354578077572,29
2026-07-23,run3_P2,identity,COS111,0.9366126250890241,26
2026-07-23,run3_P2,identity,ELC1,0.9716764132632685,28
2026-07-23,run3_P2,identity,LCL1,1.0274757153246925,27
2026-07-23,run3_P2,identity,MMS2,1.076034695099688,26
2026-07-23,run3_P2,identity,SPH1,1.2200923890545254,28
2026-07-23,run3_P2,identity,YEH1,1.2329277621313623,29
2026-07-23,run3_P2,identity,YER079W,1.2413334802840787,27
2026-07-23,run3_P2,identity,YJR060W,0.6029619054471409,24
2026-07-23,run3_P2,identity,YKL033W-A,1.1118761652615494,27
2026-07-23,run3_P2,identity,YLR312C-B,0.8766982930451381,21
2026-07-23,run3_P2,identity,YOS9,0.8143767980730306,26
2026-07-23,run3_P2,identity,YPL081W,0.686425971302433,20
2026-07-23,run3_P3,identity,COS111,0.7919278539312955,25
2026-07-23,run3_P3,identity,ELC1,0.7924212394580714,29
2026-07-23,run3_P3,identity,LCL1,0.7791316917889473,23
2026-07-23,run3_P3,identity,MMS2,0.873033414726512,28
2026-07-23,run3_P3,identity,SPH1,0.7580001238964452,27
2026-07-23,run3_P3,identity,YEH1,0.722227214888868,24
2026-07-23,run3_P3,identity,YER079W,0.7619112467499217,20
2026-07-23,run3_P3,identity,YJR060W,0.7084250876478106,29
2026-07-23,run3_P3,identity,YKL033W-A,0.6681453398686065,28
2026-07-23,run3_P3,identity,YLR312C-B,0.9415602059421274,29
2026-07-23,run3_P3,identity,YOS9,0.8558282314725477,29
2026-07-23,run3_P3,identity,YPL081W,0.7293023582191328,29
