strain,n_total,n_used,median_norm,mean_norm,sd_norm,relative_fitness,fitness_sd,log2_fitness,pvalue,n_jackknife,note
SPH1,11,6,0.7583280960426428,0.8011508179440182,0.09785267886349637,0.6451086931174163,0.08324314252510386,-0.6323858369710982,0.000666000666000666,0,
YEH1,11,5,0.8118051830950055,0.7675561106062626,0.13635799111318556,0.6906015792706626,0.11599955995590178,-0.5340744615310643,0.001554001554001554,0,
YJR060W,11,11,0.9322367480943532,0.8641693542557441,0.1677052120306282,0.7930525499154922,0.14266659870132786,-0.3345116287177363,5.292265354184859e-05,0,
ELC1,11,9,0.9476702907367276,0.9428775147117778,0.12563504921083887,0.8061818439191712,0.10687756767697155,-0.31082280237404136,0.00032908268202385847,0,
LCL1,11,9,0.9742270440895241,0.8801820272009959,0.28035490174727007,0.8287736383393806,0.23849753849166735,-0.27094998042696145,0.005512134923899629,0,
YER079W,11,9,1.0034970230143578,0.9255126679685366,0.23445469949781503,0.8536735701107494,0.19945029806698192,-0.22824358102559575,0.0037021801727684074,1,
YKL033W-A,11,7,1.0173610775296857,1.0164152537269298,0.11369523030627048,0.8654677026720581,0.09672037976611825,-0.20844811245808204,0.009324009324009324,0,
YPL081W,11,11,1.0319700090190054,0.9960005978356865,0.13587754844352762,0.877895501075016,0.1155908480219008,-0.18787887386618496,0.0017729088936519278,0,
MMS2,11,8,1.042416634774416,1.0561068058309626,0.2645477683607295,0.8867824315787497,0.22505043134353603,-0.1733479062397441,0.19487179487179485,2,
COS111,11,10,1.057164906641406,1.020061202878204,0.16477545238355534,0.8993287666539034,0.14017425610326986,-0.1530794782420486,0.01554001554001554,0,
YOS9,11,8,1.0772812350122187,1.0656547242684407,0.09302498626263692,0.9164417001893187,0.07913623091156141,-0.12588498883361124,0.020668220668220667,2,
YLR312C-B,11,11,1.1290960561557557,1.1127392154894247,0.20387757565050957,0.9605204989658053,0.17343837986513358,-0.05811169136539497,0.272287052472811,0,
BY4741,11,8,1.1755043826461342,1.19798196365843,0.10211965419628782,1.0,0.08687305271156034,0.0,,1,wild-type reference
Blank_media,11,0,0.278675165629643,,,,,,,0,no-cell control (background); norm should be ~0
