strain,n_plates,total_colonies,fitness_mean,boot_mean,boot_mean_se,boot_median,boot_median_se,between_plate_sd,pooled_colony_sd,pooled_se,se_ratio
COS111,6,105,0.8525133181441867,0.8530733255747145,0.04374892521474521,0.8697277322563948,0.0734129451616625,0.1189457413266111,0.19661732736185286,0.019187886411537784,2.280028361458234
ELC1,6,134,0.9135578453053573,0.9135298045503292,0.023010868481007463,0.9185939996346709,0.0371807383305798,0.06077565059695886,0.19054394021169935,0.016460489363474953,1.3979455879402645
LCL1,6,133,0.8748095461590398,0.8748610846341156,0.027372952444106632,0.8840505273445372,0.041410753533395774,0.07272450152967298,0.141110819728503,0.012235859859430582,2.2371090187837837
MMS2,6,139,0.9300624996176565,0.930166222502748,0.03414252929814974,0.9271513337459193,0.059820063685735385,0.09298135368207269,0.16343196397090104,0.013862118259597413,2.463009524140455
SPH1,6,139,0.8740928777503401,0.8750526208936493,0.03294205058502786,0.8590552548096283,0.04532197152828639,0.08744648329593424,0.1325837819799829,0.011245609613052434,2.9293254628715757
YEH1,6,131,0.8212102359798363,0.8205398270684061,0.027484821783716508,0.8069259467925838,0.03543161350965768,0.0731531190320832,0.1441356763917288,0.012593192517303604,2.182514223136917
YER079W,6,110,0.7850653779843597,0.7843628517227185,0.04315840033228533,0.7898960931258473,0.06720962277005937,0.116045366424237,0.18189352587943916,0.01734286721520202,2.488538936310053
YJR060W,6,150,0.7535877383991793,0.754739355039988,0.031614190188901166,0.7388135033681474,0.034255557918712966,0.08398933515083738,0.15380527955678905,0.012558148488675133,2.51742446089172
YKL033W-A,6,143,0.8520332465242597,0.8516403843507917,0.016023173447089454,0.8581643752609175,0.024628474191431375,0.04313675846049569,0.17585502577076592,0.014705736022039404,1.0895866363353466
YLR312C-B,6,153,1.0197748619693712,1.019817670495828,0.030405725894516913,1.0318150924592224,0.051456969918012914,0.08194919634878069,0.16142811293177986,0.01305068942278166,2.3298175988649152
YOS9,6,157,0.9440187904163028,0.9439638227393211,0.02427269562663575,0.9437528698589395,0.042279305391978265,0.06453496568123601,0.19785017630068727,0.015790163079518527,1.5372036060932104
YPL081W,6,143,0.8670987724875091,0.8659989552716597,0.03704707855824875,0.8687948922659485,0.05402714277424856,0.0993680404909708,0.1643326926359821,0.013742190119979111,2.695864213404221
