group,plate,volume_nl,hours,strain,fitness,fitness_sd,fitness_se,n_used,n_total,pvalue
P1_t44,P1,2.5,43.71,BY4741,1.0,0.1655724068600726,0.0318644245570123,27,30,
P1_t44,P1,2.5,43.71,COS111,0.9399298479412288,0.1895092123200692,0.0525603986302155,13,29,0.4527790434739979
P1_t44,P1,2.5,43.71,ELC1,0.898361336719415,0.2378462664784182,0.0531840420040272,20,29,0.1718440497622755
P1_t44,P1,2.5,43.71,LCL1,0.9024960134254264,0.1733470647772955,0.039768544080191,19,29,0.038009628004738
P1_t44,P1,2.5,43.71,MMS2,0.9702430363410164,0.1797813312260304,0.0374869989389966,23,29,0.4136198843420612
P1_t44,P1,2.5,43.71,SPH1,0.8160431403885233,0.1368485581707655,0.0291762106342396,22,29,0.0001512594410892
P1_t44,P1,2.5,43.71,YEH1,0.7615581657011757,0.1487226882592751,0.0341193246702043,19,29,7.320892203927665e-06
P1_t44,P1,2.5,43.71,YER079W,0.7649042300561116,0.2223322669537852,0.0594207977832733,14,29,0.0079765229429347
P1_t44,P1,2.5,43.71,YJR060W,0.669595564863613,0.204841245291367,0.0409682490582734,25,29,1.5203130888515508e-08
P1_t44,P1,2.5,43.71,YKL033W-A,0.8615497757485839,0.2122631941387428,0.0474634931215463,20,29,0.0121870682115946
P1_t44,P1,2.5,43.71,YLR312C-B,1.0703392420779292,0.1978266959734411,0.0395653391946882,25,29,0.163946509251655
P1_t44,P1,2.5,43.71,YOS9,0.9893024239466468,0.2678095009279337,0.0515399624840939,27,29,0.652855097760928
P1_t44,P1,2.5,43.71,YPL081W,0.8466641022429684,0.1092456234630004,0.0238393494696115,21,29,1.05334322037601e-05
P2_t44,P2,5.0,43.71,BY4741,1.0,0.1226297215577117,0.0231748390419144,28,30,
P2_t44,P2,5.0,43.71,COS111,0.6925000603231546,0.2283217088391819,0.047608367335112,23,29,4.0382064282801085e-06
P2_t44,P2,5.0,43.71,ELC1,0.8309521772892898,0.1529137752079411,0.0299888586031704,26,29,0.001779322158286
P2_t44,P2,5.0,43.71,LCL1,0.7685207119003798,0.1419269130720685,0.0273138471558037,27,29,1.815281427440348e-06
P2_t44,P2,5.0,43.71,MMS2,0.8328264011105795,0.1827936365452271,0.0365587273090454,25,29,0.0004633032308523
P2_t44,P2,5.0,43.71,SPH1,0.789723114919382,0.1526152513843839,0.0299303132646477,26,29,1.1410624377066625e-05
P2_t44,P2,5.0,43.71,YEH1,0.7582033566264497,0.1482464224010245,0.0280159404591532,28,29,1.9323216875459594e-06
P2_t44,P2,5.0,43.71,YER079W,0.6292621893565522,0.1631189680874366,0.0340126560523465,23,29,2.7555757359425904e-07
P2_t44,P2,5.0,43.71,YJR060W,0.7216637909728215,0.1010170093799663,0.0194407325194181,27,29,4.0013249711001655e-09
