group,plate,volume_nl,hours,strain,fitness,fitness_sd,fitness_se,n_used,n_total,pvalue
P1_t44,P1,2.5,43.71,BY4741,1.0,0.15857115492821908,0.03051703299450571,27,30,
P1_t44,P1,2.5,43.71,COS111,0.9376990816353808,0.18801597983250046,0.05214625045328337,13,29,0.43558717431802985
P1_t44,P1,2.5,43.71,ELC1,0.8987036078331686,0.23371164964266536,0.05225951357346142,20,29,0.11877131320789139
P1_t44,P1,2.5,43.71,LCL1,0.9016683513535603,0.15963866988989625,0.03569629177114569,20,29,0.025949584698699762
P1_t44,P1,2.5,43.71,MMS2,0.9679403267518976,0.1745970808142679,0.036406008002062805,23,29,0.5206440877657599
P1_t44,P1,2.5,43.71,SPH1,0.7998530752073078,0.1389292011706446,0.029619805212294143,22,29,0.00016397393898231777
P1_t44,P1,2.5,43.71,YEH1,0.7676306086416907,0.14810569363987813,0.03397777639680123,19,29,5.933159407338495e-06
P1_t44,P1,2.5,43.71,YER079W,0.7919082788579739,0.2252921709153127,0.0581701883990614,15,29,0.02745424563593152
P1_t44,P1,2.5,43.71,YJR060W,0.676602134599218,0.2034550758024057,0.03990082314061408,26,29,1.6141631265978068e-08
P1_t44,P1,2.5,43.71,YKL033W-A,0.8607346116926721,0.2076783111206826,0.04643828211181968,20,29,0.0073883536931254705
P1_t44,P1,2.5,43.71,YLR312C-B,1.1040616378533838,0.20274586489370186,0.04227543522080509,23,29,0.07979590832575915
P1_t44,P1,2.5,43.71,YOS9,0.9545940761699416,0.21921720144507542,0.042992030303216924,26,29,0.4711699984900557
P1_t44,P1,2.5,43.71,YPL081W,0.8380464224893364,0.10758904216624002,0.02347785379402812,21,29,1.401824941863922e-05
P2_t44,P2,5.0,43.71,BY4741,1.0,0.1292723929551427,0.023601801894734525,30,30,
P2_t44,P2,5.0,43.71,COS111,0.7287243609215611,0.2430768579751153,0.049617855859834026,24,29,2.4280780584586035e-05
P2_t44,P2,5.0,43.71,ELC1,0.8623580909026376,0.15997474074823242,0.031994948149646485,25,29,0.002412514280923981
P2_t44,P2,5.0,43.71,LCL1,0.7913036581951138,0.14935870922980543,0.028744096993214403,27,29,1.8362339799618879e-06
P2_t44,P2,5.0,43.71,MMS2,0.8448137497030479,0.18125913353650822,0.03625182670730164,25,29,0.0003076063670964226
P2_t44,P2,5.0,43.71,SPH1,0.8052409275372238,0.15434267305147045,0.030269088525750738,26,29,2.168015434307221e-05
P2_t44,P2,5.0,43.71,YEH1,0.7747627872914498,0.15069194384389198,0.02798279147264883,29,29,2.0014808258665296e-06
P2_t44,P2,5.0,43.71,YER079W,0.6608366904565628,0.1648866262563557,0.03365734164475556,24,29,1.3954287861514683e-07
P2_t44,P2,5.0,43.71,YJR060W,0.7380256540986532,0.0981173433035143,0.018542434977389107,28,29,2.190218529921245e-09
P2_t44,P2,5.0,43.71,YKL033W-A,0.8001970420279367,0.14044026209491697,0.02654071482599152,28,29,9.556301121190148e-06
P2_t44,P2,5.0,43.71,YLR312C-B,0.9289580166622702,0.1836491481192819,0.03470642674374895,28,29,0.18855475028897206
P2_t44,P2,5.0,43.71,YOS9,0.875666918176645,0.14812763155940448,0.027506610635789356,29,29,0.011587405322807784
P2_t44,P2,5.0,43.71,YPL081W,0.7316152612199611,0.18966122603131572,0.03521920550695944,29,29,2.307830541447972e-08
P1_t50,P1,2.5,50.3,BY4741,1.0,0.16351989260603622,0.030902355017682955,28,30,
P1_t50,P1,2.5,50.3,COS111,0.9601002588716755,0.1795214735209432,0.04979029829435473,13,29,0.33375784736264125
P1_t50,P1,2.5,50.3,ELC1,0.9544769523382353,0.23884789475479776,0.05340801289544432,20,29,0.22918988375501026
P1_t50,P1,2.5,50.3,LCL1,0.9364088983299962,0.1383070335322756,0.03092639287445111,20,29,0.033788839383669556
P1_t50,P1,2.5,50.3,MMS2,1.0298007427065001,0.14873317857283277,0.031013011580960495,23,29,0.410254251449085
P1_t50,P1,2.5,50.3,SPH1,0.858001094817415,0.11861477615777309,0.025288755247197602,22,29,0.00031109410013833137
P1_t50,P1,2.5,50.3,YEH1,0.8237989947414492,0.1418024241210661,0.03253170719435903,19,29,2.0472186370882428e-05
P1_t50,P1,2.5,50.3,YER079W,0.8608148280227469,0.21311053675377356,0.05502490398324591,15,29,0.011228860279959754
P1_t50,P1,2.5,50.3,YJR060W,0.7309404754894786,0.18214099056798727,0.0357207871204341,26,29,7.004558510798589e-09
P1_t50,P1,2.5,50.3,YKL033W-A,0.8845327876086909,0.19909568092416433,0.044519147657303956,20,29,0.0072051517526857765
