strain,n_total,n_used,median_norm,mean_norm,sd_norm,relative_fitness,fitness_sd,log2_fitness,pvalue,n_jackknife,note
YJR060W,29,26,0.7969937455037358,0.7553262901412912,0.19860061817664434,0.7309404754894786,0.18214099056798727,-0.45217417053278514,7.004558510798589e-09,0,
YEH1,29,19,0.898243657832095,0.8824809134328726,0.1546167559623459,0.8237989947414492,0.1418024241210661,-0.27963572915996276,2.0472186370882428e-05,0,
SPH1,29,22,0.9355365164952899,0.9556580049854694,0.12933369801250194,0.858001094817415,0.11861477615777309,-0.22094860626901272,0.00031109410013833137,0,
YER079W,29,15,0.9386045197614435,0.9612843779532856,0.23236880510682076,0.8608148280227469,0.21311053675377356,-0.21622516553995036,0.011228860279959754,0,
YKL033W-A,29,20,0.9644658122742835,0.965257026183558,0.2170874616665697,0.8845327876086909,0.19909568092416433,-0.1770124735728135,0.0072051517526857765,0,
YPL081W,29,22,0.9769189930212672,0.9488312598785569,0.127677842989482,0.8959538732921217,0.11709615513383664,-0.15850363546799248,0.00012282837060995756,1,
LCL1,29,20,1.0210298378992877,1.0134300107510366,0.15080549563298307,0.9364088983299962,0.1383070335322756,-0.09478945100176571,0.033788839383669556,0,
ELC1,29,20,1.040730656941149,1.0736100397007258,0.26043198403923723,0.9544769523382353,0.23884789475479776,-0.06721773345383314,0.22918988375501026,0,
COS111,29,13,1.0468621276784904,1.0642233899511193,0.19574438189921492,0.9601002588716755,0.1795214735209432,-0.05874302715304067,0.33375784736264125,0,
YOS9,29,27,1.0841169527084369,1.1074967079440945,0.2601749200419901,0.994267477466917,0.23861213571473117,-0.00829407760217854,0.5168677495508638,0,
BY4741,30,28,1.0903675090232543,1.1351858737761684,0.17829677797659377,1.0,0.16351989260603622,0.0,,2,wild-type reference
MMS2,29,23,1.1228612706151837,1.0734165813815812,0.16217382542957054,1.0298007427065001,0.14873317857283277,0.04236521573994608,0.410254251449085,0,
YLR312C-B,29,25,1.1869790209662914,1.2098560080819527,0.1837090149878732,1.0886045403439994,0.16848357408635445,0.12247995837030913,0.06780732044118264,0,
Blank_media,6,0,,,,,,,,0,no-cell control (background); norm should be ~0
