strain,volume_effect_t44,volume_effect_t50,time_effect_P1,time_effect_P2
BY4741,0.0,0.0,0.0,0.0
COS111,-0.23792433680466063,-0.1430286605025769,-0.050760495293827534,0.0441351810082562
ELC1,-0.09477617595675214,-0.08204570226538455,-0.015451504632783442,-0.0027210309414158473
LCL1,-0.01895511248545434,-0.06581856672277175,0.07627172444972963,0.029408270212412213
MMS2,-0.04130103176790312,-0.060237974856613974,0.05131784163433606,0.0323808985456252
SPH1,-0.015115592692828805,0.03852067369566692,-0.009773276349948068,0.043862990038547656
YEH1,0.09043168722245665,0.043955399573442744,0.10312487678718962,0.05664858913817572
YER079W,-0.09532516334547236,-0.14083194206628558,0.016814636110513148,-0.028692142610300064
YJR060W,0.1657763584959452,0.07949414761540097,0.1061461921717779,0.01986398129123368
YKL033W-A,0.05514711719477572,0.0006435707649528055,0.10785103108578775,0.05334748465596484
YLR312C-B,-0.1263281813896553,-0.03214339592467097,-0.04690438201812419,0.04728040344686013
YOS9,-0.01512389001084069,-0.0018996237403545724,0.0034864307409255835,0.0167106970114117
YPL081W,-0.11327529318684404,-0.026876129810848193,0.02469557368527575,0.1110947370612716
