strain,boot_fitness,boot_se,n_plates,our_sd,our_se,orf,common_name,costanzo_smf,costanzo_sd,kuzmin_smf,kuzmin_sd,label
COS111,0.8669981912273157,0.04146149089799033,6,0.2178072413408031,0.0444597169640164,YBR203W,COS111,1.037,0.0458,1.0411,,YBR203W
ELC1,0.9183633589261387,0.017737081465664575,6,0.1183011645328026,0.0241481240902004,YPL046C,ELC1,1.0433,0.0643,0.9829,,YPL046C
LCL1,0.8729649723629064,0.024746124775889663,6,0.1336523714108238,0.0257214108706236,YPL056C,LCL1,0.9802,0.0815,,,YPL056C
MMS2,0.9362962058414589,0.0332391005748422,6,0.1692461355998988,0.0338492271199797,YGL087C,MMS2,0.996,0.094,0.9852,,YGL087C
SPH1,0.8493978751788079,0.01856743250104804,6,0.1316700817398488,0.0258226275441479,YLR313C,SPH1,0.9843,0.0271,,,YLR313C
YEH1,0.8092046447105462,0.014467236358324965,6,0.1261664856179778,0.0238432246240126,YLL012W,YEH1,0.9925,0.0804,,,YLL012W
YER079W,0.7744177038407691,0.03386626724912983,6,0.1642111744944715,0.0335194656312155,YER079W,,1.0387,0.1173,,,YER079W
YJR060W,0.744820854376893,0.016283292258726673,6,0.0902494753721189,0.017055547699191,YJR060W,CBF1,0.59,0.1138,0.7523,,YJR060W
YKL033W-A,0.853888712153184,0.013777464847010727,6,0.1257683593089425,0.0237679858237198,YKL033W-A,,1.0327,0.1008,,,YKL033W-A
YLR312C-B,1.0204767089912747,0.030917972225903766,6,0.150454590302689,0.0289549994040241,YLR312C-B,,1.0845,0.0441,,,YLR312C-B
YOS9,0.9458327325796602,0.02134941431141445,6,0.1410214202377409,0.0261870203212554,YDR057W,YOS9,1.0435,0.0535,,,YDR057W
YPL081W,0.8285143878883892,0.03006736049553672,6,0.1796732950941303,0.0333644932938897,YPL081W,RPS9A,0.955,0.1553,,,YPL081W
