strain,n_total,n_used,median_norm,mean_norm,sd_norm,relative_fitness,fitness_sd,log2_fitness,pvalue,n_jackknife,note
YJR060W,29,26,0.7771138584775981,0.7832615732701989,0.15146387310217546,0.7046688026370885,0.13734392320679825,-0.5049827509410549,1.5161816467196948e-08,0,
YEH1,29,19,0.8462986900108197,0.8763175947276504,0.1667730985531902,0.7674040014310879,0.15122597337252539,-0.38194180736425276,3.885696255967472e-05,1,
YER079W,29,14,0.9330348591027553,0.9401584092360903,0.18255399165971065,0.8460543455892525,0.16553572081635665,-0.24117775826324395,0.0062580872781467095,1,
YKL033W-A,29,22,0.9559552125496398,0.8708459372611277,0.3106565997123998,0.8668379898947035,0.28169619131423146,-0.2061657127621029,0.0019196885955056768,0,
COS111,29,12,0.993749542190258,1.0374572179593318,0.16894995351609898,0.901109010445669,0.15319989490730876,-0.1502264502067104,0.271431936199828,2,
SPH1,29,22,0.9982859718417265,0.9927003204530206,0.12612634615561547,0.9052225395197872,0.11436844209751097,-0.14365558755986343,0.009772512617503528,0,
YPL081W,29,23,1.020558558581183,0.9848433277430562,0.16800671865433012,0.9254188040157907,0.15234459143614132,-0.11182168089369517,0.02012467882944962,0,
YOS9,29,27,1.0257492621619269,1.0412445019600183,0.16437216119425738,0.9301256134970326,0.14904885912411875,-0.10450252949285453,0.1350900957374606,0,
LCL1,29,20,1.0429939729068463,1.0041999036715183,0.17819557841408284,0.9457627167861842,0.1615836128855949,-0.08044982491218798,0.0535093109762093,0,
MMS2,29,22,1.0654883047665489,1.0789383278334195,0.15716533378232084,0.9661600546084061,0.14251387536622986,-0.04966588837038791,0.5975907494932922,1,
ELC1,29,20,1.0720580380074556,1.0279406707781085,0.24755289683851742,0.972117336165042,0.22447521878747895,-0.0407976348764644,0.12485048506719677,0,
BY4741,30,30,1.1028072415997383,1.1246052799689645,0.18064600934949637,1.0,0.1638056067599359,0.0,,0,wild-type reference
YLR312C-B,29,25,1.108807387672153,1.0665682727521906,0.1893024743995468,1.0054407931378024,0.17165508826813977,0.007828128921836958,0.34818211645369435,0,
Blank_media,6,0,,,,,,,,0,no-cell control (background); norm should be ~0
