strain,mean_fitness,between_batch_sd,mean_within_se,ratio
BY4741,1.0,0.0,0.026951120621534333,0.0
COS111,0.8708085082460884,0.11334838269967382,0.052255909370419115,2.1691017162517845
ELC1,0.942144870667098,0.05144437337844175,0.03638438247734847,1.4139136045656142
LCL1,0.8572132064186101,0.04138339169818281,0.021190217384052988,1.952947954622046
MMS2,0.9359364602453242,0.03837778957021827,0.03833448604814809,1.0011296231287878
SPH1,0.8588373029315968,0.019550693653972544,0.02524140602457436,0.7745485190063702
YEH1,0.8291480950308194,0.061743754626767976,0.024619940972643757,2.5078758188483894
YER079W,0.7729211823454456,0.06951146218829532,0.043396666241447446,1.6017696336753642
YJR060W,0.7071972816303582,0.08340703652307008,0.028498082564393665,2.9267595928464765
YKL033W-A,0.8216961639891026,0.05169477642356761,0.0333701364053772,1.549132907207344
YLR312C-B,0.9613030927797123,0.0532166609419225,0.033404533597024784,1.5930969605473644
YOS9,0.919500806498076,0.008527432244791359,0.031337403495015057,0.2721167452864385
YPL081W,0.8240704664352775,0.06160779529477444,0.03423413098904752,1.7996015530373632
