group,strain,fitness,fitness_sd,fitness_se,n_used,n_total
P1,BY4741,1.0,0.16904519193591167,0.03086328828702974,30,30
P1,COS111,0.738948694374869,0.16218167131129343,0.03457724850331791,22,29
P1,ELC1,0.849455018855189,0.18752236203129624,0.03482202843316111,29,29
P1,LCL1,0.7294888562566391,0.16079999057511277,0.032159998115022556,25,29
P1,MMS2,0.8167730957755499,0.12150943836950258,0.02296312541948811,28,29
P1,SPH1,0.7916960676568556,0.18710491158137502,0.036008357022736,27,29
P1,YEH1,0.742529615796395,0.1565274465167529,0.030123721127337345,27,29
P1,YER079W,0.7650192458181454,0.25130652318675784,0.05026130463735157,25,29
P1,YJR060W,0.7090426189472383,0.15081910079151567,0.028006403925039374,29,29
P1,YKL033W-A,0.8314392074921977,0.15170921136243923,0.031633557314299926,23,29
P1,YLR312C-B,0.9051112852556068,0.14877095533660076,0.02762607286215316,29,29
P1,YOS9,0.854390974427467,0.11946335530490032,0.022990733447860037,27,29
P1,YPL081W,0.7235354578077572,0.15185179264348697,0.02819816998772387,29,29
P2,BY4741,1.0,0.18626568474694144,0.034007305741681926,30,30
P2,COS111,0.9389600109408779,0.2272696409537735,0.04457124361809681,26,29
P2,ELC1,0.9739026379119546,0.20880138498780101,0.03945975272025549,28,29
P2,LCL1,1.0332494066874245,0.19934239216427665,0.038363461258983024,27,29
P2,MMS2,1.0793611707991155,0.21615060725857163,0.04239062170332258,26,29
P2,SPH1,1.2238642076601245,0.181033161391514,0.03421205172126899,28,29
P2,YEH1,1.235781471640732,0.1265422604306007,0.02349830784434897,29,29
P2,YER079W,1.2451709640342365,0.21935015040877398,0.04221395612843019,27,29
P2,YJR060W,0.6088972797787998,0.19212746111046464,0.03921785377475476,24,29
P2,YKL033W-A,1.1153134420160624,0.15723402539801729,0.030259702296437912,27,29
P2,YLR312C-B,0.8738640232916421,0.22403145928691792,0.04888767239208185,21,29
P2,YOS9,0.8168943791894246,0.2531730957394369,0.04965132905738782,26,29
P2,YPL081W,0.6847778506727408,0.22550460579637455,0.050424362779998656,20,29
P3,BY4741,1.0,0.11186268018882294,0.021140059483484092,28,30
P3,COS111,0.7919278539312955,0.11161007065180585,0.02232201413036117,25,29
P3,ELC1,0.7924212394580714,0.17720631956164393,0.03290638743811019,29,29
P3,LCL1,0.7791316917889473,0.16440872552213293,0.034281589068117985,23,29
P3,MMS2,0.873033414726512,0.14216732757053485,0.026867099522163693,28,29
P3,SPH1,0.7580001238964452,0.17406773160928132,0.03349935056728203,27,29
P3,YEH1,0.722227214888868,0.13018407361425874,0.026573712749321417,24,29
P3,YER079W,0.7619112467499217,0.2318676150541317,0.05184717490417921,20,29
P3,YJR060W,0.7084250876478106,0.10356434212668215,0.019231415534298142,29,29
P3,YKL033W-A,0.6681453398686065,0.15175640934095033,0.028679265641162428,28,29
P3,YLR312C-B,0.9415602059421274,0.09033957849483525,0.016775638579370755,29,29
P3,YOS9,0.8558282314725477,0.08851793895873035,0.016437368609677067,29,29
P3,YPL081W,0.7293023582191328,0.1411305010005059,0.0262072761103857,29,29
