strain,n_plates,boot_fitness,boot_se,across_plate_sd,mean_within_plate_sd,mean_within_plate_se,mean_n_used
COS111,3,0.8245636976298609,0.04936424117555087,0.10362574752176218,0.16702046097229092,0.033823502083925296,24.333333333333332
ELC1,3,0.8719206809217667,0.04414723617670354,0.0928040586989546,0.19117668886024705,0.035729389530508936,28.666666666666668
LCL1,3,0.8465929278293088,0.07639234136077912,0.16294717760822847,0.17485036942050747,0.03493501614737452,25.0
MMS2,3,0.9240109194089243,0.06617350911173508,0.13825632207304994,0.1599424577328697,0.03074028221499146,27.333333333333332
SPH1,3,0.9254021656087145,0.12342598246918392,0.2597864707796136,0.1807352681940568,0.03457325310376234,27.333333333333332
YEH1,3,0.899091611700665,0.13804029653732836,0.29081711188891324,0.1377512601872041,0.02673191390700258,26.666666666666668
YER079W,3,0.9221545196373666,0.13119760193756339,0.27811726738727455,0.23417476288322117,0.04810747855665365,24.0
YJR060W,3,0.6756851685719791,0.02698735175730791,0.05764149957752963,0.14883696800955415,0.028818557744697427,27.333333333333332
YKL033W-A,3,0.868909461057104,0.10748751825065538,0.2262774034263175,0.15356654870046896,0.030190841750633423,26.0
YLR312C-B,3,0.9073494188755842,0.016007687892075868,0.03388138216608241,0.15438066437278467,0.03109646127786859,26.333333333333332
YOS9,3,0.842673933193726,0.010358351479765198,0.022075269782659755,0.15371813000102252,0.029693143704974972,27.333333333333332
YPL081W,3,0.7126184389099888,0.011303938138265808,0.024213773709178144,0.17282896648012247,0.034943269626036076,26.0
