strain,n_total,n_used,median_norm,mean_norm,sd_norm,relative_fitness,fitness_sd,log2_fitness,pvalue,n_jackknife,note
YJR060W,29,24,0.5877390832818421,0.6058812886368267,0.18723859142953952,0.6045173700894868,0.1925837231007606,-0.7261443006868626,1.1538187155119875e-07,1,
YPL081W,29,20,0.6663627780474668,0.6832754037869522,0.2198984987312047,0.6853855487395052,0.22617597828842753,-0.545012321737082,1.2622401966874524e-05,0,
YOS9,29,26,0.7925747943913222,0.8530029205946021,0.2453519530827884,0.815200560815691,0.2523560566973591,-0.29477305088395694,0.030742687815110165,0,
YLR312C-B,29,21,0.8548891091659282,0.8717518512843554,0.21452690532069046,0.879293772851429,0.22065104109421865,-0.18558284325256288,0.07050801593441362,0,
COS111,29,26,0.9140511829927656,0.8836256816483223,0.21923431451753841,0.9401447563850345,0.22549283349591429,-0.08904518571384164,0.13706590440990374,0,
ELC1,29,28,0.9403448997513136,0.9124944546915331,0.20322913249767477,0.9671890843136794,0.20903074884361322,-0.04813013245023087,0.2463497903120151,0,
BY4741,30,30,0.9722451535095492,0.9800847086680725,0.17378026338768113,1.0,0.17874119789682685,0.0,,0,wild-type reference
LCL1,29,28,0.9952401317827114,1.0036839363083716,0.1915283035715802,1.0236514197989637,0.1969958943793275,0.03372452340223236,0.5387913238921599,0,
MMS2,29,25,1.0542929649643478,1.041987513905102,0.16935371671923735,1.0843900441762322,0.17418828585353704,0.1168837729143116,0.11018959564343679,2,
YKL033W-A,29,27,1.0764579434618742,1.0967848421723896,0.14765542225262757,1.1071877700558796,0.15187056651260264,0.1468999122336081,0.006126520891082322,2,
YEH1,29,29,1.2011352288987165,1.1856988200412122,0.11932668751774002,1.2354242390028218,0.12273312660598211,0.3050065417341168,9.883271045226756e-06,0,
SPH1,29,28,1.2045447469320316,1.1865123957310721,0.18106206932978938,1.2389310891228842,0.18623087878217026,0.30909594523034195,6.571725851091173e-05,1,
YER079W,29,27,1.2252686929597552,1.1915046964543186,0.21179222884419854,1.2602466451355994,0.21783829734680016,0.33370611379764337,0.00017838898977065042,2,
Blank_media,6,0,,,,,,,,0,no-cell control (background); norm should be ~0
