strain,n_plates,boot_fitness,boot_se,across_plate_sd,mean_within_plate_sd,orf,common_name,costanzo_smf,costanzo_sd,kuzmin_smf,kuzmin_sd
COS111,3,0.822935884278662,0.05089174126595117,0.10683547719456783,0.16608659379827925,YBR203W,COS111,1.037,0.0458,1.0411,
ELC1,3,0.8673069305729973,0.04284283670604807,0.09002276928971963,0.19080693959817227,YPL046C,ELC1,1.0433,0.0643,0.9829,
LCL1,3,0.8419666555382247,0.07460307883645677,0.15903656841056632,0.17367422776663458,YPL056C,LCL1,0.9802,0.0815,,
MMS2,3,0.9234375635827335,0.06879270815562154,0.14375196228860523,0.14605330788575208,YGL087C,MMS2,0.996,0.094,0.9852,
SPH1,3,0.9202880138502432,0.1314688580969913,0.2769141409833385,0.1857606624649314,YLR313C,SPH1,0.9843,0.0271,,
YEH1,3,0.8968762920615154,0.13875084679258165,0.29231646408063106,0.13588117421763724,YLL012W,YEH1,0.9925,0.0804,,
YER079W,3,0.9271019624154787,0.1353118390292034,0.2868369541598355,0.23315048575078023,YER079W,,1.0387,0.1173,,
YJR060W,3,0.6722725992060589,0.02739704822255718,0.058513122999117165,0.14867881379991685,YJR060W,CBF1,0.59,0.1138,0.7523,
YKL033W-A,3,0.8556448409640592,0.10683074074181204,0.22532221311628736,0.14416142215635416,YKL033W-A,,1.0327,0.1008,,
YLR312C-B,3,0.9065967557381096,0.015185829624155022,0.03201280114185906,0.15281202796660695,YLR312C-B,,1.0845,0.0441,,
YOS9,3,0.8396742189016274,0.010040114092616478,0.02140922549793994,0.1530645578811076,YDR057W,YOS9,1.0435,0.0535,,
YPL081W,3,0.7107434590171706,0.010619262812546871,0.02272274428581744,0.17247156867801217,YPL081W,RPS9A,0.955,0.1553,,
