barcoding_rounds,sublibraries,barcode_space,cells_barcoded_together,collision_rate_pct
3,1,884736,45000,4.959
3,1,884736,480000,41.873
3,1,884736,3000000,96.632
3,1,884736,12000000,100.0
3,10,8847360,45000,0.507
3,10,8847360,480000,5.281
3,10,8847360,3000000,28.758
3,10,8847360,12000000,74.24
3,24,21233664,45000,0.212
3,24,21233664,480000,2.235
3,24,21233664,3000000,13.176
3,24,21233664,12000000,43.172
3,48,42467328,45000,0.106
3,48,42467328,480000,1.124
3,48,42467328,3000000,6.821
3,48,42467328,12000000,24.616
3,96,84934656,45000,0.053
3,96,84934656,480000,0.564
3,96,84934656,3000000,3.47
3,96,84934656,12000000,13.176
4,1,84934656,45000,0.053
4,1,84934656,480000,0.564
4,1,84934656,3000000,3.47
4,1,84934656,12000000,13.176
4,10,849346560,45000,0.005
4,10,849346560,480000,0.056
4,10,849346560,3000000,0.353
4,10,849346560,12000000,1.403
4,24,2038431744,45000,0.002
4,24,2038431744,480000,0.024
4,24,2038431744,3000000,0.147
4,24,2038431744,12000000,0.587
4,48,4076863488,45000,0.001
4,48,4076863488,480000,0.012
4,48,4076863488,3000000,0.074
4,48,4076863488,12000000,0.294
4,96,8153726976,45000,0.001
4,96,8153726976,480000,0.006
4,96,8153726976,3000000,0.037
4,96,8153726976,12000000,0.147
