genes,n_active,pearson_r,relative_residual,slope
YDR423C|YML007W,731,0.944435187711123,0.4744638502597809,0.5692139863967896
YMR280C|YPR015C,788,0.8964352154700826,0.48071056604385376,0.6379929184913635
YFL031W|YJR060W,1776,0.9142322348621759,0.41291606426239014,0.7468268275260925
YBR297W|YJR060W,1359,0.9369656550790203,0.38275447487831116,0.7188720703125
YJR060W|YPR009W,1300,0.9324606752849538,0.36039185523986816,0.7958030700683594
YJR060W|YOR344C,1508,0.9144364122023249,0.45004984736442566,1.0436567068099976
YDR259C|YOR028C,743,0.8542396363691761,0.5750397443771362,0.5223346948623657
YJL110C|YKR034W,710,0.9074313328923197,0.6294465661048889,0.39814403653144836
YBL054W|YER088C,780,0.8995342162267059,0.48277002573013306,0.616500198841095
YIR013C|YPL021W,534,0.8995371538172606,0.5134164690971375,0.5694460868835449
YIL131C|YNL068C,1204,0.7504289523006218,0.7096509337425232,0.766250491142273
YCR065W|YIL131C,929,0.8623310645578879,0.5750748515129089,0.5081799030303955
YER040W|YFL021W,1202,0.8300985917503789,0.549876868724823,0.6645929217338562
YFL021W|YJL110C,816,0.8178653310294542,0.6173343062400818,0.48556846380233765
YLR013W|YPL021W,641,0.8826281384363992,0.5282779335975647,0.5683530569076538
YIR013C|YLR013W,527,0.8682562836234571,0.5673457384109497,0.515116274356842
YER040W|YJL110C,972,0.834100809036398,0.615018904209137,0.4851541519165039
YER040W|YGL035C,1617,0.7750545710645912,0.646115243434906,0.5017906427383423
YER040W|YHL027W,1174,0.834049762914095,0.5390868186950684,0.6873273253440857
YER040W|YPR065W,1314,0.8867599203998686,0.489393413066864,0.6357141733169556
YDR310C|YER040W,1575,0.9339878111002007,0.34652024507522583,0.8167526721954346
YGL166W|YPR008W,1024,0.6404573257096945,0.8076825141906738,0.5590597987174988
YER040W|YPR008W,1363,0.7721218977263299,0.6195696592330933,0.6730902791023254
YDR174W|YIR013C,954,0.9145721476369956,0.4360053539276123,0.6900569796562195
YDR174W|YPR065W,1376,0.9056834290503064,0.4897818863391876,0.6000109314918518
YER040W|YOR304W,1669,0.8503368390904483,0.5064182281494141,0.7635253667831421
YDL020C|YDR034C,1154,0.8817160339154991,0.5069472193717957,0.6152233481407166
YGR288W|YIL036W,2445,0.9661709793546713,0.4154209494590759,0.6148151755332947
YBR297W|YGR288W,925,0.7582368404084323,0.7344436645507812,0.32312166690826416
YDR253C|YPL038W,2269,0.8297500456993695,0.8212847709655762,1.2089908123016357
YGL035C|YGL209W,1879,0.7275610686552796,0.8969016075134277,1.0068382024765015
YER028C|YGL035C,1159,0.8029187388590271,0.6282179355621338,0.47367215156555176
YGL035C|YHR178W,2387,0.8084880075300757,0.5672304630279541,0.7300158739089966
YGL035C|YGR067C,1389,0.6243856762834641,0.8022598624229431,0.3343692719936371
YER028C|YGL209W,805,0.9266323142324476,0.5058161020278931,0.5437911152839661
YKL062W|YMR037C,719,0.8572145484146252,0.5508083701133728,0.5751376152038574
YLR014C|YMR037C,630,0.9497652429981137,0.42602136731147766,0.6348065137863159
YBR089C-A|YPR052C,1455,0.898023449627602,0.44790157675743103,0.8882215619087219
YBR066C|YDR043C,756,0.8672895344900333,0.49458441138267517,0.7296698689460754
YBR089C-A|YDL106C,768,0.9122349251831865,0.5138179063796997,0.551663875579834
YDL106C|YML027W,720,0.9216368556961148,0.5271958708763123,0.5209192037582397
YMR182C|YPL230W,1315,0.7379630758103493,0.7108371257781982,0.7104409337043762
YBR182C|YPL089C,1044,0.7713148107462591,0.7216541171073914,0.3332340121269226
YDR096W|YER169W,1182,0.7953992686197614,0.5996536612510681,0.6562505960464478
YIL119C|YJL056C,2130,0.8334613722906247,0.564176619052887,0.887958288192749
YDL020C|YIL130W,1114,0.9211530167436323,0.4654591381549835,0.6228379607200623
YDL020C|YPL177C,1170,0.8544907226757547,0.5764893293380737,0.5434984564781189
YDL020C|YFL031W,2050,0.6841010031546869,0.9481871128082275,0.8466740250587463
YDL020C|YOR304W,1549,0.83093081727206,0.5526259541511536,0.6977443099021912
YDL020C|YGL035C,1483,0.8066455403624831,0.6631764769554138,0.4298008680343628
YCR033W|YDL020C,1637,0.8203192114548493,0.5866039991378784,0.5965296030044556
YDL020C|YDR026C,1425,0.9360527055668401,0.4014700651168823,0.6944679617881775
YDL020C|YDR266C,1332,0.9552415786397864,0.45948922634124756,0.5785031914710999
YJL089W|YLR228C,678,0.867214611771129,0.5815547704696655,0.4917425811290741
YCR033W|YFL031W,1345,0.8357289861801754,0.5495200157165527,0.6802664399147034
YCR033W|YER161C,1434,0.8684391919076151,0.5128039121627808,0.8702787756919861
YHR178W|YJL110C,1300,0.7878259584597411,0.6669145226478577,0.4156668186187744
YHR178W|YOR304W,2255,0.9099034114029811,0.4132959544658661,0.9352270364761353
YDL048C|YLR375W,802,0.8413838051345616,0.5373884439468384,0.6306670904159546
YGL096W|YPL177C,762,0.9262132783474889,0.5484304428100586,0.4886190593242645
YDL170W|YIR023W,1396,0.8915204620670923,0.5656668543815613,0.4965561628341675
YDR213W|YLR228C,2211,0.8673618048765053,0.8650988936424255,1.3979313373565674
YML007W|YMR037C,677,0.9374585748156182,0.40944650769233704,0.677509069442749
YML007W|YMR019W,736,0.853820326881764,0.5257647633552551,0.6722553372383118
YER184C|YJL089W,785,0.8829861988417645,0.47223514318466187,0.8256103992462158
YFL052W|YPR196W,947,0.8071078463933228,0.6410203576087952,0.4681831896305084
YGL209W|YGR067C,853,0.9028338539338381,0.541195809841156,0.5199113488197327
YGR067C|YML081W,971,0.8107788309300429,0.6403618454933167,0.4607142210006714
YJR127C|YML081W,1753,0.6995108788450145,0.8231450915336609,0.807182252407074
YDR451C|YML027W,689,0.8428082472918256,0.6198319792747498,0.4501107931137085
YOR162C|YOR172W,578,0.9267932802488584,0.4646196663379669,0.6059280633926392
YIR017C|YOR162C,574,0.9039387662446128,0.5754261016845703,0.47101685404777527
