component,genes_for_50pct_mass,genes_for_75pct_mass,genes_for_90pct_mass
1,36,498,1498
2,180,704,1632
3,529,1508,2701
4,305,1093,2227
5,178,681,1632
6,126,736,1830
7,169,786,1822
8,294,1024,2076
9,378,1170,2244
10,152,698,1722
11,259,873,1890
12,608,1457,2527
13,331,1038,2072
14,285,1007,2058
15,282,971,2009
16,466,1229,2251
17,441,1221,2285
18,273,989,2029
19,369,1073,2099
20,295,1046,2112
21,242,878,1928
22,181,689,1668
23,363,1098,2158
24,172,764,1827
25,270,960,2029
26,348,1055,2111
27,354,1077,2126
28,424,1223,2294
29,405,1175,2250
30,275,942,1995
31,311,1058,2142
32,256,903,1950
33,396,1167,2253
34,389,1174,2245
35,273,916,1950
36,300,1023,2103
37,343,1081,2168
38,325,1036,2082
39,264,948,1995
40,369,1116,2191
41,393,1159,2247
42,324,1034,2089
43,302,1003,2033
44,335,1018,2070
45,263,948,2003
46,304,994,2051
47,297,1000,2060
48,332,1058,2144
49,232,860,1903
50,416,1186,2260
51,298,969,2026
52,305,1013,2090
53,249,860,1897
54,279,1004,2081
55,376,1095,2184
56,241,876,1915
57,246,898,1950
58,373,1128,2178
59,277,990,2079
60,364,1102,2170
61,281,1001,2064
62,364,1078,2155
63,273,958,2027
64,321,1059,2144
65,387,1152,2214
66,325,1055,2124
67,350,1078,2136
68,375,1131,2225
69,361,1086,2146
70,304,995,2042
71,391,1153,2229
72,267,930,1975
73,377,1118,2183
74,415,1186,2243
75,313,1010,2053
76,374,1107,2170
77,293,1001,2081
78,269,951,2017
79,356,1081,2145
80,325,993,2015
81,282,974,2033
82,402,1192,2294
83,339,1077,2169
84,391,1172,2261
85,353,1069,2157
86,387,1143,2227
87,288,952,2002
88,380,1155,2256
89,287,977,2037
90,393,1170,2265
91,421,1246,2344
92,249,882,1929
93,285,1019,2102
94,385,1183,2269
95,403,1157,2220
96,320,1008,2074
97,280,954,2026
98,339,1084,2161
99,518,1341,2425
100,454,1249,2347
101,386,1148,2194
102,317,1032,2112
103,278,958,2035
104,406,1174,2237
105,304,1005,2070
106,370,1134,2213
107,391,1167,2263
108,389,1159,2234
109,330,1065,2145
110,385,1126,2198
111,328,1080,2186
112,365,1131,2225
113,345,1111,2172
114,337,1067,2145
115,389,1150,2232
116,356,1080,2132
117,357,1094,2177
118,328,1007,2054
119,365,1124,2223
120,399,1193,2276
121,300,1012,2105
122,323,1030,2108
123,367,1147,2241
124,375,1130,2211
125,335,1062,2140
126,362,1090,2172
127,398,1180,2258
128,333,1054,2111
129,297,990,2073
130,327,1038,2084
131,335,1061,2121
132,285,989,2060
133,398,1154,2228
134,359,1077,2126
135,339,1066,2143
136,340,1079,2151
137,382,1131,2209
138,358,1095,2165
139,321,1021,2096
140,390,1138,2219
141,320,1047,2135
142,360,1122,2209
143,415,1178,2251
144,320,1039,2129
145,303,1019,2078
146,378,1125,2197
147,362,1111,2173
148,363,1055,2109
149,327,1056,2134
150,467,1244,2319
151,461,1276,2350
152,427,1205,2271
153,395,1171,2260
154,412,1174,2275
155,346,1061,2109
156,382,1133,2204
157,319,1052,2131
158,384,1141,2221
159,418,1151,2210
160,430,1190,2276
161,408,1155,2219
162,343,1098,2166
163,357,1118,2196
164,414,1198,2273
165,380,1131,2229
166,402,1169,2251
167,370,1160,2228
168,365,1115,2223
169,397,1139,2215
170,408,1188,2263
171,352,1095,2167
172,393,1152,2239
173,393,1175,2261
174,428,1200,2285
175,400,1179,2277
176,392,1125,2199
177,429,1185,2237
