dataset,fold,median_responders,q25_responders,q75_responders,median_abs_log2fc_responders,median_fold_responders,n_strains
kemmeren2014_single,1.1,1675.5,1319.25,2210.0,0.22006997834050124,1.1647900835783564,1484
kemmeren2014_single,1.15,846.0,595.0,1284.25,0.29507252310552984,1.2269466533132674,1484
kemmeren2014_single,1.2,453.0,298.0,784.75,0.37033730356242334,1.2926550193634576,1484
kemmeren2014_single,1.25,269.0,169.0,504.0,0.4448359355884938,1.3611593155927202,1484
kemmeren2014_single,1.35,117.0,76.0,250.75,0.5904297959960831,1.5056952451068986,1484
kemmeren2014_single,1.5,55.0,36.0,117.0,0.7936299513545604,1.7334304482552527,1484
kemmeren2014_single,1.75,25.0,17.0,54.0,1.0934145744200168,2.1337846402526752,1484
kemmeren2014_single,2.0,15.0,10.0,32.0,1.3608101291479087,2.5682935866081618,1484
kemmeren2014_single,2.5,9.0,6.0,16.0,1.8023658079070797,3.4879172378633663,1484
kemmeren2014_single,3.0,6.0,5.0,11.0,2.155483982090217,4.4551808054119775,1484
kemmeren2014_single,4.0,4.0,3.0,7.0,2.826412465228182,7.09308120930321,1484
kemmeren2014_single,6.0,3.0,2.0,4.0,3.7014793669567916,13.0093715616969,1484
sameith2015_single,1.1,1449.5,1104.5,1857.5,0.2061130551972231,1.1535760002222935,82
sameith2015_single,1.15,705.0,487.5,979.75,0.28085859337301966,1.2149177051752726,82
sameith2015_single,1.2,374.5,250.0,562.25,0.3566355826866854,1.2804363888615942,82
sameith2015_single,1.25,220.0,140.25,362.5,0.436885907291371,1.3536792217522013,82
sameith2015_single,1.35,99.5,61.75,187.75,0.5937666786185708,1.5091818747479717,82
sameith2015_single,1.5,42.0,28.25,89.5,0.7977449215044625,1.7383817350518,82
sameith2015_single,1.75,18.0,11.0,42.75,1.0931343007410428,2.1333701482312635,82
sameith2015_single,2.0,10.0,7.0,23.0,1.3500754170764306,2.5492545137764617,82
sameith2015_single,2.5,5.0,3.0,10.0,1.7284687882156269,3.313759240790575,82
sameith2015_single,3.0,3.0,2.0,5.75,2.04285873466971,4.1206123139878965,82
sameith2015_single,4.0,1.0,1.0,3.0,2.455057474580636,5.483349663135107,82
sameith2015_single,6.0,0.0,0.0,1.0,3.023607305241895,8.131983597632454,82
sameith2015_double,1.1,2014.5,1621.5,2640.0,0.2320582753886229,1.1745094127090367,72
sameith2015_double,1.15,1207.0,832.75,1708.0,0.3066272617495881,1.236812891373989,72
sameith2015_double,1.2,715.5,435.5,1138.25,0.3837470865337095,1.3047262009736698,72
sameith2015_double,1.25,459.5,259.75,801.0,0.4584588742985307,1.3740732118616228,72
sameith2015_double,1.35,253.0,111.75,433.75,0.6108264776890557,1.527133808603726,72
sameith2015_double,1.5,112.5,46.75,234.0,0.8218064407004951,1.767617893616912,72
sameith2015_double,1.75,56.0,18.75,119.5,1.1164211588232182,2.1680847595699557,72
sameith2015_double,2.0,30.0,11.0,79.25,1.3513809814590219,2.551562501387808,72
sameith2015_double,2.5,15.5,5.75,40.75,1.762695141407613,3.393314483416084,72
sameith2015_double,3.0,10.0,3.0,25.75,2.0285351756108465,4.079903913970521,72
sameith2015_double,4.0,5.0,1.0,14.0,2.5554571337996146,5.878536917150843,72
sameith2015_double,6.0,2.0,0.0,8.25,3.0428546971939614,8.241201564405829,72
