run_id,run_name,state,created_at,n_points,last_epoch,max_epochs_cfg,lr,val_loss_min,val_loss_min_epoch,val_loss_final,val_loss_epochs_after_min,val_loss_rise_min_to_final,val_loss_rise_frac,val_loss_n_increases,val_loss_n_steps,val_loss_monotone_decreasing,train_loss_min,train_loss_min_epoch,train_loss_final,train_loss_epochs_after_min,train_loss_rise_min_to_final,train_loss_rise_frac,train_loss_n_increases,train_loss_n_steps,train_loss_monotone_decreasing,val_gi_pearson_max,val_gi_pearson_best_epoch,val_gi_pearson_final,val_gi_mse_min,val_gi_mse_best_epoch,val_gi_mse_final
lzs9pcj3,run_compute-3-3-2027905_a1260b50c3d74b6b7acea919b89416feb6fc957b3023c9ac866f90378df82625,finished,2025-12-14T02:19:33Z,65,64.0,600,0.0001,5503.85400390625,63.0,5503.85400390625,0.0,0.0,0.0,8,63,False,5497.588816675647,64.0,5497.588816675647,0.0,0.0,0.0,4,64,False,0.4520016610622406,24.0,0.4428073763847351,0.003196865553036332,21.0,0.003367711789906025
yv4r30bi,run_compute-3-3-2027907_a1260b50c3d74b6b7acea919b89416feb6fc957b3023c9ac866f90378df82625,finished,2025-12-14T02:20:34Z,65,64.0,600,0.0001,5507.6923828125,61.0,5511.1337890625,2.0,3.44140625,0.0006248363217850318,9,63,False,5508.68681196733,64.0,5508.68681196733,0.0,0.0,0.0,5,64,False,0.4472014009952545,25.0,0.4312470555305481,0.003199039725586772,20.0,0.0034963719081133604
dhb7dg0h,run_compute-5-7-2027906_726df88a1e681d6703d88ff0470aa77ae737f6f179b943a606b96d727ddf92ed,finished,2025-12-14T02:19:32Z,57,56.0,600,0.0001,22678.96875,54.0,22792.373046875,1.0,113.404296875,0.005000416823406047,4,55,False,22729.944986979168,56.0,22729.944986979168,0.0,0.0,0.0,1,56,False,0.44547438621520996,32.0,0.442940354347229,0.0032465499825775623,49.0,0.0033573899418115616
c7671wgj,run_compute-3-3-2036902_bd9e6c666ea1c0e7d1bbb6321fbc4d3bd5f60f100d6dc0e0288cd97e366fc15e,finished,2025-12-15T22:01:05Z,50,49.0,600,0.0001,5566.77587890625,48.0,5566.77587890625,0.0,0.0,0.0,6,48,False,5575.847900390625,49.0,5575.847900390625,0.0,0.0,0.0,1,49,False,0.4619072675704956,24.0,0.4571880102157593,0.0031632366590201855,24.0,0.003218426601961255
do1dhr48,run_compute-5-7-2036903_c7ebc3c33a3e9d342b1e2672e8b1aa9af1dcba4942cabb19cdde762b11963b54,finished,2025-12-15T22:00:59Z,43,42.0,600,0.0001,23427.78515625,41.0,23427.78515625,0.0,0.0,0.0,3,41,False,23451.17606026786,42.0,23451.17606026786,0.0,0.0,0.0,1,42,False,0.4377027153968811,38.0,0.43283960223197937,0.003241794416680932,38.0,0.0033024614676833153
timffh8i,run_compute-3-3-2043575_11fbd7f61adf823dafb5c62ef0de2d9b2370ac2d612e0809a2e18c3e9cfe7d66,finished,2025-12-17T23:05:43Z,30,29.0,30,0.0001,5746.75537109375,29.0,5746.75537109375,0.0,0.0,0.0,0,29,True,5761.968505859375,29.0,5761.968505859375,0.0,0.0,0.0,0,29,True,0.455528199672699,25.0,0.450092613697052,0.003195336787030101,23.0,0.0032448084093630314
lvjota1b,run_gilahyper-740_7611b85f469d398c835b378142115a2c0619d2a6ea9fc2dd4f50fc949eae98a6,finished,2025-12-24T23:25:17Z,30,29.0,30,0.0001,10606.8447265625,29.0,10606.8447265625,0.0,0.0,0.0,0,29,True,10723.463541666666,29.0,10723.463541666666,0.0,0.0,0.0,0,29,True,0.3197351098060608,29.0,0.3197351098060608,0.003418104024603963,22.0,0.0034432171378284693
0me5dmqu,run_gilahyper-741_76f89452ed5d08aed3028c6bf9214923ba1265c998d44d24c1b6f1a70271aa44,finished,2025-12-25T01:29:25Z,30,29.0,30,0.0001,7144.94677734375,29.0,7144.94677734375,0.0,0.0,0.0,0,29,True,7195.714138454861,29.0,7195.714138454861,0.0,0.0,0.0,0,29,True,0.3421504497528076,14.0,0.2817307114601135,0.00333769922144711,13.0,0.004043422639369965
c0i006av,run_gilahyper-746_7611b85f469d398c835b378142115a2c0619d2a6ea9fc2dd4f50fc949eae98a6,finished,2025-12-26T20:56:29Z,30,29.0,30,0.0001,10434.4775390625,29.0,10434.4775390625,0.0,0.0,0.0,0,29,True,10547.732096354166,29.0,10547.732096354166,0.0,0.0,0.0,0,29,True,0.32310670614242554,18.0,0.2998322546482086,0.00339402724057436,18.0,0.0036072067450731993
t34kenj1,run_gilahyper-747_76f89452ed5d08aed3028c6bf9214923ba1265c998d44d24c1b6f1a70271aa44,finished,2025-12-26T23:00:39Z,30,29.0,30,0.0001,7114.94970703125,29.0,7114.94970703125,0.0,0.0,0.0,0,29,True,7164.933376736111,29.0,7164.933376736111,0.0,0.0,0.0,0,29,True,0.33305007219314575,13.0,0.24136506021022797,0.0034052832052111626,7.0,0.004421412944793701
4js6ximz,run_compute-3-3-2059265_f83395661f9a37aec8c2fbb4b577c1f5bcca6e00e6f64f2772f606e02c6de5e3,finished,2026-01-09T01:16:16Z,30,29.0,30,0.0001,1.0380136966705322,9.0,1.038555383682251,20.0,0.00054168701171875,0.000521849580074166,14,29,False,0.9942647735277812,15.0,1.0287717600663504,14.0,0.034506986538569207,0.03470603350064783,13,29,False,0.02977953851222992,14.0,0.0073914132080972195,0.003957975655794144,9.0,0.003960064612329006
outxo94i,run_compute-3-3-2059260_f83395661f9a37aec8c2fbb4b577c1f5bcca6e00e6f64f2772f606e02c6de5e3,finished,2026-01-09T01:16:25Z,30,29.0,30,0.0001,1.0370666980743408,0.0,1.038547158241272,29.0,0.0014804601669311523,0.00142754575928445,14,29,False,1.009084204147602,8.0,1.027672831217448,21.0,0.018588627069845876,0.018421284362040075,13,29,False,0.09376127272844315,2.0,-0.007292170077562332,0.0039577726274728775,4.0,0.003960054367780685
hl37p5kq,run_compute-3-3-2059266_11fbd7f61adf823dafb5c62ef0de2d9b2370ac2d612e0809a2e18c3e9cfe7d66,finished,2026-01-09T16:24:31Z,30,29.0,30,0.0001,5734.80908203125,29.0,5734.80908203125,0.0,0.0,0.0,0,29,True,5750.949235026042,29.0,5750.949235026042,0.0,0.0,0.0,0,29,True,0.45642733573913574,23.0,0.4497249126434326,0.003177047474309802,23.0,0.003256951691582799
vjfp4d83,run_compute-3-3-2059267_f83395661f9a37aec8c2fbb4b577c1f5bcca6e00e6f64f2772f606e02c6de5e3,finished,2026-01-09T16:24:53Z,30,29.0,30,0.0001,1.0380011796951294,18.0,1.0384470224380493,11.0,0.0004458427429199219,0.0004295204587829756,14,29,False,0.9936776538689931,15.0,1.0284886678059897,14.0,0.03481101393699659,0.03503250153755203,12,29,False,0.10253871977329254,8.0,-0.03139754757285118,0.003957956098020077,18.0,0.003959707450121641
z9l5lesa,run_compute-3-3-2059261_11fbd7f61adf823dafb5c62ef0de2d9b2370ac2d612e0809a2e18c3e9cfe7d66,finished,2026-01-09T16:24:56Z,30,29.0,30,0.0001,5738.27197265625,29.0,5738.27197265625,0.0,0.0,0.0,0,29,True,5753.082307942708,29.0,5753.082307942708,0.0,0.0,0.0,0,29,True,0.46390607953071594,26.0,0.46118399500846863,0.0031586706172674894,26.0,0.0031943509820848703
vywbs92b,run_compute-3-3-2036901_bd9e6c666ea1c0e7d1bbb6321fbc4d3bd5f60f100d6dc0e0288cd97e366fc15e,finished,2025-12-15T22:01:12Z,29,28.0,600,0.0001,5746.453125,27.0,5746.453125,0.0,0.0,0.0,0,27,True,5756.85126953125,28.0,5756.85126953125,0.0,0.0,0.0,0,28,True,0.022265631705522537,25.0,0.0012261769734323025,0.0039579980075359344,16.0,0.00396003108471632
46o1f245,run_gilahyper-721_4ab127b882e311c8d48ba76c3225553bf5d608bd0e0c1db72146ad0a7261e2dd,finished,2025-12-20T09:19:11Z,20,19.0,20,0.0001,11233.3779296875,19.0,11233.3779296875,0.0,0.0,0.0,0,19,True,11478.727864583334,19.0,11478.727864583334,0.0,0.0,0.0,0,19,True,0.3278751075267792,19.0,0.3278751075267792,0.003387761302292347,19.0,0.003387761302292347
