,noise_var,total_var,reliability,ceiling,robust_cv,label,description,score,rank
C101_A1B,2393.486096576041,17217.12568379146,0.8609822486903655,0.9278912914185398,0.0879615712201894,Whole_cell_size,Cell size on stage A1B,0.0816187759147054,118.0
C101_C,4126.380024614884,28287.205808062125,0.8541255699621337,0.9241891418763444,0.09037085340706527,Whole_cell_size,Cell size on stage C,0.08351976146090856,114.0
C102_A1B,11.436609797970082,71.59506367661433,0.8402597998986665,0.9166568604983364,0.04559841961215058,Whole_cell_outline_length,Contour length of cell on stage A1B,0.04179810416535972,222.0
C102_C,15.806440422952916,103.38170780330562,0.8471060233109488,0.9203836283370912,0.047090362239716445,Whole_cell_outline_length,Contour length of cell on stage C,0.043341198457898175,214.0
C103_A,0.48669798714508794,4.853808119727264,0.8997286305639054,0.9485402630167606,0.04707170154014508,Long_axis_length_in_whole_cell,Long axis length of mother cell on stage A,0.04464940415953567,209.0
C103_A1B,0.4389717747825626,5.109276110722383,0.9140833720335976,0.9560770743164997,0.043884982525262406,Long_axis_length_in_mother,Long axis length of mother cell on stage A1B,0.04195742569918359,220.0
C103_C,0.5210918900225653,5.350382750944106,0.9026066144649902,0.9500561112192217,0.04393722811973826,Long_axis_length_in_mother,Long axis length of mother cell on stage C,0.04174283208519037,223.0
C104_A,0.497520278004363,2.2458347302214134,0.7784697728156902,0.8823093407732291,0.05400331752554127,Short_axis_length_in_whole_cell,Short axis length of mother cell on stage A,0.04764763148552769,197.0
C104_A1B,0.6045564553943094,2.3972673961372606,0.7478143421261905,0.8647625929272094,0.0519652274925823,Short_axis_length_in_mother,Short axis length of mother cell on stage A1B,0.04493758486853777,207.0
C104_C,0.6640688421602777,2.5748336519748696,0.7420925263847844,0.8614479243603669,0.05374841107242082,Short_axis_length_in_mother,Short axis length of mother cell on stage C,0.04630145715600468,198.0
C105_A1B,6.431918287188036,16.87821553964386,0.6189219013064131,0.7867158961826137,0.10125959134882892,Neck_position,Neck position on stage A1B,0.07966253015507918,122.0
C105_C,11.105968195953695,18.399516953879864,0.39639892591790005,0.6296021965637509,0.11552104917580133,Neck_position,Neck position on stage C,0.0727323063104336,128.0
C106_A1B,6.5329834695569,19.89804340345244,0.6716770922098108,0.8195590840261675,0.08225791469538489,Bud_direction,Bud growth direction on stage A1B,0.06741522122165226,145.0
C106_C,10.050572267408262,21.62105110546356,0.5351487668946623,0.731538629803418,0.09559017713073317,Bud_direction,Bud growth direction on stage C,0.06992790720088257,140.0
C107_A1B,0.5886764611132402,2.1570009903650957,0.7270856787999896,0.8526931914821354,0.07391578835495333,Long_axis_length_in_bud,Long axis length in bud on stage A1B,0.06302748947330321,152.0
C107_C,0.44318740912811,3.6496403409506493,0.8785668263923591,0.9373189565950104,0.052662946205366164,Long_axis_length_in_bud,Long axis length in bud on stage C,0.04936197778843297,192.0
C108_A1B,0.36234005347826165,1.372026004968206,0.7359087567100027,0.857851243928691,0.05659591354999661,Short_axis_length_in_bud,Short axis length in bud on stage A1B,0.04855087484014525,196.0
C108_C,0.595153605169836,2.027491945764211,0.7064582148337422,0.8405106869241712,0.054622559184609766,Short_axis_length_in_bud,Short axis length in bud on stage C,0.04591084474181255,201.0
C109_A1B,0.049476036045478365,0.3076529575791685,0.8391823162215281,0.9160689473077493,0.04009145050867437,Neck_width,Neck width on stage A1B,0.03672653286352206,228.0
C109_C,0.14786502230132906,0.5683237910423429,0.7398225718650016,0.8601293925131274,0.06251923456807591,Neck_width,Neck width on stage C,0.053774631249424845,178.0
C11-1_A,1177.5899825096258,8440.80972061784,0.8604885050739622,0.9276251964419479,0.09708921144445996,Whole_cell_size,Mother cell size on stage A,0.09006239883856099,101.0
C11-1_A1B,1472.6154272962178,10016.252884941381,0.8529774113920212,0.9235677622091523,0.0897237819707656,Mother_cell_size,Mother cell size on stage A1B,0.08286599253168186,115.0
C11-1_C,1611.1875597706007,10623.177189103952,0.8483327980801098,0.9210498347430012,0.09126498895470421,Mother_cell_size,Mother cell size on stage C,0.08405960299455215,113.0
C11-2_A1B,374.66156638432665,1665.6189915537873,0.775061662790708,0.8803758644980608,0.12463599275704597,Bud_cell_size,Area of daughter cell on stage A1B,0.10972651987105839,78.0
C11-2_C,776.4721716676833,4930.416428103206,0.8425138762637131,0.9178855463856662,0.09992278279770796,Bud_cell_size,Area of daughter cell on stage C,0.09171767808465042,97.0
C110_A1B,1.4542929616336495,4.132350845367642,0.6480712756362619,0.8050287421181072,0.09199670318869785,Distance_between_bud_tip_and_mother_long_axis_extension,Length from bud tip to mother cell's long axis on stage A1B,0.07405999024701028,126.0
C110_C,3.1158785041771675,7.0557037339770385,0.5583886991778689,0.7472541061632709,0.09205443954768038,Distance_between_bud_tip_and_mother_long_axis_extension,Length from bud tip to mother cell's long axis on stage C,0.06878805794256275,143.0
C111_A1B,1.2745389948951389,5.7479629552923335,0.7782624897187915,0.8821918667267294,0.09096264497342041,Distance_between_bud_tip_and_mother_short_axis_extension,Length from bud tip to mother cell's short axis on stage A1B,0.08024650557150251,121.0
C111_C,3.0478731600461835,10.618158288628203,0.7129565149438031,0.844367523619782,0.11075476083238145,Distance_between_bud_tip_and_mother_short_axis_extension,Length from bud tip to mother cell's short axis on stage C,0.09351772313313915,93.0
