amino_acid,n,pearson,pearson_p,spearman,spearman_p,pearson_bx_disattenuated
arginine,4432,-0.11753393173559257,4.172648528256808e-15,-0.07715132950705958,2.712029453281738e-07,-0.12857805431883845
glutamate,4432,-0.08873151797038017,3.2755840380979468e-09,-0.06729381518477616,7.3329355550608975e-06,-0.0970692103030668
tyrosine,4432,-0.07615889329445091,3.8528202304448866e-07,-0.0792050920019647,1.2936001642199125e-07,-0.08331519395527145
isoleucine,4432,-0.0658384457304476,1.1513418502539755e-05,-0.049356549086152494,0.0010129566363078597,-0.0720249814363509
lysine,4432,-0.06407706695982464,1.963479289115997e-05,-0.04499321749903461,0.0027353045904774972,-0.07009809400987825
histidine,4432,-0.055804436336153104,0.00020165653264142357,-0.020974785225347934,0.16267845497896732,-0.06104812236353697
serine,4432,-0.04708824479650203,0.0017146002084369504,-0.012665267315170132,0.3992484642597883,-0.05151291042355153
valine,4432,-0.04141791279314512,0.0058204014917549035,-0.022730062162120944,0.13028394359966952,-0.04530976342108733
leucine,4432,-0.03925754311555526,0.008954844330372745,-0.011365739333516764,0.44937020554601415,-0.042946393748584465
phenylalanine,4432,-0.03792917382374723,0.011561093854660177,-0.03667942121835956,0.014606072375496104,-0.04149320370860687
alanine,4432,-0.024016848830729506,0.10989624145742839,-0.018377985239733684,0.22123879012713835,-0.02627360157126204
asparagine,4432,-0.015978023044280833,0.28756567033433966,0.011558480075473589,0.4417185415510513,-0.017479404326546974
glutamine,4432,-0.01030831577824825,0.49266082227851576,0.0021417833172490295,0.8866491755961015,-0.011276940765097946
tryptophan,4432,0.003302701253076105,0.826018979977082,0.0024051101474590764,0.8728250595674887,0.0036130408882451928
glycine,4432,0.02787093838425344,0.06355390506213232,0.04669484217418676,0.0018743762683593088,0.03048984218063324
proline,4432,0.03999380880347557,0.007748589690507609,0.010206458303468231,0.49694569927903987,0.0437518429343352
threonine,4432,0.11074020413705897,1.4354644396374162e-13,0.09234151632647714,7.32497992692489e-10,0.12114595140785314
aspartate,4432,0.12668341118681353,2.5510937135239224e-17,0.0873404978585946,5.7443812102309064e-09,0.1385872682411183
methionine,4432,0.1401263713662263,7.095978696650031e-21,0.12690457626536458,2.2446870601405512e-17,0.1532934015137032
