label,instrument,flow_cell,read_type,usd_per_lane,read_pairs_per_lane,usd_per_million_read_pairs
"Nova X 25B PE150, 8+ lanes",NovaSeq X Plus,25B,paired-read 2x150,3180.0,3200000000,0.994
"Nova X 25B PE150, per lane",NovaSeq X Plus,25B,paired-read 2x150,3380.0,3200000000,1.056
"Nova X 10B PE150, 8+ lanes",NovaSeq X Plus,10B,paired-read 2x150,1710.0,1200000000,1.425
"Nova X 10B PE150, per lane",NovaSeq X Plus,10B,paired-read 2x150,2000.0,1200000000,1.667
"Nova X 1.5B SR100, per lane",NovaSeq X Plus,1.5B,single-read 100 bp,1360.0,800000000,1.7
"Nova X 10B PE150, SPLIT LANE",NovaSeq X Plus,10B,paired-read 2x150,1160.0,600000000,1.933
"Nova X 1.5B PE150, per lane",NovaSeq X Plus,1.5B,paired-read 2x150,1580.0,800000000,1.975
i100 25M SR100nt,MiSeq i100,25M,single-read 100,986.0,25000000,39.44
i100 25M 2x150nt,MiSeq i100,25M,paired-read 2x150,1450.0,25000000,58.0
i100 titration run (26nt + indexes only),MiSeq i100,titration,26 nt + indexes,398.0,5000000,79.6
i100 5M 2x150nt,MiSeq i100,5M,paired-read 2x150,661.0,5000000,132.2
