config,arm,budget_epochs,seed,run_id,run_url,epochs_logged,complete,val_pearson_max,val_pearson_max_epoch,val_pearson_epoch29,val_pearson_mean_ep10_29,val_pearson_mean_ep60_99,val_point_loss_epoch29,val_point_loss_last,train_pearson_last,graph_reg_loss_last,val_fitness_pearson_max,last_epoch
cgt_s0_q_kl_ctrl_016,learnable table (control),30,1,3tqzb1qu,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/3tqzb1qu,30,True,0.226,3,0.1363,0.144,,1.193,1.193,0.6449,0.35,,29
cgt_s0_q_kl_ctrl_016,learnable table (control),30,2,ko5paoaq,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/ko5paoaq,30,True,0.1629,7,0.123,0.1248,,1.1724,1.1724,0.6403,0.338,,29
cgt_s0_q_kl_ctrl_016,learnable table (control),30,42,czh65w7z,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/czh65w7z,30,True,0.1946,2,0.1298,0.1399,,1.2166,1.2166,0.6444,0.34,,29
cgt_s0_q_kl_emb_017,composite: promoter + CaLM + ProtT5 + terminator,30,1,if1gdrya,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/if1gdrya,30,True,0.2748,15,0.1734,0.235,,1.0179,1.0179,0.5043,3.306,,29
cgt_s0_q_kl_emb_017,composite: promoter + CaLM + ProtT5 + terminator,30,2,e9gpr997,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/e9gpr997,30,True,0.2703,2,0.1703,0.2031,,1.0112,1.0112,0.4894,3.414,,29
cgt_s0_q_kl_emb_017,composite: promoter + CaLM + ProtT5 + terminator,30,42,s1vx2zgw,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/s1vx2zgw,30,True,0.2625,2,0.2216,0.215,,0.9496,0.9496,0.5016,3.357,,29
cgt_s0_q_kl_rand_018,"random 1,000-vector (matched control)",30,42,cjhqicvn,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/cjhqicvn,30,True,0.1869,13,0.1451,0.1513,,1.0169,1.0169,0.5225,1.902,,29
cgt_s0_q_kl_embfit_027,composite + fitness head (1.0),30,1,wpr18i1o,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/wpr18i1o,30,True,0.2784,25,0.2642,0.2372,,0.9201,0.9201,0.5237,3.349,0.7605,29
cgt_s0_q_kl_embfit_027,composite + fitness head (1.0),30,2,baozg4ou,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/baozg4ou,30,True,0.2429,2,0.1729,0.1715,,0.9748,0.9748,0.5221,3.418,0.7458,29
cgt_s0_q_kl_embfit_027,composite + fitness head (1.0),30,42,s4buqxee,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/s4buqxee,30,True,0.2538,2,0.1583,0.2093,,0.9903,0.9903,0.525,3.413,0.7296,29
cgt_s0_q_kl_calm_020,CaLM alone,30,42,8aa08xx0,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/8aa08xx0,30,True,0.2519,7,0.2076,0.2035,,0.9497,0.9497,0.5322,2.98,,29
cgt_s0_q_kl_prot_021,ProtT5 alone,30,42,pmkzwwzw,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/pmkzwwzw,30,True,0.2699,3,0.135,0.1623,,1.0461,1.0461,0.5236,3.072,,29
cgt_s0_q_kl_emb_022,composite,100,42,j7qbxq1j,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/j7qbxq1j,100,True,0.2625,2,0.2216,0.215,0.1642,0.9496,1.0542,0.7538,2.478,,99
cgt_s0_q_kl_calm_023,CaLM alone,100,42,07l6mryo,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/07l6mryo,80,False,0.2519,7,0.2076,0.2035,,0.9497,1.0442,0.7324,2.267,,79
cgt_s0_q_kl_prot_024,ProtT5 alone,100,42,1woog7pn,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/1woog7pn,100,True,0.2475,3,0.1747,0.1752,0.197,0.9771,1.0256,0.7635,2.334,,99
cgt_s0_q_kl_fudt_026,promoter + terminator alone,100,42,hfpqd2r8,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/hfpqd2r8,42,False,0.2076,20,0.146,0.1644,,1.0126,0.9881,0.5409,3.309,,41
