orf,self_value,self_rank,n_genes,self_present,version
YJL095W,-3.4009401328120337,1.0,6169,True,kemmeren
YPL042C,-2.3436659944254603,6.0,6169,True,kemmeren
YKL048C,-3.3150377034168885,1.0,6169,True,kemmeren
YEL044W,-3.182788394197659,2.0,6169,True,kemmeren
YDR283C,-1.7690276928240969,2.0,6169,True,kemmeren
YFR009W,-3.5974411328820155,1.0,6169,True,kemmeren
YJR031C,-3.158157982306875,1.0,6169,True,kemmeren
YMR255W,-3.10504781043545,1.0,6169,True,kemmeren
YDR358W,-2.02972063698632,1.0,6169,True,kemmeren
YNL255C,-5.2727630942778605,1.0,6169,True,kemmeren
YLR094C,-3.3233531917036547,1.0,6169,True,kemmeren
YDL171C,-1.2340974491930607,3.0,6169,True,kemmeren
YKR067W,-2.719693055512354,1.0,6169,True,kemmeren
YDR517W,-2.77477883516135,1.0,6169,True,kemmeren
YLR095C,-2.3112834360378702,2.0,6169,True,kemmeren
YDR513W,-4.227243633633026,1.0,6169,True,kemmeren
YDR098C,-4.603087142903918,1.0,6169,True,kemmeren
YER174C,-2.3377195225376357,1.0,6169,True,kemmeren
YJL103C,-2.002960430032391,2.0,6169,True,kemmeren
YOR185C,-0.29721013577203104,111.0,6169,True,kemmeren
YGL181W,-2.390962016152831,1.0,6169,True,kemmeren
YPR008W,-2.5108643349797406,1.0,6169,True,kemmeren
YFL031W,-3.7153767809195255,1.0,6169,True,kemmeren
YJR069C,-1.3869902602624438,2.0,6169,True,kemmeren
YCR065W,-0.9372779049482776,3.0,6169,True,kemmeren
YFR013W,-3.7823916692968487,1.0,6169,True,kemmeren
YKL017C,-2.167427387830096,1.0,6169,True,kemmeren
YPL127C,-3.441838506123854,1.0,6169,True,kemmeren
YNL031C,-0.8759023539944312,6.0,6169,True,kemmeren
YML075C,-3.577312713744879,2.0,6169,True,kemmeren
YOR032C,-0.21727651761378816,111.0,6169,True,kemmeren
YIL072W,-1.0440152505392672,3.0,6169,True,kemmeren
YGL033W,0.013986110500975769,3186.0,6169,True,kemmeren
YMR172W,-1.0386633278714483,1.0,6169,True,kemmeren
YPR193C,-1.1268723906054467,1.0,6169,True,kemmeren
YEL066W,-2.205791661195337,1.0,6169,True,kemmeren
YMR044W,-3.861688081741063,1.0,6169,True,kemmeren
YJL092W,-2.737279579009608,1.0,6169,True,kemmeren
YNL004W,-4.11512196418176,1.0,6169,True,kemmeren
YOL013C,-3.112881545422896,1.0,6169,True,kemmeren
YLR207W,-2.7981370044141505,1.0,6169,True,kemmeren
YDR291W,-2.524462124391568,1.0,6169,True,kemmeren
YLR097C,-2.4032036268820223,1.0,6169,True,kemmeren
YBR272C,-2.7421399312790777,1.0,6169,True,kemmeren
YHR127W,-3.321917831112235,1.0,6169,True,kemmeren
YPL015C,-1.2136010421194512,2.0,6169,True,kemmeren
YOR025W,-3.10682185822002,1.0,6169,True,kemmeren
YBR245C,-4.031904248360352,1.0,6169,True,kemmeren
YDR191W,-2.4583849339605415,1.0,6169,True,kemmeren
YBL003C,-1.0125367913504109,4.0,6169,True,kemmeren
YBL002W,-0.6639383964510739,12.0,6169,True,kemmeren
YNR032C-A,-3.9143079769754037,1.0,6169,True,kemmeren
YML058W-A,-0.6476075737522629,12.0,6169,True,kemmeren
YJR036C,-0.8105080257171058,4.0,6169,True,kemmeren
YGL141W,-1.9812841803603707,1.0,6169,True,kemmeren
YLR174W,-1.3696363478595093,2.0,6169,True,kemmeren
YNL009W,-1.228537881239279,1.0,6169,True,kemmeren
YJR094C,-0.8441070368835929,5.0,6169,True,kemmeren
YOR304W,-2.219986086240096,1.0,6169,True,kemmeren
YGL192W,-0.09200635212906756,707.0,6169,True,kemmeren
YLR309C,-2.477654078671561,1.0,6169,True,kemmeren
YBR107C,-1.5318989774854108,2.0,6169,True,kemmeren
YJL153C,-1.3933967124694837,1.0,6169,True,kemmeren
YLR247C,-2.7090533703091477,1.0,6169,True,kemmeren
YFR038W,-3.1296331001010866,1.0,6169,True,kemmeren
YJR050W,-1.4635070926658464,2.0,6169,True,kemmeren
YJL073W,-3.0249867806726183,1.0,6169,True,kemmeren
YJR091C,-1.846184163089888,1.0,6169,True,kemmeren
YGL241W,0.33539339899916265,6146.0,6169,True,kemmeren
YGL133W,-2.7119740362096545,1.0,6169,True,kemmeren
YCL055W,-2.342686304802715,2.0,6169,True,kemmeren
YMR065W,-0.6147155550925715,5.0,6169,True,kemmeren
YBL063W,-0.1311310380590536,544.0,6169,True,kemmeren
YPL155C,-1.0544892772139842,4.0,6169,True,kemmeren
YGL216W,-2.2593205574750255,1.0,6169,True,kemmeren
YNL239W,-3.5939401800045325,1.0,6169,True,kemmeren
YGL085W,-2.9037212626548246,1.0,6169,True,kemmeren
YPL054W,-0.21680879574724332,327.0,6169,True,kemmeren
YDL051W,-4.479395692979742,1.0,6169,True,kemmeren
YGL090W,-1.0477826160664212,3.0,6169,True,kemmeren
YJR119C,-2.500121866965091,1.0,6169,True,kemmeren
YHR156C,-1.6107359869188214,2.0,6169,True,kemmeren
