build,screen,stratum,form,n,pearson,spearman,slope,rmse,median_abs_residual
025,both,all,"symmetric, mean over entries",352505,0.23019649133553122,0.22419384010776303,0.6348732714456242,0.17124302754170012,0.07430315566400025
029,kuzmin2018,deletion,"asymmetric, array-screen double",57451,0.5111949069218444,0.42380221775479643,0.9181128654437888,0.07883588726035347,0.04168660000000006
029,kuzmin2018,deletion,symmetric,57451,0.5040951687532931,0.4277874830825946,0.9073042417354376,0.07946920360509016,0.04173753654706467
029,kuzmin2020,deletion,"asymmetric, array-screen double",236225,0.32524698573120603,0.3843368988271323,0.9257093518332553,0.16450430679089997,0.06692220000000008
029,kuzmin2020,deletion,symmetric,231611,0.277928691086974,0.3373890278457906,0.9047973214822332,0.21168278579446098,0.08956579417600002
030,kuzmin2018,all,"asymmetric, query-strain double, array-strain controls",91111,0.7465460859125074,0.8973826607871207,0.905702156601806,0.044132053881378294,3.097999999998602e-05
030,kuzmin2018,all,"same, f_k from the screen's own row (raw table, diagnostic)",91111,0.7465460859125074,0.8973826607871207,0.905702156601806,0.044132053881378294,3.097999999998602e-05
030,kuzmin2018,all,"asymmetric, query-strain double",91111,0.7287451393586805,0.851369464918542,0.9013632655210853,0.04639945329885899,3.559999999995685e-05
030,kuzmin2018,all,"asymmetric, array-screen double",90206,0.4101277785882721,0.38093610400301847,0.8913884674796464,0.10846954586169129,0.04829131854081692
030,kuzmin2018,all,symmetric,90206,0.4072536589923499,0.3852000654676792,0.8783568733863725,0.10770848563645682,0.047974816504911304
030,kuzmin2018,deletion,"asymmetric, query-strain double, array-strain controls",57877,0.802632140561865,0.9176671360066703,0.8836613458570125,0.03399165303537448,3.0999999999961614e-05
030,kuzmin2018,deletion,"same, f_k from the screen's own row (raw table, diagnostic)",57877,0.802632140561865,0.9176671360066703,0.8836613458570125,0.03399165303537448,3.0999999999961614e-05
030,kuzmin2018,deletion,"asymmetric, query-strain double",57877,0.7783576385538777,0.8675925121930175,0.8748469871651807,0.03668668222628045,3.59999999999458e-05
030,kuzmin2018,deletion,"asymmetric, array-screen double",57445,0.5111719544407846,0.4236881514360774,0.9180589598273704,0.07885656615791369,0.04168840000000002
030,kuzmin2018,deletion,symmetric,57445,0.5041744672775588,0.4277325810164676,0.9075656438720427,0.07949409679055294,0.04174023053684444
030,kuzmin2018,query double in build,"asymmetric, query-strain double, array-strain controls",86111,0.9874840021792813,0.9802431967329843,0.9875446765503954,0.0080412412247099,2.899999999998737e-05
030,kuzmin2018,query double in build,"same, f_k from the screen's own row (raw table, diagnostic)",86111,0.9874840021792813,0.9802431967329843,0.9875446765503954,0.0080412412247099,2.899999999998737e-05
030,kuzmin2018,query double in build,"asymmetric, query-strain double",86111,0.9513140253209632,0.9288509438536822,0.98214439928221,0.016227684966371315,3.328000000011114e-05
030,kuzmin2018,query double in build,"asymmetric, array-screen double",85206,0.4354164053321899,0.4023615253345237,0.9645207555273064,0.10207883687917797,0.046176374509291296
030,kuzmin2018,query double in build,symmetric,85206,0.43010892759224706,0.39945257649658766,0.9530770786850026,0.10241091105792051,0.04623802658022439
030,kuzmin2018,every term strain-matched,"asymmetric, query-strain double, array-strain controls",86111,0.9874840021792813,0.9802431967329843,0.9875446765503954,0.0080412412247099,2.899999999998737e-05
030,kuzmin2018,every term strain-matched,"same, f_k from the screen's own row (raw table, diagnostic)",86111,0.9874840021792813,0.9802431967329843,0.9875446765503954,0.0080412412247099,2.899999999998737e-05
030,kuzmin2018,every term strain-matched,"asymmetric, query-strain double",86111,0.9513140253209632,0.9288509438536822,0.98214439928221,0.016227684966371315,3.328000000011114e-05
030,kuzmin2018,every term strain-matched,"asymmetric, array-screen double",85206,0.4354164053321899,0.4023615253345237,0.9645207555273064,0.10207883687917797,0.046176374509291296
030,kuzmin2018,every term strain-matched,symmetric,85206,0.43010892759224706,0.39945257649658766,0.9530770786850026,0.10241091105792051,0.04623802658022439
030,kuzmin2020,all,"asymmetric, query-strain double, array-strain controls",298692,0.5452638447066805,0.5978685130231404,0.9354293115174506,0.09388293258518893,0.03386962963761216
030,kuzmin2020,all,"same, f_k from the screen's own row (raw table, diagnostic)",299016,0.6567306790358206,0.8691202254118074,0.9433201747096627,0.06887539431415242,3.284000000004089e-05
030,kuzmin2020,all,"asymmetric, query-strain double",298785,0.5433374661599051,0.591007590935032,0.9303869894801673,0.09399059159791073,0.034852595000000056
030,kuzmin2020,all,"asymmetric, array-screen double",282345,0.3372389092750919,0.38988462694805437,0.9235733521226457,0.16400071109691017,0.0679537041299231
030,kuzmin2020,all,symmetric,276840,0.28632317742634145,0.34099666699039327,0.89111421832845,0.21246293406963018,0.09234473298661763
030,kuzmin2020,deletion,"asymmetric, query-strain double, array-strain controls",250023,0.5480534682765102,0.6180174135705071,0.9417880695177077,0.0887140144553025,0.029920934999999968
030,kuzmin2020,deletion,"same, f_k from the screen's own row (raw table, diagnostic)",250293,0.6508575223322858,0.8753715830275147,0.9554916534596091,0.06789498052284913,3.236000000007844e-05
030,kuzmin2020,deletion,"asymmetric, query-strain double",250062,0.5429302567287418,0.6068289153938455,0.936236209128055,0.08987450076148792,0.03112627799999998
030,kuzmin2020,deletion,"asymmetric, array-screen double",236264,0.3249647580988737,0.384140544457264,0.9254656375801512,0.16461034345541295,0.0669414460984101
030,kuzmin2020,deletion,symmetric,231650,0.27742438395829844,0.33686868516171387,0.9036940106376823,0.2118292658947068,0.08968286484913449
030,kuzmin2020,query double in build,"asymmetric, query-strain double, array-strain controls",254977,0.6599847444573418,0.6296259383604486,0.9256775728529981,0.06828604845030119,0.030641169000000024
030,kuzmin2020,query double in build,"same, f_k from the screen's own row (raw table, diagnostic)",255262,0.9144404283396113,0.9415831654084914,0.9372668429593983,0.02613327927890002,2.8000000000028002e-05
030,kuzmin2020,query double in build,"asymmetric, query-strain double",255064,0.6594996973445512,0.6221672654781818,0.9211397978658832,0.06817075664769451,0.03155008629229586
030,kuzmin2020,query double in build,"asymmetric, array-screen double",238624,0.33836151018292726,0.3807232108517051,0.9124123399861985,0.16040615817189097,0.06817156794630871
030,kuzmin2020,query double in build,symmetric,233119,0.2775788715341587,0.3293194769689784,0.8822245630857228,0.21912212048463617,0.0941985672209999
030,kuzmin2020,every term strain-matched,"asymmetric, query-strain double, array-strain controls",254977,0.6599847444573418,0.6296259383604486,0.9256775728529981,0.06828604845030119,0.030641169000000024
030,kuzmin2020,every term strain-matched,"same, f_k from the screen's own row (raw table, diagnostic)",254977,0.9197008708415119,0.9418369871487631,0.9366395496301201,0.025136748391166336,2.8000000000028002e-05
030,kuzmin2020,every term strain-matched,"asymmetric, query-strain double",254977,0.6593443721224468,0.6221812079349817,0.9217886380647369,0.06815355152808272,0.031547415999999925
030,kuzmin2020,every term strain-matched,"asymmetric, array-screen double",238537,0.33848619946188696,0.38070976919022914,0.9140560098735252,0.16038578233535805,0.06816395000000007
030,kuzmin2020,every term strain-matched,symmetric,233032,0.2776628666812002,0.3294017628506553,0.8836770996628012,0.21908709218573258,0.09419596697553348
