condition,n_genes,records_per_gene,n_samples_mean,frac_with_se,se_median,response_sd,reliability,ceiling_r_truth,ceiling_r_replicate,n_raw_labels,n_replicates,replicate_rho,hit_jaccard
"(1r,6s)-3-hydroxy-4-methyl-7-oxabicyclo(4.1.0)hept-3-ene-2,5-dione",5704,1.0,1.0,0.0,,0.3272555849528653,,,,,,,
(2e)-3-(4-methylbenzenesulfonyl)prop-2-enenitrile,5704,1.0,1.0,0.0,,0.32671679102201423,,,,,,,
"(2s)-2-benzyl-4-(2,5-dimethylanilino)-4-oxobutanoic acid",5704,1.0,1.0,0.0,,0.3705212686481586,,,,,,,
"(9r)-9-phenyl-5,6,7,9-tetrahydro-4h-[1,2,4]triazolo[5,1-b]quinazolin-8-one",5704,1.0,1.0,0.0,,0.39658856372513346,,,,,,,
"1,10-phenanthroline hydrochloride",5704,1.0,1.0,0.0,,0.3688035360777409,,,,,,,
"1,3-bis(o-tolyl)thiourea",5704,1.0,1.0,0.0,,0.37398520565577975,,,,,,,
"1,7-octadiene",5704,1.0,1.0,0.0,,0.6587260757972718,,,,,,,
"1,8-dihydroxyanthraquinone",5677,1.0,1.0,0.0,,0.34261152244715937,,,,,,,
"1,8-nonadiene",5704,1.0,1.0,0.0,,0.3988798075887108,,,,,,,
1-methyl-4-phenylpyridinium,5704,2.0,1.0,0.0,,0.32299820924624273,,,,1.0,2.0,0.477949968318871,0.20754716981132076
"1-ter-butyl-3-p-tolyl-1h-pyrazolo[3,4-d]pyrimidin-4-ylamine",5704,2.0,1.0,0.0,,0.24684318303864164,,,,1.0,2.0,0.11556283641116233,0.12280701754385964
"2,3-bis(2-hydroxyethylsulfanyl)-(1,4)naphthoquinone",5704,1.0,1.0,0.0,,0.3489780543741344,,,,,,,
"2,3-epoxy-2-methyl-1,4-naphthoquinone",5704,1.0,1.0,0.0,,0.31251840674538583,,,,,,,
"2,4-dimethylphenylacetonitrile",5704,1.0,1.0,0.0,,0.399968643309266,,,,,,,
2-(3-methoxypropylamino)-n-[4-(trifluoromethoxy)phenyl]acetamide,5704,1.0,1.0,0.0,,0.35010579283971693,,,,,,,
2-demethylthiocolchicine formate,5704,1.0,1.0,0.0,,0.36224123233937616,,,,,,,
"2-hydroxy-1,4-naphthoquinone",5704,1.0,1.0,0.0,,0.301963259604632,,,,,,,
"2-methyl-6-phenylimidazo[2,1-b]-1,3,4-selenadiazole",5704,1.0,1.0,0.0,,0.44269311722527616,,,,,,,
"2h-indol-2-one, 3-(1,3-dihydro-3-oxo-2h-indol-2-ylidene)-1,3-dihydro-",5704,1.0,1.0,0.0,,0.31055441846486564,,,,,,,
"3,5-dinitrobenzamide",5677,1.0,2.0,1.0,0.176205,0.24708270863802007,-0.5552202609717676,0.0,0.0,1.0,2.0,-0.24551755127776217,0.03237410071942446
"3,6-diamino-10-methylacridinium chloride",5677,1.0,2.0,1.0,0.1928545,0.4439889997023794,0.47454841201255016,0.6888747433405802,0.47454841201255016,1.0,2.0,0.07416203900801283,0.13663366336633664
"3,6-dibromo-alpha-((dimethylamino)methyl)-9h-carbazole-9-ethanol",5704,2.0,1.0,0.0,,0.6681008407119462,,,,1.0,2.0,0.2520294860589156,0.09297912713472485
"3-(4-chlorophenyl)-1-(1,1-dimethylethyl)-1h-pyrazolo(3,4-d)pyrimidin-4-amine",5704,2.0,1.0,0.0,,0.2859008485953378,,,,1.0,2.0,0.20747162184661394,0.1497005988023952
"3-{[(e)-(2,3-dichlorophenyl)methylidene]amino}benzonitrile",5704,1.0,1.0,0.0,,0.5916597726378529,,,,,,,
"4,6-dichloro-1h-indole-2-carboxylic acid",5677,1.0,1.0,0.0,,0.37060887199131703,,,,,,,
4-aminobenzoic acid,5728,1.9869064245810055,1.0,0.0,,0.21812944536310586,,,,,,,
"5,6-dihydroxy-2-phenyl-4h-1-benzopyran-4-one",5728,1.9869064245810055,1.0,0.0,,0.21635503214747318,,,,1.0,2.0,-0.06608569872152582,0.05730129390018484
"5,7-dimethoxycoumarin",5677,1.0,1.0,0.0,,0.2552859169679484,,,,,,,
5-chloro-8-hydroxyquinoline,5677,2.0,1.0,0.0,,0.4356472385053254,,,,1.0,2.0,0.47048958625848764,0.200836820083682
5-fluorouracil,5784,10.840767634854771,1.635057333779883,0.5445194009855988,0.10782824999999999,0.2863858649431018,0.9375209731644504,0.9682566669868328,0.9375209731644504,1.0,20.0,0.22358142407148135,0.10917830963138186
5-fluorouracil|leucovorin,5677,2.0,1.0,0.0,,0.35205830588288123,,,,,,,
5-fluorouridine,5677,3.0,1.0,0.0,,0.4051097173112421,,,,1.0,3.0,0.6383914806819943,0.288932254779476
"7,7-dimethyl-2-(4-methylphenyl)-6,7,8,9-tetrahydro-1,2,4-triazolo[5,1-b]benzot hiazol-5-one",5704,1.0,1.0,0.0,,0.3949977332921855,,,,,,,
"7-methoxy-2,5-dimethyl-1,2,3,4-tetrahydropyrimido[3,4-a]-indole",5704,1.0,1.0,0.0,,0.44455817098977524,,,,,,,
"7-oxabicyclo(2.2.1)heptane-2,3-dicarboxylic acid, 1,4-dimethyl-, (exo,exo)-",5704,3.0,1.0,0.0,,0.2493372107844797,,,,1.0,3.0,0.3773011691625394,0.25730480447263915
"8-benzylamino-7-ethyl-3-methyl-3,7-dihydro-purine-2,6-dione",5704,1.0,1.0,0.0,,0.3579856305546098,,,,,,,
8-methoxypsoralen,5677,1.0,1.0,0.0,,0.42112865771839036,,,,,,,
9-aminoacridine,5677,1.0,1.0,0.0,,0.4084546468905332,,,,,,,
CID 403818,5704,1.0,1.0,0.0,,0.29760598921627496,,,,,,,
CID 622648,5704,1.0,1.0,0.0,,0.36423163518629226,,,,,,,
T=20,5677,1.0,1.0,0.0,,0.3691889468890274,,,,,,,
T=23,5753,1.9940900399791412,2.0,1.0,0.07234624999999999,0.16133751956957,0.6385382286544037,0.7990858706386965,0.6385382286544037,,,,
T=37,5736,1.989365411436541,2.4975024099553065,1.0,0.08727893029884766,0.20639554299975127,0.6178187462022859,0.7860144694611454,0.6178187462022859,,,,
aclarubicin,5704,1.0,1.0,0.0,,0.34090120498582444,,,,,,,
adenophostin a,5704,1.0,1.0,0.0,,0.29764119333234845,,,,,,,
aklavin hydrochloride,5677,3.0,1.0,0.0,,0.2428020248014084,,,,1.0,3.0,-0.03945270298123691,0.03679747102769198
alizarin,5704,2.0,1.0,0.0,,0.27094576759802774,,,,1.0,2.0,0.21439371249313888,0.10982658959537572
alpha-thujaplicin,5704,1.0,1.0,0.0,,0.2799565538749247,,,,,,,
alvatic acid,5704,1.0,1.0,0.0,,0.31371011198158877,,,,,,,
alverine citrate,5747,1.9843396554724204,4.497807786741494,1.0,0.08880847936898645,0.301469566095924,0.8796736040347238,0.9379091661961322,0.8796736040347238,1.0,11.0,0.28318155260350386,0.21521866330132663
aminopterin,5704,1.0,1.0,0.0,,0.3096991162196716,,,,,,,
aminopyrine,5677,1.0,1.0,0.0,,0.5606255417316448,,,,,,,
amitriptyline hydrochloride,5677,1.0,1.0,0.0,,0.31072221145378426,,,,,,,
amoxapine,5677,1.0,1.0,0.0,,0.3671682111849647,,,,,,,
amphotericin b,5677,3.0,3.3333333333333335,0.6666666666666666,0.09856679999999998,0.3312901244214937,0.9219006912145855,0.9601565972353601,0.9219006912145855,1.0,14.0,0.25285871372369534,0.12960268468848662
amphotericin b|flucytosine,5677,2.0,2.0,0.9999119253126652,0.1017345,0.3737290001426539,0.8637878459059791,0.9294018753510126,0.8637878459059791,,,,
amsacrine,5677,1.0,1.0,0.0,,0.4248073998345918,,,,,,,
anisomycin,5677,2.0,1.0,0.0,,0.3976043956397212,,,,1.0,2.0,0.5387906311465042,0.200836820083682
ansamitocins,5704,1.0,1.0,0.0,,0.35994102612088497,,,,,,,
aphidicolin glycinate,5704,1.0,1.0,0.0,,0.6671955384102729,,,,,,,
atorvastatin,5677,2.0,2.5,1.0,0.14179867194088216,0.35280817734154973,0.7161420067735949,0.8462517395985635,0.7161420067735949,1.0,5.0,0.2258832284690305,0.16742942056994325
azane;dichloroplatinum,5677,4.0,2.25,1.0,0.10117634901826345,0.16977289044448862,0.6947494878027887,0.8335163392536398,0.6947494878027887,1.0,9.0,0.16380027418435134,0.11171845764016974
azobenzene,5677,1.0,1.0,0.0,,0.3030980724002766,,,,,,,
basifungin,5704,1.0,1.0,0.0,,0.5002442052876487,,,,,,,
bathophenanthroline disulfonic acid,5677,1.0,1.0,0.0,,0.37794817019334814,,,,,,,
beclomethasone dipropionate,5677,1.0,1.0,0.0,,0.3120109861507414,,,,,,,
benfluorex hydrochloride,5704,1.0,1.0,0.0,,0.48382410395961895,,,,,,,
benomyl,5753,4.975664870502347,1.0,0.0,,0.4993612482755817,,,,1.0,5.0,0.055712889361544796,0.09986829573869029
benzaldehyde,5704,1.0,1.0,0.0,,0.27830769121343485,,,,,,,
"benzoic acid, 4-[[(2,5-dihydroxyphenyl)methyl]amino]-, methyl ester",5704,1.0,1.0,0.0,,0.3517664142276083,,,,,,,
benzyl benzoate,5677,1.0,1.0,0.0,,0.33506407214956097,,,,,,,
berberine chloride,5677,1.0,5.0,1.0,0.09292121303101893,0.356379482663476,0.8385765459251574,0.9157382518630296,0.8385765459251574,1.0,5.0,0.37127517524381715,0.1889341844044578
biochanin a,5704,1.0,1.0,0.0,,0.29897469965250273,,,,,,,
bisacodyl,5677,1.0,1.0,0.0,,0.279160224408921,,,,,,,
bithionol,5677,1.0,3.0,1.0,0.061672368294975605,0.7067260082509254,0.9764539031327404,0.9881568211234188,0.9764539031327404,1.0,3.0,0.9204500644713917,0.7053291356346031
borrelidin,5704,1.0,1.0,0.0,,0.388666640841512,,,,,,,
bostrycoidin,5704,1.0,1.0,0.0,,0.342431116147416,,,,,,,
bouvardin,5704,1.0,1.0,0.0,,0.3423024400898508,,,,,,,
brefeldin a,5728,1.9869064245810055,1.0,0.0,,0.24097011405595795,,,,1.0,2.0,0.07838197439991917,0.07721280602636535
bromhexine hydrochloride,5677,1.0,1.0,0.0,,0.3667604793997275,,,,,,,
bromocriptine mesylate,5677,1.0,1.0,0.0,,0.32276779783912174,,,,,,,
bruceantin,5704,1.0,1.0,0.0,,0.31429774044363784,,,,,,,
bufexamac,5677,1.0,2.0,1.0,0.02655550000000001,0.6982198641397677,0.9596202433746424,0.9796020842028882,0.9596202433746424,1.0,2.0,0.9254459813549457,0.6078431372549019
caffeine,5677,1.0,1.0,0.0,,0.34974481437162924,,,,,,,
calyculin a,5704,1.0,1.0,0.0,,0.5479579912104796,,,,,,,
camptothecin,5677,1.0,1.0,0.0,,0.39686320880240233,,,,,,,
cantharidin,5737,3.982046365696357,3.5044429853359595,0.7503173560954257,0.0757813,0.23987453499945846,0.8750656440420825,0.9354494342518374,0.8750656440420825,1.0,14.0,0.3493032469932885,0.22713604507175236
caracemide,5704,1.0,1.0,0.0,,0.2968701153682431,,,,,,,
carbendazim,5704,1.0,1.0,0.0,,0.2666869402277907,,,,,,,
carmustine,5728,1.9869064245810055,1.0,0.0,,0.2179301938710216,,,,,,,
caspofungin,5677,2.0,3.5,1.0,0.13467662571424285,0.4672564735900251,0.902909346744151,0.9502154212304444,0.902909346744151,1.0,7.0,0.24310378364953533,0.22416745101969476
chlorambucil,5677,2.0,1.0,0.0,,0.2562807970549059,,,,1.0,2.0,0.014623907493824459,0.0749063670411985
chloroacetoxyquinoline,5677,1.0,1.0,0.0,,0.2896705817222147,,,,,,,
chloroxine,5704,1.0,1.0,0.0,,0.28230320004965487,,,,,,,
chlorzoxazone,5677,1.0,1.0,0.0,,0.33807874863768106,,,,,,,
chrysin,5677,1.0,1.0,0.0,,0.2857263118212991,,,,,,,
ciclopirox olamine,5728,2.9827164804469275,1.0,0.0,,0.20904659992595084,,,,1.0,3.0,0.09848932081789986,0.06997960450474416
citrinin,5677,1.0,1.0,0.0,,0.34730273648983645,,,,,,,
clofoctol,5677,1.0,1.0,0.0,,0.3697968999866081,,,,,,,
clotrimazole,5677,2.0,1.5,0.5,0.10522100000000001,0.4701063564248745,0.9348854064552995,0.9668947235636874,0.9348854064552995,1.0,3.0,0.2843243370717018,0.1701703459362219
clozapine,5786,1.9811614241272035,1.4952455727122045,0.4952455727122045,0.03381199999999999,0.49168412538833206,0.9614712543061458,0.9805464059931819,0.9614712543061458,1.0,3.0,0.23291603185920337,0.0625083004242719
cobalt chloride,5704,1.0,1.0,0.0,,0.5997099768855148,,,,,,,
colchicine,5677,1.0,1.0,0.0,,0.37991097017990827,,,,,,,
copper sulfate,5704,1.0,1.0,0.0,,0.4628534738612761,,,,,,,
coralyne,5704,1.0,1.0,0.0,,0.34995470860164224,,,,,,,
curcumin,5704,3.0,1.0,0.0,,0.16407230790443192,,,,1.0,3.0,-0.00956404378713982,0.05397069262926143
cyclamine,5704,1.0,1.0,0.0,,0.39199951911183234,,,,,,,
cycloheximide,5704,2.0,1.0,0.0,,0.22758583249489614,,,,1.0,2.0,0.09033899788550571,0.09297912713472485
cytarabine,5677,1.0,1.0,0.0,,0.3443079703497051,,,,,,,
damnacanthal,5704,2.0,1.0,0.0,,0.3016346696212279,,,,1.0,2.0,0.3456051719097966,0.1566265060240964
daunorubicin,5741,1.9883295593102246,1.0,0.0,,0.7483118556686437,,,,1.0,2.0,0.1819769723290236,0.13438735177865613
