condition,n_genes,records_per_gene,n_samples_mean,frac_with_se,se_median,response_sd,reliability,ceiling_r_truth,ceiling_r_replicate,n_raw_labels,n_replicates,replicate_rho,hit_jaccard
1-butyl-3-methylimidazolium chloride,3485,1.0,3.0,1.0,0.15868849532301102,0.5600889907876261,0.6584949416697845,0.811477012409954,0.6584949416697845,1.0,3.0,0.3132584991745026,0.29455043499222056
1-ethyl-3-methylimidazolium chloride,3492,1.0,3.0,1.0,0.14161309591630797,0.565950381152058,0.8076965045520319,0.898719369187085,0.8076965045520319,1.0,3.0,0.5394892482548425,0.26539831904781735
"2,2'-bipyridine",3490,1.0,3.0,1.0,0.10274229754899714,0.49040397164626726,0.8708123903223994,0.9331732906177713,0.8708123903223994,1.0,3.0,0.2958922906608162,0.38407719063256135
"2,4-dimethylimidazole",3492,1.0,3.0,1.0,0.09939780559965217,0.27414112699174265,0.5337389147997036,0.7305743732158305,0.5337389147997036,1.0,3.0,0.19384261077052112,0.2505885266525999
"2,6-dimethylpyrazine",3505,1.0,3.0,1.0,0.14172345906283026,0.5269267752638706,0.7620978687419532,0.8729821697732166,0.7620978687419532,1.0,3.0,0.5757523687128369,0.25822857156754736
2-methylimidazole,3489,1.0,3.0,1.0,0.10574323529878414,0.18355061346661283,0.023103311036713037,0.15199773365650238,0.023103311036713037,1.0,3.0,0.018866055398985265,0.12894664509213716
"2-propenamide, 3-(4-hydroxyphenyl)-, (2e)-",3485,1.0,3.0,1.0,0.12905850707367958,0.5419534135015291,0.8333632650223937,0.9128873232893497,0.8333632650223937,1.0,3.0,0.49043525094667145,0.30819617131568083
4'-hydroxyacetophenone,3507,1.0,3.0,1.0,0.15473963126561366,0.5629383952685074,0.7022320834929686,0.8379928898821091,0.7022320834929686,1.0,3.0,0.39482054902983,0.27591456417696275
4-hydroxybenzaldehyde,3493,1.0,3.0,1.0,0.1474907752845851,0.4531467722029129,0.6619458737993646,0.8136005615775869,0.6619458737993646,1.0,3.0,0.3022362290589633,0.25472269568448186
4-hydroxybenzoic acid,3510,1.0,3.0,1.0,0.11169000634887295,0.23316956607197645,0.2507838832078707,0.5007832696964534,0.2507838832078707,1.0,3.0,0.13990169014623144,0.11724934035532564
4-methylimidazole,3501,1.0,3.0,1.0,0.11291629194755928,0.23270177205538453,0.016307192082628763,0.12769961661112678,0.016307192082628763,1.0,3.0,0.0784325738519575,0.06196916204654271
5-(hydroxymethyl)furfural,3505,1.0,3.0,1.0,0.11951993446609967,0.28766221095584765,-0.05431420942851628,0.0,0.0,1.0,3.0,0.17392265528348236,0.13105295157638738
acetamide,3489,1.0,3.0,1.0,0.1262833810355762,0.22737236758340393,0.27668021118318253,0.5260040030106069,0.27668021118318253,1.0,3.0,0.0700469947671755,0.13313417578235634
acetosyringone,3498,1.0,3.0,1.0,0.15259601514068313,0.745652216825106,0.8016279719128991,0.8953367924490198,0.8016279719128991,1.0,3.0,0.5514495048950708,0.22403468244112398
acetovanillone,3510,1.0,3.0,1.0,0.13649040768290843,0.5739292875078811,0.8356571194323166,0.9141428331679445,0.8356571194323166,1.0,3.0,0.5639507271516826,0.2813561037763001
azelaic acid,3497,1.0,3.0,1.0,0.1422545122722184,0.5431960729531102,0.7518407408033707,0.8670875046979807,0.7518407408033707,1.0,3.0,0.43859946012456846,0.3035435869278384
benomyl,3492,1.0,3.0,1.0,0.10496062452557281,0.3559387677797604,0.752624961081606,0.8675396020249485,0.752624961081606,1.0,3.0,0.17733536229973587,0.29902378853840167
benzoic acid,3490,1.0,3.0,1.0,0.10688973389411988,0.23321692498152427,0.4697394171578938,0.685375384120187,0.4697394171578938,1.0,3.0,0.21830178187025615,0.1419431560397254
caffeic acid,3499,1.0,3.0,1.0,0.14035239149008247,0.33298910244917784,0.45255153733360576,0.672719508661378,0.45255153733360576,1.0,3.0,0.23012085759056322,0.1854904007401068
cinnamic acid,3505,1.0,3.0,1.0,0.14545897976270233,0.4794794572329418,0.6510893231110257,0.8069010615379222,0.6510893231110257,1.0,3.0,0.3333196316680167,0.23601584714114957
crystal violet,3388,1.0,3.0,1.0,0.5964278995915036,1.7981358371940976,0.8550645696745265,0.9246970150673822,0.8550645696745265,1.0,3.0,0.7401284875085109,0.16179405705399588
ethanol,3487,1.0,3.0,1.0,0.18754867970558672,0.7031540646124694,0.8282395287387287,0.9100766609130951,0.8282395287387287,1.0,3.0,0.6829097764361415,0.23560242451836447
ferulamide,3490,1.0,3.0,1.0,0.16358692876917322,0.7162693705198315,0.797619447988567,0.8930954305048072,0.797619447988567,1.0,3.0,0.4386398346594837,0.2883349873677686
ferulic acid,3500,1.0,3.0,1.0,0.1472926948656691,0.7201983794616338,0.8504616554547264,0.9222047795661907,0.8504616554547264,1.0,3.0,0.550517673373537,0.43643460490751135
furfural,3494,1.0,3.0,1.0,0.12226248166589664,0.456912298425697,0.7705918390710619,0.877833605571729,0.7705918390710619,1.0,3.0,0.3885045836202286,0.28050969227439815
gamma-valerolactone,3474,1.0,3.0,1.0,0.17045309174928042,0.826478712818342,0.8049392618846333,0.8971840735794596,0.8049392618846333,1.0,3.0,0.545781802762115,0.40972908247268375
isobutanol,3481,1.0,3.0,1.0,0.12893787432128692,0.547128799244066,0.7863366066842888,0.886756227316329,0.7863366066842888,1.0,3.0,0.4837551674232341,0.23587220771266584
