dataset,encoder,n_compounds,n_with_smiles,n_embedded,n_failed,dim,seconds,seconds_union,seconds_per_100
vanacloig2022,ecfp4_count,41,41,41,0,2048,0.009,0.074,0.021
hillenmeyer2008_hom,ecfp4_count,114,114,114,0,2048,0.024,0.074,0.021
hillenmeyer2008_het,ecfp4_count,290,290,290,0,2048,0.062,0.074,0.021
vanacloig2022,ecfp4_bit,41,41,41,0,2048,0.008,0.07,0.02
hillenmeyer2008_hom,ecfp4_bit,114,114,114,0,2048,0.023,0.07,0.02
hillenmeyer2008_het,ecfp4_bit,290,290,290,0,2048,0.059,0.07,0.02
vanacloig2022,fcfp4_count,41,41,41,0,2048,0.012,0.103,0.03
hillenmeyer2008_hom,fcfp4_count,114,114,114,0,2048,0.034,0.103,0.03
hillenmeyer2008_het,fcfp4_count,290,290,290,0,2048,0.087,0.103,0.03
vanacloig2022,maccs,41,41,41,0,167,0.031,0.263,0.077
hillenmeyer2008_hom,maccs,114,114,114,0,167,0.087,0.263,0.077
hillenmeyer2008_het,maccs,290,290,290,0,167,0.222,0.263,0.077
vanacloig2022,rdkit_2d,41,41,41,0,217,0.25,2.09,0.609
hillenmeyer2008_hom,rdkit_2d,114,114,114,0,217,0.695,2.09,0.609
hillenmeyer2008_het,rdkit_2d,290,290,290,0,217,1.767,2.09,0.609
vanacloig2022,mol2vec,41,41,41,0,300,0.013,0.105,0.031
hillenmeyer2008_hom,mol2vec,114,114,114,0,300,0.035,0.105,0.031
hillenmeyer2008_het,mol2vec,290,290,290,0,300,0.089,0.105,0.031
vanacloig2022,chemberta2_mlm,41,41,41,0,384,0.04,0.334,0.097
hillenmeyer2008_hom,chemberta2_mlm,114,114,114,0,384,0.111,0.334,0.097
hillenmeyer2008_het,chemberta2_mlm,290,290,290,0,384,0.282,0.334,0.097
vanacloig2022,chemberta2_mtr,41,41,41,0,384,0.022,0.185,0.054
hillenmeyer2008_hom,chemberta2_mtr,114,114,114,0,384,0.062,0.185,0.054
hillenmeyer2008_het,chemberta2_mtr,290,290,290,0,384,0.157,0.185,0.054
vanacloig2022,molformer_xl,41,41,41,0,768,0.065,0.541,0.158
hillenmeyer2008_hom,molformer_xl,114,114,114,0,768,0.18,0.541,0.158
hillenmeyer2008_het,molformer_xl,290,290,290,0,768,0.458,0.541,0.158
vanacloig2022,roberta_zinc_480m,41,41,41,0,768,0.077,0.645,0.188
hillenmeyer2008_hom,roberta_zinc_480m,114,114,114,0,768,0.214,0.645,0.188
hillenmeyer2008_het,roberta_zinc_480m,290,290,290,0,768,0.545,0.645,0.188
vanacloig2022,unimol_v1,41,41,41,0,512,6.023,50.384,15.176
hillenmeyer2008_hom,unimol_v1,114,114,103,11,512,16.746,50.384,15.176
hillenmeyer2008_het,unimol_v1,290,290,283,7,512,42.598,50.384,15.176
vanacloig2022,mole_static,41,41,41,0,1000,0.031,0.258,0.075
hillenmeyer2008_hom,mole_static,114,114,114,0,1000,0.086,0.258,0.075
hillenmeyer2008_het,mole_static,290,290,290,0,1000,0.218,0.258,0.075
