dataset,compound,inchikey,dose_value,dose_unit,dose_basis,solvent,physical,temperature_c,duration_generations,duration_hours,media_name,aerobicity,screen_id,records,genes,response_median
hillenmeyer2008_het,,,,,,,,,5.0,,SD minimal (YNB + ammonium sulfate + glucose),aerobic,het_09_02::old scanner::-5::tag3::YPD::dmso::0,5796,5796,-0.004352375
hillenmeyer2008_het,mechlorethamine,HAWPXGHAZFHHAD-UHFFFAOYSA-N,50.0,uM,,,,,20.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,het_04_01_2::old scanner::20::tag3::YPD::dmso::0,5786,5786,-0.0357601
hillenmeyer2008_het,clozapine,QZUDBNBUXVUHMW-UHFFFAOYSA-N,125.0,uM,,,,,20.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,het_04_01_2::old scanner::20::tag3::YPD::dmso::0,5786,5786,-0.01221349
hillenmeyer2008_het,mitotane,JWBOIMRXGHLCPP-UHFFFAOYSA-N,100.0,uM,,,,,20.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,het_04_01_2::old scanner::20::tag3::YPD::dmso::0,5786,5786,-0.021776450000000003
hillenmeyer2008_het,fenpropimorph,RYAUSSKQMZRMAI-ALOPSCKCSA-N,1.65,nM,,,,,20.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,het_04_01_2::old scanner::20::tag3::YPD::dmso::0,5786,5786,0.024840599999999997
hillenmeyer2008_het,mitoxantrone hydrochloride,ZAHQPTJLOCWVPG-UHFFFAOYSA-N,50.0,uM,,,,,20.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,het_04_01_2::old scanner::20::tag3::YPD::dmso::0,5786,5786,-0.0041916850000000005
hillenmeyer2008_het,,,,,,,,,0.0,,SD minimal (YNB + ammonium sulfate + glucose),aerobic,het_09_02::old scanner::0::tag3::YPD::dmso::0,5783,5783,0.0120456175
hillenmeyer2008_het,,,,,,,,,5.0,,SD minimal (YNB + ammonium sulfate + glucose),aerobic,het_09_02::old scanner::5::tag3::YPD::dmso::0,5783,5783,-0.0008378999999999996
hillenmeyer2008_het,,,,,,,,,10.0,,SD minimal (YNB + ammonium sulfate + glucose),aerobic,het_09_02::old scanner::10::tag3::YPD::dmso::0,5771,5771,-0.013088859999999999
hillenmeyer2008_het,benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,3.4,uM,,,,,15.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,het_04_01_2::old scanner::15::tag3::YPD::dmso::0,5738,5738,0.05865
