dataset,compound,inchikey,dose_value,dose_unit,dose_basis,solvent,physical,temperature_c,duration_generations,duration_hours,media_name,aerobicity,screen_id,records,genes,response_median
hillenmeyer2008_hom,,,,,,,,,5.0,,SD minimal (YNB + ammonium sulfate + glucose),aerobic,hom_09_02::old scanner::-5::tag3::YPD::dmso::0,4656,4656,-0.20898505
hillenmeyer2008_hom,,,,,,,,,10.0,,SD minimal (YNB + ammonium sulfate + glucose),aerobic,hom_09_02::new scanner::-10::tag3::YPD::dmso::0,4652,4652,-0.2142505
hillenmeyer2008_hom,streptozocin,ZSJLQEPLLKMAKR-GKHCUFPYSA-N,2.0,mM,,,,,5.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,hom_09_02::new scanner::-5::tag3::YPD::dmso::0,4629,4629,-0.09070250000000002
hillenmeyer2008_hom,psoralen,ZCCUUQDIBDJBTK-UHFFFAOYSA-N,500.0,nM,,,radiation=None,,5.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,hom_09_02::new scanner::-5::tag3::YPD::dmso::0,4629,4629,-0.20530974999999999
hillenmeyer2008_hom,psoralen,ZCCUUQDIBDJBTK-UHFFFAOYSA-N,500.0,nM,,,,,5.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,hom_09_02::new scanner::-5::tag3::YPD::dmso::0,4629,4629,0.020640500000000006
hillenmeyer2008_hom,rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,9.0,nM,,,,,5.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,hom_09_02::new scanner::-5::tag3::YPD::dmso::0,4629,4629,0.110631
hillenmeyer2008_hom,,,,,,,,,5.0,,SD minimal (YNB + ammonium sulfate + glucose),aerobic,hom_09_02::new scanner::-5::tag3::YPD::dmso::0,4629,4629,0.0303454
hillenmeyer2008_hom,basifungin,RLMLFADXHJLPSQ-QKCBWMAHSA-N,0.02,ug/mL,,,,,5.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,hom_09_02::new scanner::-5::tag3::YPD::dmso::0,4629,4629,0.214575
hillenmeyer2008_hom,benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,10.0,ug/mL,,,,,5.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,hom_09_02::new scanner::-5::tag3::YPD::dmso::0,4629,4629,0.042810000000000015
hillenmeyer2008_hom,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.003,percent_v/v,,,,,5.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,hom_09_02::new scanner::-5::tag3::YPD::dmso::0,4629,4629,0.237867
hillenmeyer2008_hom,azane;dichloroplatinum,LXZZYRPGZAFOLE-UHFFFAOYSA-L,500.0,uM,,,,,5.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,hom_09_02::new scanner::-5::tag3::YPD::dmso::0,4629,4629,0.037051999999999974
hillenmeyer2008_hom,potassium metabisulfite,RWPGFSMJFRPDDP-UHFFFAOYSA-L,2.5,mM,,,,,5.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,hom_09_02::new scanner::-5::tag3::YPD::dmso::0,4629,4629,-0.0794666
hillenmeyer2008_hom,papuamide b,HQVFHDUBRNXXHV-LZHJWXOHSA-N,0.7,ug/mL,,,,,5.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,hom_09_02::new scanner::-5::tag3::YPD::dmso::0,4629,4629,-0.149898
hillenmeyer2008_hom,"platinum(ii),1-cyclobutanedicarboxylato)diammine-, cis-",VSRXQHXAPYXROS-UHFFFAOYSA-N,15.0,mM,,,,,5.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,hom_09_02::new scanner::-5::tag3::YPD::dmso::0,4629,4629,0.04372766666666663
hillenmeyer2008_hom,"platinum(ii),1-cyclobutanedicarboxylato)diammine-, cis-",VSRXQHXAPYXROS-UHFFFAOYSA-N,700.0,uM,,,,,5.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,hom_09_02::new scanner::-5::tag3::YPD::dmso::0,4629,4629,0.00325639
hillenmeyer2008_hom,nocodazole,KYRVNWMVYQXFEU-UHFFFAOYSA-N,10.0,ug/mL,,,,,5.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,hom_09_02::new scanner::-5::tag3::YPD::dmso::0,4629,4629,-0.3771749999999999
hillenmeyer2008_hom,,,,,,,radiation=None,,5.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,hom_09_02::new scanner::-5::tag3::YPD::dmso::0,4629,4629,0.09103885
hillenmeyer2008_hom,,,,,,,pH=7.5pH,,5.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,hom_09_02::new scanner::-5::tag3::YPD::dmso::0,4629,4629,0.180015
hillenmeyer2008_hom,papuamide b,HQVFHDUBRNXXHV-LZHJWXOHSA-N,0.37,ug/mL,,,,,5.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,hom_09_02::new scanner::-5::tag3::YPD::dmso::0,4629,4629,0.0540683
hillenmeyer2008_hom,methyl methanesulfonate,MBABOKRGFJTBAE-UHFFFAOYSA-N,0.002,percent_v/v,,,,,5.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,hom_09_02::new scanner::-5::tag3::YPD::dmso::0,4629,4629,-0.05373123333333333
hillenmeyer2008_hom,methyl methanesulfonate,MBABOKRGFJTBAE-UHFFFAOYSA-N,0.004,percent_v/v,,,,,5.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,hom_09_02::new scanner::-5::tag3::YPD::dmso::0,4629,4629,-0.042829
hillenmeyer2008_hom,mitomycin c,NWIBSHFKIJFRCO-WUDYKRTCSA-N,1.0,mM,,,,,5.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,hom_09_02::new scanner::-5::tag3::YPD::dmso::0,4629,4629,0.234243475
hillenmeyer2008_hom,myriocin,ZZIKIHCNFWXKDY-GNTQXERDSA-N,0.2,ug/mL,,,,,5.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,hom_09_02::new scanner::-5::tag3::YPD::dmso::0,4629,4629,0.6541
hillenmeyer2008_hom,hydroxyurea,VSNHCAURESNICA-UHFFFAOYSA-N,200.0,mM,,,,,5.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,hom_09_02::new scanner::-5::tag3::YPD::dmso::0,4629,4629,-0.0372451
hillenmeyer2008_hom,hydroxyurea,VSNHCAURESNICA-UHFFFAOYSA-N,50.0,mM,,,,,5.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,hom_09_02::new scanner::-5::tag3::YPD::dmso::0,4629,4629,0.127097
hillenmeyer2008_hom,isopsoralen,XDROKJSWHURZGO-UHFFFAOYSA-N,62.5,uM,,,radiation=None,,5.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,hom_09_02::new scanner::-5::tag3::YPD::dmso::0,4629,4629,0.03776833333333335
hillenmeyer2008_hom,isopsoralen,XDROKJSWHURZGO-UHFFFAOYSA-N,62.5,uM,,,,,5.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,hom_09_02::new scanner::-5::tag3::YPD::dmso::0,4629,4629,0.047872415
hillenmeyer2008_hom,mechlorethamine,HAWPXGHAZFHHAD-UHFFFAOYSA-N,62.5,uM,,,,,5.0,,"YPD (yeast extract / peptone / dextrose), liquid",aerobic,hom_09_02::new scanner::-5::tag3::YPD::dmso::0,4629,4629,0.01641466666666667
