vanacloig,vanacloig_inchikey,neighbor,neighbor_inchikey,similarity,exact
benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,1.0,True
methyl methanesulfonate,MBABOKRGFJTBAE-UHFFFAOYSA-N,methyl methanesulfonate,MBABOKRGFJTBAE-UHFFFAOYSA-N,0.9999999999999997,True
levulinic acid,JOOXCMJARBKPKM-UHFFFAOYSA-N,acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,0.9389980987638177,False
caffeic acid,QAIPRVGONGVQAS-DUXPYHPUSA-N,levodopa,WTDRDQBEARUVNC-LURJTMIESA-N,0.9055782131954686,False
methylglyoxal,AIJULSRZWUXGPQ-UHFFFAOYSA-N,acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,0.8982450978047936,False
ferulamide,YYAJJKZSQWOLIP-HWKANZROSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.8979727635491461,False
acetosyringone,OJOBTAOGJIWAGB-UHFFFAOYSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.8975001613421131,False
acetovanillone,DFYRUELUNQRZTB-UHFFFAOYSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.8828382375804263,False
4'-hydroxyacetophenone,TXFPEBPIARQUIG-UHFFFAOYSA-N,hexestrol,PBBGSZCBWVPOOL-HDICACEKSA-N,0.8816752768126503,False
"2-propenamide, 3-(4-hydroxyphenyl)-, (2e)-",DSMLJOHWFORNLY-ZZXKWVIFSA-N,hexestrol,PBBGSZCBWVPOOL-HDICACEKSA-N,0.8807426735609097,False
cinnamic acid,WBYWAXJHAXSJNI-VOTSOKGWSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.8792463492272891,False
vanillin,MWOOGOJBHIARFG-UHFFFAOYSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.8779169686267791,False
syringaldehyde,KCDXJAYRVLXPFO-UHFFFAOYSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.876737116704586,False
p-coumaric acid,NGSWKAQJJWESNS-ZZXKWVIFSA-N,levodopa,WTDRDQBEARUVNC-LURJTMIESA-N,0.8746800991032678,False
benzoic acid,WPYMKLBDIGXBTP-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.8737328361325762,False
ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,"(2s)-2-benzyl-4-(2,5-dimethylanilino)-4-oxobutanoic acid",UQQQUOPKAOSXDB-INIZCTEOSA-N,0.8721298948811891,False
sinapic acid,PCMORTLOPMLEFB-UHFFFAOYSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.8675395778029114,False
4-hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.8639865158997864,False
syringic acid,JMSVCTWVEWCHDZ-UHFFFAOYSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.8558520506895523,False
vanillic acid,WKOLLVMJNQIZCI-UHFFFAOYSA-N,"(2s)-2-benzyl-4-(2,5-dimethylanilino)-4-oxobutanoic acid",UQQQUOPKAOSXDB-INIZCTEOSA-N,0.8549604531325331,False
sodium glyoxylate,SOEVVANXSDKPIY-UHFFFAOYSA-M,potassium metabisulfite,RWPGFSMJFRPDDP-UHFFFAOYSA-L,0.8535119056222288,False
nonylacridine orange,DRBHTUDHPPBMCD-UHFFFAOYSA-M,"3,6-diamino-10-methylacridinium chloride",KKAJSJJFBSOMGS-UHFFFAOYSA-N,0.8514807047835504,False
4-hydroxybenzoic acid,FJKROLUGYXJWQN-UHFFFAOYSA-N,levodopa,WTDRDQBEARUVNC-LURJTMIESA-N,0.8466670998980171,False
sodium acetate,VMHLLURERBWHNL-UHFFFAOYSA-M,potassium metabisulfite,RWPGFSMJFRPDDP-UHFFFAOYSA-L,0.8447673774769044,False
"2,2'-bipyridine",ROFVEXUMMXZLPA-UHFFFAOYSA-N,thiabendazole,WJCNZQLZVWNLKY-UHFFFAOYSA-N,0.8353096084983632,False
crystal violet,ZXJXZNDDNMQXFV-UHFFFAOYSA-M,"3,6-diamino-10-methylacridinium chloride",KKAJSJJFBSOMGS-UHFFFAOYSA-N,0.8295901825597153,False
azelaic acid,BDJRBEYXGGNYIS-UHFFFAOYSA-N,chlorambucil,JCKYGMPEJWAADB-UHFFFAOYSA-N,0.8223829192463672,False
myclobutanil,HZJKXKUJVSEEFU-UHFFFAOYSA-N,CID 403818,OSFZSFIIQRYTGJ-UHFFFAOYSA-N,0.8047990185947985,False
