vanacloig,vanacloig_inchikey,neighbor,neighbor_inchikey,similarity,exact
methyl methanesulfonate,MBABOKRGFJTBAE-UHFFFAOYSA-N,methyl methanesulfonate,MBABOKRGFJTBAE-UHFFFAOYSA-N,0.9999999999999999,True
benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,0.9999999999999994,True
caffeic acid,QAIPRVGONGVQAS-DUXPYHPUSA-N,levodopa,WTDRDQBEARUVNC-LURJTMIESA-N,0.9885891898744584,False
ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,levodopa,WTDRDQBEARUVNC-LURJTMIESA-N,0.9754435248186958,False
acetovanillone,DFYRUELUNQRZTB-UHFFFAOYSA-N,alizarin,RGCKGOZRHPZPFP-UHFFFAOYSA-N,0.9637480157534368,False
cinnamic acid,WBYWAXJHAXSJNI-VOTSOKGWSA-N,"(2s)-2-benzyl-4-(2,5-dimethylanilino)-4-oxobutanoic acid",UQQQUOPKAOSXDB-INIZCTEOSA-N,0.963570578610583,False
sinapic acid,PCMORTLOPMLEFB-UHFFFAOYSA-N,levodopa,WTDRDQBEARUVNC-LURJTMIESA-N,0.96128148955107,False
p-coumaric acid,NGSWKAQJJWESNS-ZZXKWVIFSA-N,levodopa,WTDRDQBEARUVNC-LURJTMIESA-N,0.9593369815498424,False
acetosyringone,OJOBTAOGJIWAGB-UHFFFAOYSA-N,alizarin,RGCKGOZRHPZPFP-UHFFFAOYSA-N,0.9584470032135715,False
myclobutanil,HZJKXKUJVSEEFU-UHFFFAOYSA-N,"2,4-dimethylphenylacetonitrile",OOWISQLTVOZJJI-UHFFFAOYSA-N,0.958065252999918,False
4'-hydroxyacetophenone,TXFPEBPIARQUIG-UHFFFAOYSA-N,alizarin,RGCKGOZRHPZPFP-UHFFFAOYSA-N,0.9550933613569307,False
4-hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.9461117477425728,False
5-(hydroxymethyl)furfural,NOEGNKMFWQHSLB-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.9450823001878771,False
furfural,HYBBIBNJHNGZAN-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.9445592313074394,False
1-butyl-3-methylimidazolium chloride,FHDQNOXQSTVAIC-UHFFFAOYSA-M,"2-methyl-6-phenylimidazo[2,1-b]-1,3,4-selenadiazole",RNEJEIMFVTYPKP-UHFFFAOYSA-N,0.9412717175663127,False
"2,2'-bipyridine",ROFVEXUMMXZLPA-UHFFFAOYSA-N,4-nitroquinoline 1-oxide,YHQDZJICGQWFHK-UHFFFAOYSA-N,0.9385115359784411,False
vanillic acid,WKOLLVMJNQIZCI-UHFFFAOYSA-N,levodopa,WTDRDQBEARUVNC-LURJTMIESA-N,0.9372064582774775,False
1-ethyl-3-methylimidazolium chloride,BMQZYMYBQZGEEY-UHFFFAOYSA-M,"2-methyl-6-phenylimidazo[2,1-b]-1,3,4-selenadiazole",RNEJEIMFVTYPKP-UHFFFAOYSA-N,0.9351319171164818,False
azelaic acid,BDJRBEYXGGNYIS-UHFFFAOYSA-N,"7-oxabicyclo(2.2.1)heptane-2,3-dicarboxylic acid, 1,4-dimethyl-, (exo,exo)-",LOIACBOKCRBDOQ-UHFFFAOYSA-N,0.9327700965773982,False
ferulamide,YYAJJKZSQWOLIP-HWKANZROSA-N,8-methoxypsoralen,QXKHYNVANLEOEG-UHFFFAOYSA-N,0.9306220481797036,False
syringic acid,JMSVCTWVEWCHDZ-UHFFFAOYSA-N,levodopa,WTDRDQBEARUVNC-LURJTMIESA-N,0.9270770294101639,False
"2,6-dimethylpyrazine",HJFZAYHYIWGLNL-UHFFFAOYSA-N,"2,4-dimethylphenylacetonitrile",OOWISQLTVOZJJI-UHFFFAOYSA-N,0.9245900492309342,False
4-hydroxybenzoic acid,FJKROLUGYXJWQN-UHFFFAOYSA-N,levodopa,WTDRDQBEARUVNC-LURJTMIESA-N,0.9196201541615383,False
vanillin,MWOOGOJBHIARFG-UHFFFAOYSA-N,"(9r)-9-phenyl-5,6,7,9-tetrahydro-4h-[1,2,4]triazolo[5,1-b]quinazolin-8-one",WRFREMMSFNZKJM-CQSZACIVSA-N,0.9152641602608681,False
"2-propenamide, 3-(4-hydroxyphenyl)-, (2e)-",DSMLJOHWFORNLY-ZZXKWVIFSA-N,splitomicin,ISFPDBUKMJDAJH-UHFFFAOYSA-N,0.9149540515173022,False
syringaldehyde,KCDXJAYRVLXPFO-UHFFFAOYSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.8988213739906307,False
sodium acetate,VMHLLURERBWHNL-UHFFFAOYSA-M,acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,0.8972278675986121,False
levulinic acid,JOOXCMJARBKPKM-UHFFFAOYSA-N,levodopa,WTDRDQBEARUVNC-LURJTMIESA-N,0.8942063678902786,False
