vanacloig,vanacloig_inchikey,neighbor,neighbor_inchikey,similarity,exact
benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,1.0,True
ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,1.0,True
ferulamide,YYAJJKZSQWOLIP-HWKANZROSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.7428571428571429,False
sinapic acid,PCMORTLOPMLEFB-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.6764705882352942,False
caffeic acid,QAIPRVGONGVQAS-DUXPYHPUSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.6363636363636364,False
vanillin,MWOOGOJBHIARFG-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.6176470588235294,False
4-hydroxybenzoic acid,FJKROLUGYXJWQN-UHFFFAOYSA-N,4-aminobenzoic acid,ALYNCZNDIQEVRV-UHFFFAOYSA-N,0.5714285714285714,False
benzoic acid,WPYMKLBDIGXBTP-UHFFFAOYSA-N,4-aminobenzoic acid,ALYNCZNDIQEVRV-UHFFFAOYSA-N,0.55,False
vanillic acid,WKOLLVMJNQIZCI-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.5277777777777778,False
p-coumaric acid,NGSWKAQJJWESNS-ZZXKWVIFSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.5,False
4-hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.5,False
acetovanillone,DFYRUELUNQRZTB-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.4864864864864865,False
"2-propenamide, 3-(4-hydroxyphenyl)-, (2e)-",DSMLJOHWFORNLY-ZZXKWVIFSA-N,resveratrol,LUKBXSAWLPMMSZ-OWOJBTEDSA-N,0.4642857142857143,False
cinnamic acid,WBYWAXJHAXSJNI-VOTSOKGWSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.4411764705882353,False
syringaldehyde,KCDXJAYRVLXPFO-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.40540540540540543,False
4'-hydroxyacetophenone,TXFPEBPIARQUIG-UHFFFAOYSA-N,hexestrol,PBBGSZCBWVPOOL-HDICACEKSA-N,0.38461538461538464,False
acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,hydroxyurea,VSNHCAURESNICA-UHFFFAOYSA-N,0.38461538461538464,False
syringic acid,JMSVCTWVEWCHDZ-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.3684210526315789,False
"2,2'-bipyridine",ROFVEXUMMXZLPA-UHFFFAOYSA-N,"1,10-phenanthroline hydrochloride",QPXDKQBBJCTNOY-UHFFFAOYSA-N,0.34782608695652173,False
furfural,HYBBIBNJHNGZAN-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.3333333333333333,False
acetosyringone,OJOBTAOGJIWAGB-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.3333333333333333,False
levulinic acid,JOOXCMJARBKPKM-UHFFFAOYSA-N,fenbufen,ZPAKPRAICRBAOD-UHFFFAOYSA-N,0.3103448275862069,False
myclobutanil,HZJKXKUJVSEEFU-UHFFFAOYSA-N,fluconazole,RFHAOTPXVQNOHP-UHFFFAOYSA-N,0.3050847457627119,False
azelaic acid,BDJRBEYXGGNYIS-UHFFFAOYSA-N,chlorambucil,JCKYGMPEJWAADB-UHFFFAOYSA-N,0.30303030303030304,False
isobutanol,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,dimercaprol,WQABCVAJNWAXTE-UHFFFAOYSA-N,0.29411764705882354,False
sodium acetate,VMHLLURERBWHNL-UHFFFAOYSA-M,disodium cantharidin,JFALSOLNDKMHAL-CSYCBQNYSA-L,0.2916666666666667,False
crystal violet,ZXJXZNDDNMQXFV-UHFFFAOYSA-M,trichostatin a,RTKIYFITIVXBLE-QEQCGCAPSA-N,0.2692307692307692,False
gamma-valerolactone,GAEKPEKOJKCEMS-UHFFFAOYSA-N,brefeldin a,KQNZDYYTLMIZCT-KQPMLPITSA-N,0.2608695652173913,False
sodium butyrate,MFBOGIVSZKQAPD-UHFFFAOYSA-M,thimerosal,RTKIYNMVFMVABJ-UHFFFAOYSA-L,0.25,False
nonylacridine orange,DRBHTUDHPPBMCD-UHFFFAOYSA-M,"3,6-diamino-10-methylacridinium chloride",KKAJSJJFBSOMGS-UHFFFAOYSA-N,0.25,False
5-(hydroxymethyl)furfural,NOEGNKMFWQHSLB-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.2413793103448276,False
ethanol,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,dipropyl disulfide,ALVPFGSHPUPROW-UHFFFAOYSA-N,0.23076923076923078,False
"2,4-dimethylimidazole",LLPKQRMDOFYSGZ-UHFFFAOYSA-N,flucytosine,XRECTZIEBJDKEO-UHFFFAOYSA-N,0.22580645161290322,False
sodium glyoxylate,SOEVVANXSDKPIY-UHFFFAOYSA-M,disodium cantharidin,JFALSOLNDKMHAL-CSYCBQNYSA-L,0.2222222222222222,False
1-ethyl-3-methylimidazolium chloride,BMQZYMYBQZGEEY-UHFFFAOYSA-M,paraquat,INFDPOAKFNIJBF-UHFFFAOYSA-N,0.2222222222222222,False
methyl methanesulfonate,MBABOKRGFJTBAE-UHFFFAOYSA-N,copper sulfate,ARUVKPQLZAKDPS-UHFFFAOYSA-L,0.21428571428571427,False
1-butyl-3-methylimidazolium chloride,FHDQNOXQSTVAIC-UHFFFAOYSA-M,paraquat,INFDPOAKFNIJBF-UHFFFAOYSA-N,0.1935483870967742,False
methylglyoxal,AIJULSRZWUXGPQ-UHFFFAOYSA-N,perillic acid,CDSMSBUVCWHORP-UHFFFAOYSA-N,0.1875,False
2-methylimidazole,LXBGSDVWAMZHDD-UHFFFAOYSA-N,"1,10-phenanthroline hydrochloride",QPXDKQBBJCTNOY-UHFFFAOYSA-N,0.17857142857142858,False
"2,6-dimethylpyrazine",HJFZAYHYIWGLNL-UHFFFAOYSA-N,nalidixic acid,MHWLWQUZZRMNGJ-UHFFFAOYSA-N,0.16666666666666666,False
4-methylimidazole,XLSZMDLNRCVEIJ-UHFFFAOYSA-N,bostrycoidin,FGNZMGUTILLWJB-UHFFFAOYSA-N,0.15555555555555556,False
