vanacloig,vanacloig_inchikey,neighbor,neighbor_inchikey,similarity,exact
benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,1.0,True
ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,1.0,True
ferulamide,YYAJJKZSQWOLIP-HWKANZROSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.7674418604651163,False
caffeic acid,QAIPRVGONGVQAS-DUXPYHPUSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.6590909090909091,False
4-hydroxybenzoic acid,FJKROLUGYXJWQN-UHFFFAOYSA-N,4-aminobenzoic acid,ALYNCZNDIQEVRV-UHFFFAOYSA-N,0.6363636363636364,False
vanillin,MWOOGOJBHIARFG-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.6190476190476191,False
vanillic acid,WKOLLVMJNQIZCI-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.5909090909090909,False
sinapic acid,PCMORTLOPMLEFB-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.5576923076923077,False
cinnamic acid,WBYWAXJHAXSJNI-VOTSOKGWSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.5428571428571428,False
acetovanillone,DFYRUELUNQRZTB-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.5217391304347826,False
p-coumaric acid,NGSWKAQJJWESNS-ZZXKWVIFSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.5106382978723404,False
4'-hydroxyacetophenone,TXFPEBPIARQUIG-UHFFFAOYSA-N,4-aminobenzoic acid,ALYNCZNDIQEVRV-UHFFFAOYSA-N,0.4594594594594595,False
benzoic acid,WPYMKLBDIGXBTP-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.45454545454545453,False
"2-propenamide, 3-(4-hydroxyphenyl)-, (2e)-",DSMLJOHWFORNLY-ZZXKWVIFSA-N,resveratrol,LUKBXSAWLPMMSZ-OWOJBTEDSA-N,0.42105263157894735,False
4-hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.4117647058823529,False
"2,2'-bipyridine",ROFVEXUMMXZLPA-UHFFFAOYSA-N,"1,10-phenanthroline hydrochloride",QPXDKQBBJCTNOY-UHFFFAOYSA-N,0.38596491228070173,False
acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,hydroxyurea,VSNHCAURESNICA-UHFFFAOYSA-N,0.35714285714285715,False
syringic acid,JMSVCTWVEWCHDZ-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.3392857142857143,False
azelaic acid,BDJRBEYXGGNYIS-UHFFFAOYSA-N,myriocin,ZZIKIHCNFWXKDY-GNTQXERDSA-N,0.3373493975903614,False
syringaldehyde,KCDXJAYRVLXPFO-UHFFFAOYSA-N,"5,7-dimethoxycoumarin",NXJCRELRQHZBQA-UHFFFAOYSA-N,0.3275862068965517,False
acetosyringone,OJOBTAOGJIWAGB-UHFFFAOYSA-N,"5,7-dimethoxycoumarin",NXJCRELRQHZBQA-UHFFFAOYSA-N,0.31666666666666665,False
nonylacridine orange,DRBHTUDHPPBMCD-UHFFFAOYSA-M,"3,6-diamino-10-methylacridinium chloride",KKAJSJJFBSOMGS-UHFFFAOYSA-N,0.3069306930693069,False
furfural,HYBBIBNJHNGZAN-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.30303030303030304,False
myclobutanil,HZJKXKUJVSEEFU-UHFFFAOYSA-N,fluconazole,RFHAOTPXVQNOHP-UHFFFAOYSA-N,0.2903225806451613,False
crystal violet,ZXJXZNDDNMQXFV-UHFFFAOYSA-M,fenofibrate,YMTINGFKWWXKFG-UHFFFAOYSA-N,0.2894736842105263,False
methyl methanesulfonate,MBABOKRGFJTBAE-UHFFFAOYSA-N,copper sulfate,ARUVKPQLZAKDPS-UHFFFAOYSA-L,0.2631578947368421,False
levulinic acid,JOOXCMJARBKPKM-UHFFFAOYSA-N,fenbufen,ZPAKPRAICRBAOD-UHFFFAOYSA-N,0.2542372881355932,False
isobutanol,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,dimercaprol,WQABCVAJNWAXTE-UHFFFAOYSA-N,0.23809523809523808,False
sodium acetate,VMHLLURERBWHNL-UHFFFAOYSA-M,sodium arsenite,PTLRDCMBXHILCL-UHFFFAOYSA-M,0.23076923076923078,False
5-(hydroxymethyl)furfural,NOEGNKMFWQHSLB-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.23076923076923078,False
"2,4-dimethylimidazole",LLPKQRMDOFYSGZ-UHFFFAOYSA-N,flucytosine,XRECTZIEBJDKEO-UHFFFAOYSA-N,0.22857142857142856,False
gamma-valerolactone,GAEKPEKOJKCEMS-UHFFFAOYSA-N,brefeldin a,KQNZDYYTLMIZCT-KQPMLPITSA-N,0.20967741935483872,False
sodium butyrate,MFBOGIVSZKQAPD-UHFFFAOYSA-M,thimerosal,RTKIYNMVFMVABJ-UHFFFAOYSA-L,0.20454545454545456,False
1-butyl-3-methylimidazolium chloride,FHDQNOXQSTVAIC-UHFFFAOYSA-M,benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,0.1891891891891892,False
sodium glyoxylate,SOEVVANXSDKPIY-UHFFFAOYSA-M,sodium arsenite,PTLRDCMBXHILCL-UHFFFAOYSA-M,0.1875,False
"2,6-dimethylpyrazine",HJFZAYHYIWGLNL-UHFFFAOYSA-N,"2,4-dimethylphenylacetonitrile",OOWISQLTVOZJJI-UHFFFAOYSA-N,0.18181818181818182,False
ethanol,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,dimercaprol,WQABCVAJNWAXTE-UHFFFAOYSA-N,0.16666666666666666,False
1-ethyl-3-methylimidazolium chloride,BMQZYMYBQZGEEY-UHFFFAOYSA-M,paraquat,INFDPOAKFNIJBF-UHFFFAOYSA-N,0.16666666666666666,False
methylglyoxal,AIJULSRZWUXGPQ-UHFFFAOYSA-N,perillic acid,CDSMSBUVCWHORP-UHFFFAOYSA-N,0.16216216216216217,False
2-methylimidazole,LXBGSDVWAMZHDD-UHFFFAOYSA-N,carbendazim,TWFZGCMQGLPBSX-UHFFFAOYSA-N,0.14,False
4-methylimidazole,XLSZMDLNRCVEIJ-UHFFFAOYSA-N,flucytosine,XRECTZIEBJDKEO-UHFFFAOYSA-N,0.1388888888888889,False
