vanacloig,vanacloig_inchikey,neighbor,neighbor_inchikey,similarity,exact
benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,1.0,True
methyl methanesulfonate,MBABOKRGFJTBAE-UHFFFAOYSA-N,methyl methanesulfonate,MBABOKRGFJTBAE-UHFFFAOYSA-N,1.0,True
cinnamic acid,WBYWAXJHAXSJNI-VOTSOKGWSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.5428571428571428,False
caffeic acid,QAIPRVGONGVQAS-DUXPYHPUSA-N,levodopa,WTDRDQBEARUVNC-LURJTMIESA-N,0.46938775510204084,False
benzoic acid,WPYMKLBDIGXBTP-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.45454545454545453,False
acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,0.45454545454545453,False
ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.43037974683544306,False
sodium acetate,VMHLLURERBWHNL-UHFFFAOYSA-M,acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,0.4166666666666667,False
ferulamide,YYAJJKZSQWOLIP-HWKANZROSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.4125,False
4-hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.4117647058823529,False
sinapic acid,PCMORTLOPMLEFB-UHFFFAOYSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.40476190476190477,False
p-coumaric acid,NGSWKAQJJWESNS-ZZXKWVIFSA-N,xanthohumol,ORXQGKIUCDPEAJ-YRNVUSSQSA-N,0.38666666666666666,False
"2-propenamide, 3-(4-hydroxyphenyl)-, (2e)-",DSMLJOHWFORNLY-ZZXKWVIFSA-N,xanthohumol,ORXQGKIUCDPEAJ-YRNVUSSQSA-N,0.3684210526315789,False
methylglyoxal,AIJULSRZWUXGPQ-UHFFFAOYSA-N,acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,0.35714285714285715,False
vanillic acid,WKOLLVMJNQIZCI-UHFFFAOYSA-N,levodopa,WTDRDQBEARUVNC-LURJTMIESA-N,0.35294117647058826,False
4'-hydroxyacetophenone,TXFPEBPIARQUIG-UHFFFAOYSA-N,"benzoic acid, 4-[[(2,5-dihydroxyphenyl)methyl]amino]-, methyl ester",QSFREBZMBNRGOK-UHFFFAOYSA-N,0.3387096774193548,False
4-hydroxybenzoic acid,FJKROLUGYXJWQN-UHFFFAOYSA-N,"benzoic acid, 4-[[(2,5-dihydroxyphenyl)methyl]amino]-, methyl ester",QSFREBZMBNRGOK-UHFFFAOYSA-N,0.3387096774193548,False
azelaic acid,BDJRBEYXGGNYIS-UHFFFAOYSA-N,myriocin,ZZIKIHCNFWXKDY-GNTQXERDSA-N,0.3373493975903614,False
levulinic acid,JOOXCMJARBKPKM-UHFFFAOYSA-N,acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,0.3333333333333333,False
vanillin,MWOOGOJBHIARFG-UHFFFAOYSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.3291139240506329,False
acetovanillone,DFYRUELUNQRZTB-UHFFFAOYSA-N,levodopa,WTDRDQBEARUVNC-LURJTMIESA-N,0.3269230769230769,False
syringaldehyde,KCDXJAYRVLXPFO-UHFFFAOYSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.3253012048192771,False
nonylacridine orange,DRBHTUDHPPBMCD-UHFFFAOYSA-M,"3,6-diamino-10-methylacridinium chloride",KKAJSJJFBSOMGS-UHFFFAOYSA-N,0.3069306930693069,False
furfural,HYBBIBNJHNGZAN-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.30303030303030304,False
syringic acid,JMSVCTWVEWCHDZ-UHFFFAOYSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.3023255813953488,False
"2,2'-bipyridine",ROFVEXUMMXZLPA-UHFFFAOYSA-N,thiabendazole,WJCNZQLZVWNLKY-UHFFFAOYSA-N,0.3,False
acetosyringone,OJOBTAOGJIWAGB-UHFFFAOYSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.28735632183908044,False
crystal violet,ZXJXZNDDNMQXFV-UHFFFAOYSA-M,"phosphine sulfide, tris(4-methylphenyl)-",ITFYRQZRIAGVPR-UHFFFAOYSA-N,0.25217391304347825,False
5-(hydroxymethyl)furfural,NOEGNKMFWQHSLB-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.23076923076923078,False
myclobutanil,HZJKXKUJVSEEFU-UHFFFAOYSA-N,miconazole,BYBLEWFAAKGYCD-UHFFFAOYSA-N,0.21904761904761905,False
sodium butyrate,MFBOGIVSZKQAPD-UHFFFAOYSA-M,thimerosal,RTKIYNMVFMVABJ-UHFFFAOYSA-L,0.20454545454545456,False
gamma-valerolactone,GAEKPEKOJKCEMS-UHFFFAOYSA-N,parthenolide,KTEXNACQROZXEV-SLXBATTESA-N,0.1896551724137931,False
1-butyl-3-methylimidazolium chloride,FHDQNOXQSTVAIC-UHFFFAOYSA-M,benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,0.1891891891891892,False
sodium glyoxylate,SOEVVANXSDKPIY-UHFFFAOYSA-M,sodium arsenite,PTLRDCMBXHILCL-UHFFFAOYSA-M,0.1875,False
"2,6-dimethylpyrazine",HJFZAYHYIWGLNL-UHFFFAOYSA-N,"2,4-dimethylphenylacetonitrile",OOWISQLTVOZJJI-UHFFFAOYSA-N,0.18181818181818182,False
"2,4-dimethylimidazole",LLPKQRMDOFYSGZ-UHFFFAOYSA-N,"2,4-dimethylphenylacetonitrile",OOWISQLTVOZJJI-UHFFFAOYSA-N,0.16666666666666666,False
ethanol,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,0.16666666666666666,False
1-ethyl-3-methylimidazolium chloride,BMQZYMYBQZGEEY-UHFFFAOYSA-M,paraquat,INFDPOAKFNIJBF-UHFFFAOYSA-N,0.16666666666666666,False
