vanacloig,vanacloig_inchikey,neighbor,neighbor_inchikey,similarity,exact
benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,1.0,True
ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,1.0,True
sinapic acid,PCMORTLOPMLEFB-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.723404255319149,False
p-coumaric acid,NGSWKAQJJWESNS-ZZXKWVIFSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.6904761904761905,False
ferulamide,YYAJJKZSQWOLIP-HWKANZROSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.6888888888888889,False
benzoic acid,WPYMKLBDIGXBTP-UHFFFAOYSA-N,4-aminobenzoic acid,ALYNCZNDIQEVRV-UHFFFAOYSA-N,0.6774193548387096,False
caffeic acid,QAIPRVGONGVQAS-DUXPYHPUSA-N,levodopa,WTDRDQBEARUVNC-LURJTMIESA-N,0.6744186046511628,False
4-hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.6551724137931034,False
4-hydroxybenzoic acid,FJKROLUGYXJWQN-UHFFFAOYSA-N,4-aminobenzoic acid,ALYNCZNDIQEVRV-UHFFFAOYSA-N,0.6363636363636364,False
acetovanillone,DFYRUELUNQRZTB-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.627906976744186,False
vanillin,MWOOGOJBHIARFG-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.6190476190476191,False
vanillic acid,WKOLLVMJNQIZCI-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.5909090909090909,False
cinnamic acid,WBYWAXJHAXSJNI-VOTSOKGWSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.5681818181818182,False
"2,2'-bipyridine",ROFVEXUMMXZLPA-UHFFFAOYSA-N,thiabendazole,WJCNZQLZVWNLKY-UHFFFAOYSA-N,0.56,False
4'-hydroxyacetophenone,TXFPEBPIARQUIG-UHFFFAOYSA-N,hinokitiol,FUWUEFKEXZQKKA-UHFFFAOYSA-N,0.5128205128205128,False
"2-propenamide, 3-(4-hydroxyphenyl)-, (2e)-",DSMLJOHWFORNLY-ZZXKWVIFSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.4791666666666667,False
syringic acid,JMSVCTWVEWCHDZ-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.47058823529411764,False
syringaldehyde,KCDXJAYRVLXPFO-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.46,False
myclobutanil,HZJKXKUJVSEEFU-UHFFFAOYSA-N,"(9r)-9-phenyl-5,6,7,9-tetrahydro-4h-[1,2,4]triazolo[5,1-b]quinazolin-8-one",WRFREMMSFNZKJM-CQSZACIVSA-N,0.45,False
acetosyringone,OJOBTAOGJIWAGB-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.4423076923076923,False
sodium glyoxylate,SOEVVANXSDKPIY-UHFFFAOYSA-M,copper sulfate,ARUVKPQLZAKDPS-UHFFFAOYSA-L,0.4375,False
sodium acetate,VMHLLURERBWHNL-UHFFFAOYSA-M,copper sulfate,ARUVKPQLZAKDPS-UHFFFAOYSA-L,0.42857142857142855,False
crystal violet,ZXJXZNDDNMQXFV-UHFFFAOYSA-M,trichostatin a,RTKIYFITIVXBLE-QEQCGCAPSA-N,0.422680412371134,False
azelaic acid,BDJRBEYXGGNYIS-UHFFFAOYSA-N,"7-oxabicyclo(2.2.1)heptane-2,3-dicarboxylic acid, 1,4-dimethyl-, (exo,exo)-",LOIACBOKCRBDOQ-UHFFFAOYSA-N,0.39622641509433965,False
methylglyoxal,AIJULSRZWUXGPQ-UHFFFAOYSA-N,sodium arsenite,PTLRDCMBXHILCL-UHFFFAOYSA-M,0.38461538461538464,False
acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,sodium arsenite,PTLRDCMBXHILCL-UHFFFAOYSA-M,0.36363636363636365,False
nonylacridine orange,DRBHTUDHPPBMCD-UHFFFAOYSA-M,"3,6-diamino-10-methylacridinium chloride",KKAJSJJFBSOMGS-UHFFFAOYSA-N,0.36082474226804123,False
gamma-valerolactone,GAEKPEKOJKCEMS-UHFFFAOYSA-N,norcantharidin,JAABVEXCGCXWRR-FBXFSONDSA-N,0.358974358974359,False
methyl methanesulfonate,MBABOKRGFJTBAE-UHFFFAOYSA-N,sodium arsenite,PTLRDCMBXHILCL-UHFFFAOYSA-M,0.3333333333333333,False
ethanol,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,dimercaprol,WQABCVAJNWAXTE-UHFFFAOYSA-N,0.3125,False
furfural,HYBBIBNJHNGZAN-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.30303030303030304,False
isobutanol,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,dimercaprol,WQABCVAJNWAXTE-UHFFFAOYSA-N,0.3,False
levulinic acid,JOOXCMJARBKPKM-UHFFFAOYSA-N,perillic acid,CDSMSBUVCWHORP-UHFFFAOYSA-N,0.3,False
sodium butyrate,MFBOGIVSZKQAPD-UHFFFAOYSA-M,copper sulfate,ARUVKPQLZAKDPS-UHFFFAOYSA-L,0.2857142857142857,False
5-(hydroxymethyl)furfural,NOEGNKMFWQHSLB-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.2631578947368421,False
4-methylimidazole,XLSZMDLNRCVEIJ-UHFFFAOYSA-N,flucytosine,XRECTZIEBJDKEO-UHFFFAOYSA-N,0.24242424242424243,False
2-methylimidazole,LXBGSDVWAMZHDD-UHFFFAOYSA-N,flucytosine,XRECTZIEBJDKEO-UHFFFAOYSA-N,0.24242424242424243,False
"2,4-dimethylimidazole",LLPKQRMDOFYSGZ-UHFFFAOYSA-N,flucytosine,XRECTZIEBJDKEO-UHFFFAOYSA-N,0.22857142857142856,False
1-butyl-3-methylimidazolium chloride,FHDQNOXQSTVAIC-UHFFFAOYSA-M,piromidic acid,RCIMBBZXSXFZBV-UHFFFAOYSA-N,0.2222222222222222,False
"2,6-dimethylpyrazine",HJFZAYHYIWGLNL-UHFFFAOYSA-N,nalidixic acid,MHWLWQUZZRMNGJ-UHFFFAOYSA-N,0.21428571428571427,False
1-ethyl-3-methylimidazolium chloride,BMQZYMYBQZGEEY-UHFFFAOYSA-M,nalidixic acid,MHWLWQUZZRMNGJ-UHFFFAOYSA-N,0.21052631578947367,False
