vanacloig,vanacloig_inchikey,neighbor,neighbor_inchikey,similarity,exact
benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,1.0,True
ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,1.0,True
vanillic acid,WKOLLVMJNQIZCI-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.9565217391304348,False
sinapic acid,PCMORTLOPMLEFB-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.92,False
syringic acid,JMSVCTWVEWCHDZ-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.88,False
caffeic acid,QAIPRVGONGVQAS-DUXPYHPUSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.8333333333333334,False
vanillin,MWOOGOJBHIARFG-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.8260869565217391,False
syringaldehyde,KCDXJAYRVLXPFO-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.8,False
acetovanillone,DFYRUELUNQRZTB-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.7916666666666666,False
acetosyringone,OJOBTAOGJIWAGB-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.7692307692307693,False
4-hydroxybenzoic acid,FJKROLUGYXJWQN-UHFFFAOYSA-N,fenoprofen,RDJGLLICXDHJDY-UHFFFAOYSA-N,0.7368421052631579,False
4'-hydroxyacetophenone,TXFPEBPIARQUIG-UHFFFAOYSA-N,fenoprofen,RDJGLLICXDHJDY-UHFFFAOYSA-N,0.7222222222222222,False
p-coumaric acid,NGSWKAQJJWESNS-ZZXKWVIFSA-N,fenoprofen,RDJGLLICXDHJDY-UHFFFAOYSA-N,0.7,False
"2,2'-bipyridine",ROFVEXUMMXZLPA-UHFFFAOYSA-N,"1,10-phenanthroline hydrochloride",QPXDKQBBJCTNOY-UHFFFAOYSA-N,0.7,False
nonylacridine orange,DRBHTUDHPPBMCD-UHFFFAOYSA-M,promazine hydrochloride,JIVSXRLRGOICGA-UHFFFAOYSA-N,0.6923076923076923,False
ferulamide,YYAJJKZSQWOLIP-HWKANZROSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.6774193548387096,False
4-hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,fenoprofen,RDJGLLICXDHJDY-UHFFFAOYSA-N,0.6666666666666666,False
methyl methanesulfonate,MBABOKRGFJTBAE-UHFFFAOYSA-N,copper sulfate,ARUVKPQLZAKDPS-UHFFFAOYSA-L,0.6451612903225806,False
2-methylimidazole,LXBGSDVWAMZHDD-UHFFFAOYSA-N,thiabendazole,WJCNZQLZVWNLKY-UHFFFAOYSA-N,0.625,False
levulinic acid,JOOXCMJARBKPKM-UHFFFAOYSA-N,fenbufen,ZPAKPRAICRBAOD-UHFFFAOYSA-N,0.625,False
"2,4-dimethylimidazole",LLPKQRMDOFYSGZ-UHFFFAOYSA-N,thiabendazole,WJCNZQLZVWNLKY-UHFFFAOYSA-N,0.6,False
gamma-valerolactone,GAEKPEKOJKCEMS-UHFFFAOYSA-N,brefeldin a,KQNZDYYTLMIZCT-KQPMLPITSA-N,0.59375,False
4-methylimidazole,XLSZMDLNRCVEIJ-UHFFFAOYSA-N,thiabendazole,WJCNZQLZVWNLKY-UHFFFAOYSA-N,0.5833333333333334,False
myclobutanil,HZJKXKUJVSEEFU-UHFFFAOYSA-N,fluconazole,RFHAOTPXVQNOHP-UHFFFAOYSA-N,0.5818181818181818,False
"2,6-dimethylpyrazine",HJFZAYHYIWGLNL-UHFFFAOYSA-N,"1,10-phenanthroline hydrochloride",QPXDKQBBJCTNOY-UHFFFAOYSA-N,0.5714285714285714,False
"2-propenamide, 3-(4-hydroxyphenyl)-, (2e)-",DSMLJOHWFORNLY-ZZXKWVIFSA-N,4-aminobenzoic acid,ALYNCZNDIQEVRV-UHFFFAOYSA-N,0.56,False
benzoic acid,WPYMKLBDIGXBTP-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.5555555555555556,False
azelaic acid,BDJRBEYXGGNYIS-UHFFFAOYSA-N,fenbufen,ZPAKPRAICRBAOD-UHFFFAOYSA-N,0.5384615384615384,False
1-butyl-3-methylimidazolium chloride,FHDQNOXQSTVAIC-UHFFFAOYSA-M,promazine hydrochloride,JIVSXRLRGOICGA-UHFFFAOYSA-N,0.5294117647058824,False
crystal violet,ZXJXZNDDNMQXFV-UHFFFAOYSA-M,amitriptyline hydrochloride,KFYRPLNVJVHZGT-UHFFFAOYSA-N,0.5121951219512195,False
isobutanol,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,nerol,GLZPCOQZEFWAFX-YFHOEESVSA-N,0.5,False
cinnamic acid,WBYWAXJHAXSJNI-VOTSOKGWSA-N,4-aminobenzoic acid,ALYNCZNDIQEVRV-UHFFFAOYSA-N,0.5,False
1-ethyl-3-methylimidazolium chloride,BMQZYMYBQZGEEY-UHFFFAOYSA-M,paraquat,INFDPOAKFNIJBF-UHFFFAOYSA-N,0.5,False
sodium acetate,VMHLLURERBWHNL-UHFFFAOYSA-M,sodium arsenite,PTLRDCMBXHILCL-UHFFFAOYSA-M,0.42857142857142855,False
furfural,HYBBIBNJHNGZAN-UHFFFAOYSA-N,psoralen,ZCCUUQDIBDJBTK-UHFFFAOYSA-N,0.4166666666666667,False
sodium butyrate,MFBOGIVSZKQAPD-UHFFFAOYSA-M,thimerosal,RTKIYNMVFMVABJ-UHFFFAOYSA-L,0.41379310344827586,False
ethanol,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,dimercaprol,WQABCVAJNWAXTE-UHFFFAOYSA-N,0.4117647058823529,False
5-(hydroxymethyl)furfural,NOEGNKMFWQHSLB-UHFFFAOYSA-N,norcantharidin,JAABVEXCGCXWRR-FBXFSONDSA-N,0.3870967741935484,False
sodium glyoxylate,SOEVVANXSDKPIY-UHFFFAOYSA-M,sodium arsenite,PTLRDCMBXHILCL-UHFFFAOYSA-M,0.375,False
acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,4-aminobenzoic acid,ALYNCZNDIQEVRV-UHFFFAOYSA-N,0.3333333333333333,False
methylglyoxal,AIJULSRZWUXGPQ-UHFFFAOYSA-N,hinokitiol,FUWUEFKEXZQKKA-UHFFFAOYSA-N,0.3157894736842105,False
